health..oa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
E00037085,240,95,78,54,12,1
E00037086,323,129,110,65,13,6
E00037087,331,148,119,50,11,3
E00037088,344,147,90,62,36,9
E00037089,310,126,104,56,21,3
E00037090,300,129,99,52,16,4
E00037091,243,64,78,64,30,7
E00037092,264,88,100,57,16,3
E00037093,315,111,92,69,39,4
E00037094,453,188,164,68,27,6
E00037096,274,101,113,41,16,3
E00037097,265,113,77,56,15,4
E00037098,232,103,74,42,12,1
E00037099,438,235,130,55,17,1
E00037100,286,138,89,43,13,3
E00037101,375,151,117,52,42,13
E00037102,349,146,122,61,16,4
E00037103,287,140,89,34,19,5
E00037104,304,147,105,42,8,2
E00037105,357,120,119,68,38,12
E00037106,273,121,82,40,22,8
E00037107,305,118,111,53,20,3
E00037108,322,135,109,61,15,2
E00037109,354,122,98,88,37,9
E00037110,436,202,127,70,34,3
E00037111,288,121,107,45,14,1
E00037112,296,98,100,58,32,8
E00037113,316,77,86,84,53,16
E00037240,277,83,104,63,24,3
E00037241,341,113,125,67,32,4
E00037242,291,92,89,80,20,10
E00037243,338,188,107,27,13,3
E00037244,229,56,83,50,34,6
E00037245,248,60,90,60,30,8
E00037246,286,108,107,52,15,4
E00037247,273,123,87,49,14,0
E00037248,266,82,81,56,39,8
E00037249,264,134,79,38,8,5
E00037250,287,127,90,50,15,5
E00037251,243,116,74,39,12,2
E00037252,263,109,87,40,20,7
E00037253,246,92,101,40,10,3
E00037254,316,145,105,49,15,2
E00037255,307,132,93,52,25,5
E00037256,289,110,99,54,21,5
E00037257,355,162,132,42,15,4
E00037258,321,131,122,38,26,4
E00037259,283,123,94,49,15,2
E00037260,281,98,108,62,10,3
E00037261,258,77,90,61,26,4
E00037262,346,126,108,72,27,13
E00037263,334,117,92,73,31,21
E00037264,210,94,83,26,5,2
E00037265,253,83,109,41,16,4
E00037266,412,171,131,72,28,10
E00037267,268,99,79,62,24,4
E00037268,286,114,80,54,30,8
E00037269,204,42,70,49,35,8
E00037270,304,150,97,37,16,4
E00037271,470,217,133,87,26,7
E00037272,278,113,81,52,26,6
E00037273,282,111,82,55,27,7
E00037274,247,90,84,49,21,3
E00037275,130,65,46,12,7,0
E00037322,318,125,98,47,36,12
E00037323,288,101,94,68,20,5
E00037324,236,59,88,53,27,9
E00037325,513,218,154,77,53,11
E00037326,563,212,209,100,38,4
E00037327,301,108,102,60,25,6
E00037328,463,204,130,80,39,10
E00037329,277,106,102,47,19,3
E00037330,252,110,85,31,22,4
E00037331,261,103,73,48,31,6
E00037332,306,117,100,52,27,10
E00037333,215,61,71,50,24,9
E00037334,284,122,72,62,21,7
E00037335,283,107,102,54,17,3
E00037336,342,141,122,48,21,10
E00037337,303,100,93,64,40,6
E00037338,325,119,108,64,25,9
E00037339,324,121,118,58,23,4
E00037340,316,134,96,43,33,10
E00037341,267,115,79,48,21,4
E00037342,169,32,41,60,28,8
E00037343,280,101,89,59,23,8
E00037344,308,104,109,46,40,9
E00037345,317,122,104,57,28,6
E00037346,322,112,134,52,18,6
E00037347,564,258,162,79,45,20
E00037348,304,107,109,55,25,8
E00037349,425,177,168,51,22,7
E00037351,310,120,99,56,27,8
E00037352,278,113,91,55,14,5
E00037353,286,114,87,57,22,6
E00037354,229,50,100,53,24,2
E00037355,305,123,112,48,18,4
E00037356,279,112,95,49,20,3
E00037357,282,100,78,68,27,9
E00037358,262,110,84,42,18,8
E00037359,212,67,60,48,27,10
E00037360,216,68,49,59,32,8
E00037361,557,282,186,65,21,3
E00037362,327,92,88,79,46,22
E00037363,219,44,78,69,24,4
E00037364,330,106,111,73,33,7
E00037365,331,124,121,53,24,9
E00037366,203,56,49,56,33,9
E00037367,263,81,81,82,13,6
E00037368,243,76,78,62,22,5
E00037369,455,202,157,67,23,6
E00037370,347,144,94,75,24,10
E00037371,300,120,97,50,28,5
E00037372,333,125,95,73,31,9
E00037373,301,95,92,78,24,12
E00037374,284,85,108,53,32,6
E00037375,113,36,34,25,15,3
E00037376,234,60,83,57,25,9
E00037377,282,128,90,46,13,5
E00037378,343,116,114,59,38,16
E00037379,301,122,94,56,26,3
E00037380,186,76,44,41,20,5
E00037381,248,88,89,42,23,6
E00037383,331,118,120,64,26,3
E00037385,278,97,77,63,33,8
E00037386,304,106,103,63,28,4
E00037387,265,67,78,69,39,12
E00037388,256,86,91,60,18,1
E00037389,304,74,109,75,36,10
E00037390,333,122,126,53,28,4
E00037391,266,86,60,59,49,12
E00037392,297,111,67,60,47,12
E00037393,354,129,102,73,39,11
E00037394,356,129,109,57,47,14
E00037440,397,154,135,70,32,6
E00037441,280,109,80,63,26,2
E00037442,304,112,133,36,21,2
E00037443,385,135,117,94,31,8
E00037444,277,102,111,41,21,2
E00037445,292,126,87,44,26,9
E00037446,340,124,99,80,27,10
E00037447,333,145,121,48,15,4
E00037448,290,119,80,64,21,6
E00037449,400,175,131,56,33,5
E00037450,306,104,104,57,37,4
E00037451,505,252,170,56,17,10
E00037452,262,88,80,62,25,7
E00037453,419,220,142,43,13,1
E00037454,320,151,95,51,16,7
E00037455,304,144,102,42,14,2
E00037456,402,183,147,50,18,4
E00037457,340,149,120,53,12,6
E00037458,282,76,108,54,34,10
E00037459,320,134,90,68,25,3
E00037460,245,82,94,50,15,4
E00037461,318,128,122,49,13,6
E00037462,300,119,80,67,31,3
E00037463,316,146,112,42,13,3
E00037464,252,78,90,68,14,2
E00037465,303,154,94,42,7,6
E00037466,248,76,107,47,12,6
E00037467,287,122,108,34,20,3
E00037468,346,164,92,56,31,3
E00037469,210,65,69,35,35,6
E00037470,275,103,95,53,20,4
E00037471,304,103,105,55,33,8
E00037472,332,147,128,42,10,5
E00037473,271,117,84,50,17,3
E00037474,311,134,110,46,13,8
E00037475,331,124,99,65,36,7
E00037476,361,169,119,61,9,3
E00037477,300,138,91,40,24,7
E00037478,257,80,97,52,21,7
E00037479,294,109,108,47,27,3
E00037480,271,94,106,49,17,5
E00037481,250,60,104,68,14,4
E00037482,589,334,196,42,15,2
E00037483,264,137,75,38,11,3
E00037484,330,119,129,49,23,10
E00037485,340,167,107,53,11,2
E00037486,245,72,86,48,30,9
E00037487,323,121,104,40,50,8
E00037488,397,188,117,66,23,3
E00037489,308,152,112,35,9,0
E00037490,278,112,90,55,17,4
E00037491,297,120,101,48,20,8
E00037492,394,182,133,54,19,6
E00037493,235,67,69,59,26,14
E00037494,392,169,139,53,25,6
E00037495,288,119,90,59,19,1
E00037496,226,53,58,61,38,16
E00037497,341,161,98,57,20,5
E00037498,236,81,58,62,27,8
E00037499,323,156,115,31,18,3
E00037500,266,126,75,53,9,3
E00037501,294,119,91,68,11,5
E00037570,339,167,97,55,13,7
E00037571,427,192,118,80,29,8
E00037572,279,111,86,51,25,6
E00037574,285,92,92,65,24,12
E00037575,260,92,85,44,31,8
E00037576,200,67,68,37,21,7
E00037577,238,103,79,34,14,8
E00037578,245,82,71,63,19,10
E00037579,237,63,81,43,39,11
E00037591,546,267,189,67,21,2
E00037592,338,118,91,82,34,13
E00037599,346,179,126,34,4,3
E00037614,270,140,82,36,10,2
E00037615,360,194,107,43,12,4
E00037616,191,67,67,36,15,6
E00037617,230,81,77,51,16,5
E00037618,225,100,66,34,21,4
E00037619,395,224,122,37,9,3
E00037620,439,188,137,76,30,8
E00037621,314,154,114,31,12,3
E00037622,455,200,170,66,12,7
E00037623,264,110,90,45,13,6
E00037624,199,101,70,20,6,2
E00037625,298,138,118,30,7,5
E00037626,341,161,120,45,14,1
E00037627,285,153,92,33,6,1
E00037739,305,124,91,59,28,3
E00037740,297,114,126,38,16,3
E00037741,225,95,80,39,10,1
E00037742,409,174,150,60,24,1
E00037743,277,87,89,63,33,5
E00037744,182,55,69,38,17,3
E00037745,319,132,94,53,29,11
E00037746,268,105,100,33,23,7
E00037747,321,156,101,45,13,6
E00037748,324,140,107,56,18,3
E00037749,331,116,103,73,30,9
E00037750,298,130,104,43,16,5
E00037751,275,87,66,69,44,9
