house..oa_id,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
E00037085,115,20,10,62,14,2,6,1
E00037086,139,20,8,73,30,3,3,2
E00037087,146,16,21,64,30,8,6,1
E00037088,140,12,29,24,22,37,11,5
E00037089,135,15,13,60,22,11,9,5
E00037090,122,9,25,42,35,4,6,1
E00037091,121,25,17,51,14,3,8,3
E00037092,125,26,11,60,19,4,5,0
E00037093,122,11,32,44,21,8,1,5
E00037094,210,19,51,66,41,16,14,3
E00037096,134,26,12,71,17,3,5,0
E00037097,121,27,22,29,24,9,5,5
E00037098,118,19,28,31,20,11,8,1
E00037099,186,4,37,48,54,24,17,2
E00037100,129,11,34,35,27,15,3,4
E00037101,166,18,37,50,30,15,10,6
E00037102,153,17,30,57,28,12,6,3
E00037103,120,11,14,54,26,4,8,3
E00037104,119,12,11,52,33,4,4,3
E00037105,146,16,19,40,20,24,19,8
E00037106,101,9,9,24,25,23,8,3
E00037107,131,16,17,49,24,7,12,6
E00037108,130,8,9,73,26,5,7,2
E00037109,126,14,15,36,29,17,11,4
E00037110,175,15,29,53,42,22,9,5
E00037111,119,16,10,53,29,7,4,0
E00037112,135,25,28,31,20,14,14,3
E00037113,157,39,24,50,19,16,7,2
E00037240,137,24,12,76,13,3,9,0
E00037241,152,20,14,85,22,4,4,3
E00037242,138,32,17,53,12,9,14,1
E00037243,127,3,18,48,45,5,8,0
E00037244,116,34,12,40,18,8,4,0
E00037245,130,47,15,38,11,9,7,3
E00037246,114,10,10,53,23,7,9,2
E00037247,118,10,20,41,29,10,7,1
E00037248,129,30,22,34,16,10,13,4
E00037249,113,5,25,37,30,6,8,2
E00037250,115,11,10,44,24,15,6,5
E00037251,122,13,31,48,20,5,5,0
E00037252,108,12,8,38,16,20,11,3
E00037253,112,12,29,24,21,20,3,3
E00037254,134,10,36,28,27,23,8,2
E00037255,137,16,22,51,22,16,8,2
E00037256,122,10,14,62,27,4,5,0
E00037257,137,8,16,53,35,14,8,3
E00037258,112,11,8,29,32,23,7,2
E00037259,124,20,12,58,26,5,2,1
E00037260,120,17,7,60,13,6,13,4
E00037261,120,18,16,54,15,3,11,3
E00037262,136,17,12,47,32,18,8,2
E00037263,127,25,13,48,16,9,14,2
E00037264,89,12,11,40,22,2,2,0
E00037265,112,11,21,53,18,2,6,1
E00037266,162,15,22,45,47,16,17,0
E00037267,124,11,25,43,21,11,9,4
E00037268,118,20,14,33,26,10,14,1
E00037269,108,35,15,37,11,4,6,0
E00037270,129,7,31,41,27,19,3,1
E00037271,172,10,24,71,45,13,4,5
E00037272,127,11,27,45,23,13,5,3
E00037273,117,13,24,33,27,11,5,4
E00037274,107,9,17,42,19,12,5,3
E00037275,59,4,13,27,9,0,5,1
E00037322,129,14,22,32,30,14,11,6
E00037323,127,19,23,43,20,10,9,3
E00037324,137,11,57,30,13,12,14,0
E00037325,222,13,42,77,44,23,19,4
E00037326,239,21,33,105,50,14,12,4
E00037327,125,17,18,33,22,14,16,5
E00037328,192,9,51,58,40,19,10,5
E00037329,120,11,28,33,22,10,10,6
E00037330,103,5,22,33,19,17,6,1
E00037331,117,11,22,40,20,16,7,1
E00037332,124,13,20,38,23,17,9,4
E00037333,111,21,32,29,12,9,7,1
E00037334,128,14,18,43,21,17,12,3
E00037335,117,14,10,46,21,14,9,3
E00037336,135,11,17,48,46,6,5,2
E00037337,130,25,15,29,31,15,15,0
E00037338,134,13,16,40,30,27,6,2
E00037339,134,16,23,41,32,12,8,2
E00037340,123,11,10,39,32,16,13,2
E00037341,121,18,23,41,17,17,4,1
E00037342,100,35,27,20,6,4,6,2
E00037343,116,13,14,45,25,8,8,3
E00037344,127,22,17,37,32,10,8,1
E00037345,127,12,15,45,31,11,11,2
E00037346,150,17,29,52,32,8,9,3
E00037347,202,11,38,62,52,20,13,6
E00037348,126,16,14,53,21,12,5,5
E00037349,173,11,25,76,39,12,8,2
E00037351,118,13,10,42,23,17,9,4
E00037352,117,20,16,35,25,15,4,2
E00037353,112,9,17,45,19,13,6,3
E00037354,119,20,18,60,7,7,6,1
E00037355,130,11,19,65,25,4,5,1
E00037356,134,12,34,44,23,11,9,1
