pop..lsoa_code,pop..total_persons,pop..males,pop..females,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
E01007317,1471,716,755,107,145,119,170,167,344,275,144
E01007318,1644,814,830,92,202,121,224,291,397,207,110
E01007319,1482,736,746,70,88,89,182,125,419,306,203
E01007320,1867,958,909,120,230,137,332,257,458,214,119
E01007321,1457,692,765,36,61,76,138,112,410,365,259
E01007322,2343,1168,1175,141,227,148,418,415,612,234,148
E01007348,1468,714,754,65,120,103,174,175,337,322,172
E01007349,1624,779,845,93,141,113,243,205,404,278,147
E01007350,1131,559,572,42,77,54,87,88,227,340,216
E01007351,1555,752,803,95,141,100,184,192,429,300,114
E01007352,1566,744,822,114,173,135,246,217,392,201,88
E01007353,1738,836,902,105,157,123,304,212,451,232,154
E01007354,1653,827,826,71,131,111,228,191,468,341,112
E01007364,1464,747,717,86,135,110,205,169,391,246,122
E01007365,1182,571,611,68,93,99,179,180,300,176,87
E01007366,2225,1110,1115,158,158,144,317,301,571,427,149
E01007367,1206,604,602,105,136,101,148,181,272,201,62
E01007368,1700,817,883,96,162,119,237,237,429,275,145
E01007369,1865,939,926,148,193,138,287,293,484,227,95
E01007370,1616,743,873,156,128,119,249,235,393,259,77
E01007371,1998,952,1046,131,183,143,277,244,582,306,132
E01007372,1534,722,812,142,175,109,222,231,326,244,85
E01007373,1685,848,837,131,168,126,276,208,419,237,120
E01007374,1368,676,692,49,74,79,166,142,377,293,188
E01007375,1740,840,900,92,116,88,208,200,460,357,219
E01007376,1374,666,708,62,114,90,174,176,436,226,96
E01007377,1266,603,663,111,107,120,196,189,313,169,61
E01007378,1597,775,822,113,153,119,238,205,363,296,110
E01007388,1783,889,894,111,136,111,278,201,513,334,99
E01007389,1359,711,648,21,55,67,110,109,325,423,249
E01007390,1457,737,720,53,99,106,182,172,385,291,169
E01007391,1558,762,796,76,122,118,212,153,440,288,149
E01007392,1602,805,797,119,164,150,203,235,399,222,110
