health..oa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
E00001632,509,266,170,49,12,12
E00001634,260,125,85,36,12,2
E00001684,218,69,74,44,22,9
E00001938,387,177,147,47,14,2
E00001939,332,150,126,39,14,3
E00001940,317,149,116,40,11,1
E00001941,363,178,130,42,11,2
E00001943,242,112,80,36,10,4
E00001944,287,130,88,50,15,4
E00001945,385,172,132,55,20,6
E00001946,326,152,111,45,14,4
E00001947,283,109,110,38,20,6
E00001948,227,91,81,31,17,7
E00001949,263,137,99,19,7,1
E00001950,308,116,129,48,13,2
E00001951,280,122,98,43,15,2
E00001952,257,110,85,47,11,4
E00001953,363,145,136,69,13,0
E00001954,289,117,113,47,8,4
E00001955,365,186,130,40,6,3
E00001956,321,144,121,38,12,6
E00001957,373,157,100,56,53,7
E00001958,348,164,129,42,10,3
E00001959,349,160,130,44,13,2
E00001960,336,156,119,50,7,4
E00001961,345,162,131,36,16,0
E00001962,288,105,97,65,18,3
E00001963,287,128,108,39,8,4
E00001964,376,187,133,48,7,1
E00001965,350,159,127,43,15,6
E00001966,332,129,138,53,8,4
E00001967,268,94,105,45,17,7
E00001968,287,124,92,47,20,4
E00001969,318,156,111,41,10,0
E00001970,379,197,115,47,14,6
E00001971,366,186,133,38,8,1
E00002040,361,184,111,46,14,6
E00002041,380,187,117,47,18,11
E00002042,457,237,127,77,13,3
E00002043,349,178,105,43,18,5
E00002045,313,147,99,44,21,2
E00002047,370,170,143,39,12,6
E00002048,334,166,119,29,17,3
E00002050,267,123,82,44,16,2
E00002068,268,142,84,29,11,2
E00002069,267,151,71,21,17,7
E00002070,407,215,139,38,13,2
E00002071,453,218,163,47,20,5
E00002072,361,177,119,40,23,2
E00002090,248,123,93,26,6,0
E00002091,276,145,101,20,7,3
E00002093,270,89,125,42,9,5
E00002095,370,195,121,41,11,2
E00002099,381,197,131,38,13,2
E00002208,430,220,146,55,8,1
E00002209,326,164,116,31,12,3
E00002210,319,149,135,31,4,0
E00002211,361,179,122,47,10,3
E00002212,244,94,73,45,30,2
E00002213,358,158,139,44,13,4
E00002214,317,185,96,31,4,1
E00002215,278,120,104,36,15,3
E00002216,352,159,145,29,17,2
E00002217,365,223,98,32,7,5
E00002218,364,166,150,34,11,3
E00002219,355,191,118,36,8,2
E00002220,370,194,144,19,5,8
E00002221,356,179,128,38,8,3
E00002222,371,170,143,41,12,5
E00002223,321,142,116,48,12,3
E00002225,299,141,84,43,25,6
E00002226,341,154,122,44,13,8
E00002228,406,243,99,47,14,3
E00002229,345,192,118,26,8,1
E00002230,369,172,137,49,10,1
E00002231,300,151,108,30,8,3
E00002232,359,184,123,40,11,1
E00002233,363,179,149,21,10,4
E00002234,334,146,128,49,9,2
E00002235,412,229,147,28,3,5
E00002236,232,96,62,53,15,6
E00002237,375,186,142,35,8,4
E00002238,377,179,131,53,13,1
E00002239,350,166,126,46,6,6
E00002275,423,249,123,34,13,4
E00002276,155,76,57,14,7,1
E00002277,347,202,97,31,15,2
E00002279,400,226,124,35,10,5
E00002280,382,201,106,59,9,7
E00002281,513,257,164,69,15,8
E00002282,284,154,97,23,9,1
E00002283,267,134,91,27,12,3
E00002284,391,220,135,31,3,2
E00002285,391,234,127,24,3,3
E00002286,322,220,81,13,7,1
E00002287,316,184,99,24,9,0
E00002288,433,246,112,45,21,9
E00002289,376,212,114,29,15,6
E00002290,293,171,91,20,10,1
E00002291,374,205,131,27,7,4
E00002292,260,114,89,34,20,3
E00002293,407,241,114,32,15,5
E00002294,294,168,94,22,5,5
E00002295,226,83,85,38,16,4
E00002296,436,259,125,43,6,3
E00002297,292,141,114,24,10,3
E00002298,333,157,120,40,14,2
E00002299,236,121,85,24,5,1
E00002300,317,158,103,33,14,9
E00002301,266,127,73,44,18,4
E00002302,187,67,70,31,15,4
E00002303,263,132,83,31,12,5
E00002304,383,196,143,30,11,3
E00002305,211,76,81,33,16,5
E00002306,284,129,96,41,13,5
E00002307,403,226,108,39,19,11
E00002308,282,133,77,44,21,7
E00002309,144,43,40,37,18,6
E00003159,341,204,103,24,9,1
E00003177,289,150,99,31,8,1
E00003241,209,105,77,23,2,2
E00003333,400,244,113,38,4,1
E00003346,320,139,126,40,10,5
E00003347,271,104,105,43,16,3
E00003348,252,112,86,40,14,0
E00003404,255,127,80,31,12,5
E00003599,264,132,91,32,7,2
E00003635,218,100,71,33,12,2
E00003637,260,146,88,20,3,3
E00003638,249,108,95,32,9,5
E00003639,231,95,85,37,12,2
E00003640,275,133,89,43,7,3
E00003641,259,135,86,27,8,3
E00003642,219,110,78,21,9,1
E00003646,396,190,135,61,9,1
E00003708,297,139,98,47,10,3
E00003709,364,184,129,42,7,2
E00003713,330,184,116,28,2,0
E00003720,267,153,80,25,6,3
E00003722,340,149,130,36,20,5
E00003723,397,212,136,41,7,1
E00003724,274,143,95,29,6,1
E00003725,134,66,47,15,6,0
E00003726,346,197,115,28,5,1
E00003727,274,135,98,33,7,1
E00003728,222,94,82,33,12,1
E00003729,380,180,142,45,10,3
E00003730,338,204,104,27,2,1
E00003731,349,188,115,33,12,1
E00003732,230,134,68,26,2,0
E00003733,395,165,136,67,18,9
E00003734,368,205,134,27,2,0
E00003735,320,172,120,23,4,1
E00003736,327,171,114,37,3,2
E00003737,276,149,83,35,6,3
E00003756,336,175,118,33,8,2
E00003760,294,143,91,47,7,6
E00003763,285,144,91,30,14,6
E00003764,429,184,158,62,23,2
E00003805,310,157,107,35,9,2
E00003806,257,102,85,51,17,2
E00003807,277,117,94,44,20,2
E00003808,357,207,111,29,8,2
E00003809,242,118,69,38,14,3
E00003810,285,141,93,38,8,5
E00003811,298,112,107,50,23,6
E00003812,278,123,102,41,10,2
E00003813,346,144,145,44,12,1
E00003814,245,113,84,40,7,1
E00003815,249,118,80,41,10,0
E00003816,229,103,63,43,17,3
E00003817,165,56,46,38,19,6
E00003818,328,143,119,53,7,6
E00003819,363,192,114,42,9,6
E00003820,275,125,91,40,14,5
E00003821,345,178,109,43,12,3
