house..oa_id,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
E00001632,163,11,25,29,38,26,17,17
E00001634,98,5,17,18,24,22,9,3
E00001684,91,25,4,31,5,13,9,4
E00001938,138,22,10,46,40,3,11,6
E00001939,115,9,9,44,38,5,7,3
E00001940,123,17,8,45,29,11,11,2
E00001941,131,13,13,45,30,6,16,8
E00001943,125,14,48,24,12,17,7,3
E00001944,116,16,19,31,20,16,11,3
E00001945,135,13,13,47,35,6,13,8
E00001946,127,12,17,47,26,11,9,5
E00001947,131,23,31,25,21,10,19,2
E00001948,119,25,31,22,12,21,7,1
E00001949,110,12,27,29,23,12,4,3
E00001950,123,16,8,51,22,13,12,1
E00001951,120,13,18,57,11,9,10,2
E00001952,111,15,17,44,17,6,9,3
E00001953,135,15,12,43,33,8,17,7
E00001954,114,19,6,58,17,3,7,4
E00001955,125,14,7,51,34,7,8,4
E00001956,113,10,11,36,24,10,12,10
E00001957,116,23,11,32,25,7,14,4
E00001958,122,14,6,43,37,8,13,1
E00001959,144,14,30,43,25,13,14,5
E00001960,112,4,4,49,27,6,13,9
E00001961,126,23,3,46,32,4,13,5
E00001962,125,33,14,33,18,8,15,4
E00001963,130,12,30,34,20,16,14,4
E00001964,126,12,6,52,35,10,7,4
E00001965,122,17,8,34,28,17,12,6
E00001966,114,11,8,39,29,6,13,8
E00001967,132,34,26,34,21,6,8,3
E00001968,142,44,25,26,14,11,16,6
E00001969,115,13,9,39,28,6,12,8
E00001970,135,20,6,54,35,4,12,4
E00001971,124,13,4,51,40,2,8,6
E00002040,115,6,21,14,26,27,10,11
E00002041,143,9,43,18,21,27,17,8
E00002042,131,5,17,28,34,24,12,11
E00002043,134,19,19,35,27,10,15,9
E00002045,132,34,21,29,21,15,8,4
E00002047,126,5,17,40,34,7,15,8
E00002048,130,16,17,35,20,16,20,6
E00002050,118,5,28,43,21,10,8,3
E00002068,139,13,52,15,19,29,5,6
E00002069,141,10,55,12,20,23,14,7
E00002070,122,5,10,25,32,16,20,14
E00002071,143,3,23,29,26,31,16,15
E00002072,119,6,16,15,31,27,12,12
E00002090,90,11,2,43,22,6,3,3
E00002091,102,14,5,45,27,1,6,4
E00002093,112,23,2,59,19,1,5,3
E00002095,136,24,6,50,41,1,7,7
E00002099,140,12,14,59,33,4,12,6
E00002208,135,9,4,57,45,8,3,9
E00002209,118,12,11,42,34,5,10,4
E00002210,111,9,8,34,36,8,13,3
