ethn..sa_id,ethn..total_persons,ethn..ethnic_group_e_s_w_white_unit_persons,ethn..ethnic_group_e_s_w_white_gypsy_or_irish_traveller_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_indian_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_pakistani_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_bangladeshi_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_chinese_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_other_asian_unit_persons,ethn..ethnic_group_e_s_w_black_african_caribbean_black_british_unit_persons,ethn..ethnic_group_e_s_w_other_ethnic_group_any_other_ethnic_group_unit_persons,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
S00091440,109,105,1,0,0,0,0,0,1,1,1,106,1,1,0,1
S00091441,90,90,0,0,0,0,0,0,0,0,0,90,0,0,0,0
S00091443,149,148,0,0,0,0,0,1,0,0,0,148,0,1,0,0
S00092993,106,106,0,0,0,0,0,0,0,0,0,106,0,0,0,0
S00092994,151,146,0,2,0,0,0,1,1,0,1,146,0,2,2,1
S00092995,84,84,0,0,0,0,0,0,0,0,0,84,0,0,0,0
S00092996,97,97,0,0,0,0,0,0,0,0,0,97,0,0,0,0
S00092997,93,93,0,0,0,0,0,0,0,0,0,93,0,0,0,0
S00092998,143,143,0,0,0,0,0,0,0,0,0,143,0,0,0,0
S00092999,159,158,0,0,1,0,0,0,0,0,0,158,0,1,0,0
S00093000,95,94,0,1,0,0,0,0,0,0,0,94,0,0,1,0
S00093001,139,139,0,0,0,0,0,0,0,0,0,139,0,0,0,0
S00093002,176,176,0,0,0,0,0,0,0,0,0,176,0,0,0,0
S00093003,93,88,0,0,0,0,0,5,0,0,0,88,0,5,0,0
S00093004,201,196,0,3,0,0,0,0,0,2,0,196,2,0,3,0
S00093005,170,161,0,0,0,9,0,0,0,0,0,161,0,9,0,0
S00093006,160,160,0,0,0,0,0,0,0,0,0,160,0,0,0,0
S00093007,160,159,0,0,0,0,0,0,0,0,1,159,0,0,0,1
S00093009,55,55,0,0,0,0,0,0,0,0,0,55,0,0,0,0
S00093011,96,95,0,0,1,0,0,0,0,0,0,95,0,1,0,0
S00093012,112,110,1,0,1,0,0,0,0,0,0,111,0,1,0,0
S00093013,138,133,0,1,1,2,0,0,1,0,0,133,0,4,1,0
S00093018,113,113,0,0,0,0,0,0,0,0,0,113,0,0,0,0
S00093020,78,75,0,0,1,0,0,0,0,0,2,75,0,1,0,2
S00093021,95,95,0,0,0,0,0,0,0,0,0,95,0,0,0,0
S00093022,96,96,0,0,0,0,0,0,0,0,0,96,0,0,0,0
S00093023,107,107,0,0,0,0,0,0,0,0,0,107,0,0,0,0
S00093024,61,61,0,0,0,0,0,0,0,0,0,61,0,0,0,0
S00093025,109,109,0,0,0,0,0,0,0,0,0,109,0,0,0,0
S00093026,118,118,0,0,0,0,0,0,0,0,0,118,0,0,0,0
S00093027,118,115,1,1,1,0,0,0,0,0,0,116,0,1,1,0
S00093028,120,120,0,0,0,0,0,0,0,0,0,120,0,0,0,0
S00093029,171,170,1,0,0,0,0,0,0,0,0,171,0,0,0,0
S00093030,118,118,0,0,0,0,0,0,0,0,0,118,0,0,0,0
S00093031,84,84,0,0,0,0,0,0,0,0,0,84,0,0,0,0
S00093032,151,149,0,0,0,0,0,0,2,0,0,149,0,2,0,0
S00093033,224,219,2,1,0,0,0,0,0,1,1,221,1,0,1,1
S00093034,103,103,0,0,0,0,0,0,0,0,0,103,0,0,0,0
S00093035,106,102,0,2,1,1,0,0,0,0,0,102,0,2,2,0
S00093036,105,105,0,0,0,0,0,0,0,0,0,105,0,0,0,0
S00093037,91,90,0,1,0,0,0,0,0,0,0,90,0,0,1,0
S00093038,63,57,0,0,0,1,0,0,0,0,5,57,0,1,0,5
S00093039,163,161,0,0,0,0,0,0,0,2,0,161,2,0,0,0
S00093040,139,138,0,0,0,1,0,0,0,0,0,138,0,1,0,0
S00093041,61,61,0,0,0,0,0,0,0,0,0,61,0,0,0,0
S00093042,176,174,0,0,0,0,0,0,0,2,0,174,2,0,0,0
S00093043,125,125,0,0,0,0,0,0,0,0,0,125,0,0,0,0
S00093044,68,68,0,0,0,0,0,0,0,0,0,68,0,0,0,0
S00093045,172,171,0,0,0,0,0,0,0,1,0,171,1,0,0,0
S00093050,71,71,0,0,0,0,0,0,0,0,0,71,0,0,0,0
S00093051,79,75,0,3,1,0,0,0,0,0,0,75,0,1,3,0
S00093095,155,151,0,3,0,0,0,0,0,0,1,151,0,0,3,1
S00093096,57,56,1,0,0,0,0,0,0,0,0,57,0,0,0,0
S00093097,60,60,0,0,0,0,0,0,0,0,0,60,0,0,0,0
S00093098,79,79,0,0,0,0,0,0,0,0,0,79,0,0,0,0
S00093102,193,173,0,0,3,11,0,3,0,0,3,173,0,17,0,3
S00093104,114,114,0,0,0,0,0,0,0,0,0,114,0,0,0,0
S00093120,110,105,1,0,3,1,0,0,0,0,0,106,0,4,0,0
S00093121,117,110,0,0,4,0,0,0,2,1,0,110,1,6,0,0
S00093426,137,135,0,0,0,0,0,0,0,2,0,135,2,0,0,0
