health..sa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
S00091440,109,72,27,7,2,1
S00091441,90,46,29,13,2,0
S00091443,149,90,39,13,7,0
S00092993,106,64,30,7,4,1
S00092994,151,90,45,14,2,0
S00092995,84,52,23,6,3,0
S00092996,97,51,32,8,5,1
S00092997,93,41,30,15,6,1
S00092998,143,83,48,11,1,0
S00092999,159,94,43,19,2,1
S00093000,95,47,36,10,1,1
S00093001,139,63,48,19,5,4
S00093002,176,98,40,24,10,4
S00093003,93,52,31,8,1,1
S00093004,201,99,62,24,9,7
S00093005,170,117,35,12,5,1
S00093006,160,109,42,9,0,0
S00093007,160,106,41,9,2,2
S00093009,55,28,14,8,4,1
S00093011,96,42,34,9,10,1
S00093012,112,59,37,10,6,0
S00093013,138,73,51,11,3,0
S00093018,113,78,29,3,2,1
S00093020,78,38,25,14,0,1
S00093021,95,52,34,7,2,0
S00093022,96,49,29,9,7,2
S00093023,107,58,37,9,3,0
S00093024,61,25,20,12,2,2
S00093025,109,59,34,10,4,2
S00093026,118,57,41,7,8,5
S00093027,118,65,38,11,3,1
S00093028,120,80,28,8,4,0
S00093029,171,95,52,16,5,3
S00093030,118,67,37,10,3,1
S00093031,84,37,34,11,2,0
S00093032,151,82,57,9,3,0
S00093033,224,114,87,19,4,0
S00093034,103,61,30,10,1,1
S00093035,106,74,26,5,1,0
S00093036,105,54,38,10,3,0
S00093037,91,45,30,10,5,1
S00093038,63,33,25,5,0,0
S00093039,163,87,51,16,7,2
S00093040,139,82,42,11,3,1
S00093041,61,31,19,7,4,0
S00093042,176,94,59,17,3,3
S00093043,125,57,41,20,4,3
S00093044,68,33,21,10,3,1
S00093045,172,93,44,27,8,0
S00093050,71,45,19,7,0,0
S00093051,79,54,19,5,0,1
S00093095,155,90,44,18,2,1
S00093096,57,32,20,4,1,0
S00093097,60,37,15,5,2,1
S00093098,79,38,29,8,2,2
S00093102,193,138,35,14,5,1
S00093104,114,75,29,6,4,0
S00093120,110,64,30,11,5,0
S00093121,117,60,43,11,3,0
S00093426,137,65,46,22,4,0
S00093427,149,62,48,29,7,3
S00093428,124,62,42,12,6,2
S00093429,114,64,35,14,1,0
S00093430,154,90,41,19,4,0
S00093434,110,63,28,13,3,3
S00093435,100,58,32,9,1,0
S00093436,120,50,47,20,3,0
S00093437,53,35,11,4,2,1
S00093438,99,49,38,11,1,0
S00093439,129,51,44,26,7,1
S00093440,124,61,37,20,4,2
S00093441,77,36,31,7,0,3
S00093442,100,39,40,14,5,2
