house..sa_id,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
S00091440,45,2,11,16,9,0,1,6
S00091441,41,6,8,19,6,1,0,1
S00091443,67,12,7,34,10,0,1,3
S00092993,43,1,6,21,10,2,0,3
S00092994,65,3,13,28,13,5,1,2
S00092995,40,3,8,18,9,0,1,1
S00092996,40,4,3,22,6,3,1,1
S00092997,47,9,9,20,5,0,1,3
S00092998,66,11,9,30,12,2,0,2
S00092999,65,4,8,33,13,4,0,3
S00093000,43,7,5,22,7,0,1,1
S00093001,55,5,3,34,10,2,1,0
S00093002,69,7,7,32,14,2,1,6
S00093003,38,4,4,19,7,0,0,4
S00093004,84,7,10,36,20,5,1,5
S00093005,62,1,6,29,20,1,0,5
S00093006,68,1,11,40,13,1,0,2
S00093007,60,4,5,26,19,3,0,3
S00093009,25,5,3,9,6,1,0,1
S00093011,40,2,5,21,9,0,0,3
S00093012,49,6,7,16,12,4,2,2
S00093013,59,2,11,30,10,1,1,4
S00093018,43,3,4,21,11,1,0,3
S00093020,33,5,4,15,4,1,2,2
S00093021,42,4,7,19,9,0,1,2
S00093022,45,4,7,26,6,0,0,2
S00093023,40,2,1,24,12,0,0,1
S00093024,31,5,3,20,2,0,0,1
S00093025,44,1,6,25,9,0,1,2
S00093026,54,5,8,28,8,1,0,4
S00093027,52,5,14,17,10,2,3,1
S00093028,45,2,9,12,19,2,0,1
S00093029,73,6,13,29,17,0,1,7
S00093030,41,3,3,18,14,1,1,1
S00093031,41,6,11,18,4,1,1,0
S00093032,62,4,13,23,18,2,0,2
S00093033,53,4,8,23,10,3,1,4
S00093034,40,2,7,16,9,2,1,3
S00093035,41,2,6,19,10,2,1,1
S00093036,39,4,5,11,11,3,1,4
S00093037,42,4,8,19,7,4,0,0
S00093038,27,0,8,14,3,1,1,0
S00093039,68,4,9,34,14,4,1,2
S00093040,63,6,17,25,13,2,0,0
S00093041,26,4,4,11,4,1,1,1
S00093042,71,8,5,32,22,2,0,2
S00093043,59,10,11,23,13,0,0,2
S00093044,31,6,2,17,3,1,1,1
S00093045,70,6,12,26,17,2,4,3
S00093050,36,0,13,15,5,2,0,1
S00093051,35,7,7,8,9,1,1,2
S00093095,63,7,11,26,13,3,0,3
S00093096,25,0,8,11,4,1,0,1
S00093097,28,1,11,10,1,1,2,2
S00093098,34,5,3,16,5,2,0,3
S00093102,65,2,3,28,22,3,3,4
S00093104,54,6,16,13,9,4,1,5
S00093120,46,5,6,20,11,1,2,1
S00093121,55,6,10,27,8,1,1,2
S00093426,66,13,9,26,10,2,1,5
S00093427,77,10,27,20,12,2,1,5
S00093428,59,8,8,29,5,6,0,3
S00093429,44,5,4,23,6,1,1,4
S00093430,59,8,6,23,10,8,2,2
S00093434,46,6,6,23,9,0,2,0
S00093435,41,4,5,20,9,0,2,1
S00093436,58,10,5,33,8,0,0,2
S00093437,25,6,7,5,5,0,0,2
S00093438,49,9,9,16,7,6,1,1
S00093439,73,16,20,20,9,7,0,1
S00093440,50,4,4,17,10,6,1,8
S00093441,36,6,7,10,4,7,0,2
S00093442,58,13,13,23,6,1,0,2
S00093443,64,10,10,28,9,4,0,3
S00093444,43,6,10,21,3,0,0,3
S00093445,63,8,6,31,15,2,0,1
S00093446,31,4,2,17,6,0,0,2
S00093447,39,3,2,18,14,0,0,2
S00093448,29,2,6,14,4,1,0,2
S00093449,76,8,8,42,13,1,1,3
S00093450,34,9,5,11,7,0,0,2
S00093451,47,1,5,21,17,1,1,1
S00093452,73,15,10,22,9,10,1,6
S00093453,72,22,10,22,8,4,1,5
S00093454,61,7,12,17,14,5,0,6
S00093455,75,24,19,15,9,5,1,2
S00093456,65,25,15,13,4,2,1,5
S00093457,39,7,16,6,4,1,0,5
S00093458,75,9,18,25,16,2,1,4
S00093459,75,13,12,29,12,4,1,4
S00093460,73,11,23,15,10,7,1,6
S00093461,57,5,16,19,11,5,0,1
S00093462,39,2,7,8,10,8,0,4
S00093463,47,12,7,10,9,6,0,3
S00093464,31,1,10,11,7,1,0,1
S00093465,47,7,11,15,5,8,1,0
S00093466,74,13,15,17,12,10,1,6
S00093467,62,7,19,16,6,9,1,4
S00093468,29,1,7,11,4,5,0,1
S00093469,62,10,12,22,8,5,1,4
