pop..dz_code,pop..total_persons,pop..males,pop..females,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
S01007244,664,346,318,17,17,37,62,56,201,196,78
S01007245,683,330,353,29,50,33,71,61,195,169,75
S01007246,635,316,319,22,34,47,64,61,168,185,54
S01007247,706,353,353,32,50,46,61,84,189,186,58
S01007248,703,353,350,13,39,57,63,40,193,192,106
S01007249,473,238,235,23,30,24,50,54,97,101,94
S01007250,741,360,381,25,40,49,98,95,200,166,68
S01007251,505,230,275,13,39,45,57,62,120,103,66
S01007252,668,318,350,22,69,45,102,84,165,122,59
S01007253,1341,672,669,58,114,75,119,147,373,312,143
S01007254,761,347,414,40,63,58,84,95,191,137,93
S01007255,741,354,387,56,59,48,129,89,185,128,47
S01007256,837,407,430,42,53,77,105,114,206,168,72
S01007257,645,340,305,34,54,36,120,75,195,68,63
S01007258,868,428,440,41,82,72,94,85,266,141,87
S01007259,887,393,494,52,71,50,116,138,189,151,120
S01007260,857,406,451,54,77,57,131,136,209,141,52
S01007261,710,340,370,22,46,33,77,50,185,185,112
S01007262,689,342,347,32,68,54,69,87,197,102,80
S01007263,713,328,385,33,39,37,82,72,174,182,94
S01007264,725,333,392,25,35,44,77,53,209,151,131
S01007265,1090,520,570,48,90,82,156,103,294,175,142
S01007266,627,320,307,27,42,32,68,47,196,143,72
S01007267,545,272,273,22,48,26,46,46,175,132,50
S01007268,583,287,296,32,28,35,77,71,168,119,53
S01007269,480,241,239,17,24,24,49,44,133,126,63
S01007270,590,292,298,27,58,29,64,71,164,115,62
S01007271,932,418,514,23,45,44,113,97,267,217,126
S01007272,805,383,422,50,75,50,129,114,212,121,54
S01007273,667,316,351,44,63,41,88,73,181,99,78
S01007274,723,369,354,28,48,35,93,88,224,110,97
S01007275,630,278,352,27,47,33,64,50,159,128,122
S01007276,931,451,480,49,91,63,114,87,268,161,98
S01007277,727,348,379,22,58,51,71,62,189,172,102
S01007278,485,240,245,16,36,29,44,37,140,105,78
S01007279,628,331,297,23,50,29,63,66,179,169,49
S01007280,586,304,282,31,54,55,52,75,150,127,42
S01007281,847,437,410,39,51,60,79,97,265,196,60
S01007404,460,225,235,19,37,30,46,38,131,113,46
S01007409,663,332,331,22,26,37,59,76,159,158,126
S01007410,642,320,322,30,66,59,97,66,192,83,49
S01007411,876,436,440,56,85,61,140,114,221,128,71
S01007412,464,224,240,24,32,28,66,57,122,96,39
S01007413,825,416,409,34,44,57,108,84,268,182,48
S01007414,697,333,364,26,68,77,90,66,247,94,29
S01007415,920,408,512,62,101,85,128,94,223,162,65
S01007416,554,241,313,59,77,56,75,66,137,69,15
S01007417,970,489,481,41,76,87,115,109,315,164,63
S01007418,646,319,327,24,71,45,98,63,197,109,39
S01007419,870,402,468,56,133,75,114,136,231,95,30
S01007420,1375,885,490,65,108,70,227,205,504,154,42
S01007421,697,324,373,40,70,67,72,86,222,97,43
S01007422,652,295,357,24,49,42,76,66,176,121,98
S01007423,806,394,412,64,88,60,92,111,240,108,43
S01007424,714,321,393,21,53,43,57,72,146,215,107
S01007425,757,381,376,34,69,37,95,44,210,182,86
S01007426,874,435,439,79,56,54,155,93,226,148,63
S01007427,582,278,304,24,47,22,82,74,138,124,71
S01007428,793,369,424,27,32,35,105,64,259,173,98
S01007429,726,322,404,32,57,46,125,97,192,144,33
S01007430,406,176,230,13,29,18,47,34,99,109,57
S01007431,487,232,255,7,17,28,69,30,151,132,53
S01007432,866,401,465,46,64,53,78,97,251,180,97
S01007433,927,454,473,55,55,53,131,84,268,205,76
S01007434,487,243,244,34,35,28,82,70,122,82,34
S01007435,639,333,306,23,57,43,65,77,178,130,66
S01007436,650,341,309,34,37,41,94,84,192,113,55
