rel..sa_id,rel..total_persons,rel..christian_church_of_scotland,rel..christian_roman_catholic,rel..christian_other_christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
S00091440,109,42,5,14,0,0,1,1,0,0,42,4
S00091441,90,33,3,3,0,0,0,0,0,0,48,3
S00091443,149,51,10,12,0,0,0,0,0,0,53,23
S00092993,106,58,3,7,0,0,0,0,0,0,32,6
S00092994,151,63,14,5,1,0,0,0,0,0,64,4
S00092995,84,29,4,9,0,0,0,0,0,0,39,3
S00092996,97,35,8,3,0,0,0,0,0,1,39,11
S00092997,93,39,6,2,0,0,0,0,0,0,36,10
S00092998,143,66,9,4,1,0,0,0,0,0,55,8
S00092999,159,74,8,9,0,0,0,0,0,0,63,5
S00093000,95,33,7,6,0,0,0,0,0,2,44,3
S00093001,139,59,11,4,0,0,0,0,0,3,55,7
S00093002,176,66,19,12,0,0,0,0,0,0,67,12
S00093003,93,39,0,4,2,0,0,0,0,0,41,7
S00093004,201,88,17,9,0,0,0,0,0,1,67,19
S00093005,170,83,7,4,0,0,0,8,0,0,59,9
S00093006,160,90,8,8,0,0,0,0,0,0,45,9
S00093007,160,84,12,4,0,0,0,0,0,0,43,17
S00093009,55,32,4,0,0,0,0,0,0,0,18,1
S00093011,96,37,3,1,0,0,0,0,0,4,45,6
S00093012,112,52,5,12,0,0,0,0,0,1,38,4
S00093013,138,66,11,11,1,1,0,1,0,0,38,9
S00093018,113,54,3,3,0,0,0,0,0,0,44,9
S00093020,78,24,14,16,1,0,0,0,0,1,14,8
S00093021,95,46,3,8,0,0,0,0,0,0,37,1
S00093022,96,40,2,3,0,0,0,0,0,0,45,6
S00093023,107,56,2,2,0,0,0,0,0,1,43,3
S00093024,61,37,0,2,0,0,0,0,0,0,22,0
S00093025,109,47,3,3,0,0,0,0,0,0,50,6
S00093026,118,72,5,5,0,0,0,0,0,0,29,7
S00093027,118,53,9,6,0,1,1,0,0,1,43,4
S00093028,120,62,5,10,0,0,0,0,0,0,38,5
S00093029,171,86,9,13,0,0,0,1,0,1,49,12
S00093030,118,69,5,6,0,0,0,0,0,0,37,1
S00093031,84,31,3,14,1,0,0,0,0,1,24,10
S00093032,151,59,8,15,0,0,0,0,0,0,60,9
S00093033,224,64,29,7,0,0,0,0,0,2,106,16
S00093034,103,51,8,6,0,0,0,0,0,0,34,4
S00093035,106,52,9,14,0,0,0,0,0,0,22,9
S00093036,105,32,8,11,1,0,0,0,0,0,35,18
S00093037,91,30,4,4,0,0,0,0,0,1,43,9
S00093038,63,35,0,3,0,0,0,6,0,0,13,6
S00093039,163,62,0,18,3,0,0,0,0,0,59,21
S00093040,139,73,5,6,0,0,0,2,0,0,43,10
S00093041,61,31,0,9,1,0,0,0,0,0,17,3
S00093042,176,91,15,4,2,0,0,0,0,0,55,9
S00093043,125,50,5,15,0,0,0,0,0,0,45,10
S00093044,68,33,4,5,0,0,0,0,0,0,21,5
S00093045,172,76,9,6,0,0,0,1,0,0,74,6
S00093050,71,30,3,8,0,0,0,0,0,0,26,4
S00093051,79,29,11,2,0,0,0,0,0,0,30,7
S00093095,155,68,1,13,0,0,0,0,0,1,57,15
S00093096,57,24,5,3,0,0,0,0,0,0,24,1
S00093097,60,28,0,11,0,0,0,0,0,0,8,13
S00093098,79,33,1,8,0,0,0,0,0,0,29,8
