ethn..geo_code,ethn..total_persons,ethn..ethnic_group_e_s_w_white_english_welsh_scottish_northern_irish_british_unit_persons,ethn..ethnic_group_e_s_w_white_irish_unit_persons,ethn..ethnic_group_e_s_w_white_gypsy_or_irish_traveller_unit_persons,ethn..ethnic_group_e_s_w_white_other_white_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_white_and_black_caribbean_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_white_and_black_african_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_white_and_asian_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_other_mixed_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_indian_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_pakistani_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_bangladeshi_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_chinese_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_other_asian_unit_persons,ethn..ethnic_group_e_s_w_black_african_caribbean_black_british_african_unit_persons,ethn..ethnic_group_e_s_w_black_african_caribbean_black_british_caribbean_unit_persons,ethn..ethnic_group_e_s_w_black_african_caribbean_black_british_other_black_unit_persons,ethn..ethnic_group_e_s_w_other_ethnic_group_arab_unit_persons,ethn..ethnic_group_e_s_w_other_ethnic_group_any_other_ethnic_group_unit_persons,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
E00092476,166,158,0,0,5,0,0,0,1,2,0,0,0,0,0,0,0,0,0,163,0,2,1,0
E00092498,307,300,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,305,0,0,0,2
E00092567,354,310,3,0,21,0,3,4,0,0,0,0,7,4,0,0,1,1,0,334,1,11,7,1
E00092572,297,267,0,0,16,3,1,1,0,2,0,4,0,0,1,2,0,0,0,283,3,6,5,0
E00092576,312,287,0,3,8,1,2,0,0,1,0,0,0,3,1,0,0,1,5,298,1,4,3,6
E00092579,283,257,3,0,9,1,0,2,1,0,1,0,6,0,1,2,0,0,0,269,3,7,4,0
E00147246,276,271,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,275,0,0,1,0
E00147247,477,455,1,0,17,0,0,1,0,0,1,1,0,1,0,0,0,0,0,473,0,3,1,0
W00000259,292,285,0,0,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,286,0,0,6,0
W00000260,274,266,2,0,3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,271,0,1,1,1
W00000261,223,208,0,0,7,1,1,2,0,1,1,1,1,0,0,0,0,0,0,215,0,4,4,0
W00000262,331,327,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,329,1,0,0,1
W00000263,318,312,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,316,0,0,2,0
W00000264,243,242,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,242,0,0,1,0
W00000265,293,291,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,0,0,0,0
W00000419,392,385,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,390,0,0,2,0
W00000420,354,349,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,353,0,0,1,0
W00000421,349,328,2,0,17,0,0,0,1,0,0,0,0,1,0,0,0,0,0,347,0,1,1,0
W00000422,416,413,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,414,0,1,1,0
W00000445,260,250,2,1,4,0,0,0,0,0,0,0,0,2,0,1,0,0,0,257,1,2,0,0
W00000446,289,284,0,0,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,284,0,2,3,0
W00000447,328,325,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,327,0,1,0,0
W00000629,239,236,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,0,0,0,0
W00000630,294,285,1,0,3,1,0,0,0,4,0,0,0,0,0,0,0,0,0,289,0,4,1,0
W00000631,211,201,3,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,207,0,4,0,0
W00000632,429,412,10,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,423,0,0,1,5
W00000633,368,354,3,0,3,1,2,0,0,0,0,0,4,0,0,0,1,0,0,360,1,4,3,0
W00000634,213,198,6,0,5,1,0,0,1,0,0,0,0,0,0,1,0,0,1,209,1,0,2,1
W00000635,274,265,4,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,269,0,0,5,0
W00000636,193,184,1,1,4,0,0,1,0,1,0,0,0,0,0,1,0,0,0,190,1,1,1,0
W00000637,240,235,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0
W00000643,375,365,3,0,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,373,0,1,1,0
W00000644,365,354,3,0,1,0,0,0,0,0,0,0,0,1,0,6,0,0,0,358,6,1,0,0
W00000645,312,309,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,0,0,0,0
W00000646,399,380,2,1,3,0,0,1,0,5,0,0,1,0,0,0,0,6,0,386,0,6,1,6
W00000647,343,335,0,0,1,1,0,0,0,0,0,0,1,4,0,0,0,0,1,336,0,5,1,1
W00000648,328,325,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,326,0,1,1,0
W00000668,502,487,0,0,3,1,1,1,0,0,1,0,5,0,3,0,0,0,0,490,3,6,3,0
W00000669,282,267,2,0,3,0,0,3,2,4,0,0,1,0,0,0,0,0,0,272,0,5,5,0
W00000670,296,287,2,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,294,0,2,0,0
W00000671,262,253,2,0,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,257,0,0,5,0
W00000672,353,348,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,350,0,0,3,0
W00000673,365,356,5,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,362,0,1,2,0
W00000674,387,375,2,0,1,1,0,0,0,4,0,0,0,0,0,0,0,4,0,378,0,4,1,4
W00000675,292,275,4,2,3,2,1,1,0,1,0,0,0,1,0,0,0,1,1,284,0,2,4,2
W00000676,331,323,3,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,327,0,1,3,0
W00000677,332,325,0,0,3,0,0,2,0,1,0,0,0,1,0,0,0,0,0,328,0,2,2,0
W00000678,284,270,2,0,6,2,1,1,1,0,0,0,1,0,0,0,0,0,0,278,0,1,5,0
W00000679,282,262,6,1,3,1,0,3,1,0,0,0,0,3,2,0,0,0,0,272,2,3,5,0
W00000680,315,306,2,0,3,2,0,1,0,0,0,0,0,1,0,0,0,0,0,311,0,1,3,0
W00000681,283,279,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,279,0,0,3,1
W00000697,265,259,1,0,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,262,0,2,1,0
W00000698,310,296,1,0,7,0,1,0,0,0,1,0,3,0,1,0,0,0,0,304,1,4,1,0
W00000699,332,324,0,1,1,0,0,1,1,0,1,0,0,3,0,0,0,0,0,326,0,4,2,0
W00000700,341,313,5,0,4,0,0,0,0,3,0,0,0,0,0,0,0,16,0,322,0,3,0,16
W00000701,267,253,1,1,6,1,0,1,1,2,0,0,0,0,0,0,0,0,1,261,0,2,3,1
W00000702,311,297,2,0,4,1,1,0,2,0,0,0,3,1,0,0,0,0,0,303,0,4,4,0
W00000703,222,213,3,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,216,0,5,1,0
W00000704,180,164,5,0,6,1,0,1,0,0,1,0,0,1,0,0,0,1,0,175,0,2,2,1
W00000705,286,263,3,0,9,0,0,2,0,5,0,0,2,2,0,0,0,0,0,275,0,9,2,0
W00000706,195,178,3,0,6,1,2,0,0,0,0,0,0,0,0,0,0,5,0,187,0,0,3,5
W00000707,197,153,2,0,23,2,0,2,0,0,0,0,9,2,0,1,0,2,1,178,1,11,4,3
W00000708,296,257,7,0,10,2,0,2,3,4,0,5,3,2,1,0,0,0,0,274,1,14,7,0
W00000709,222,184,2,0,11,5,1,4,1,0,1,4,6,2,0,1,0,0,0,197,1,13,11,0
W00000710,308,300,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,307,0,1,0,0
W00000711,246,239,1,0,1,1,0,0,3,0,0,0,0,1,0,0,0,0,0,241,0,1,4,0
W00000712,310,307,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,309,0,0,1,0
W00000713,239,232,0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,237,0,0,2,0
W00000714,297,273,4,0,16,2,0,0,0,1,0,0,1,0,0,0,0,0,0,293,0,2,2,0
W00000715,369,346,0,0,8,3,0,0,4,0,0,0,5,0,0,2,0,0,1,354,2,5,7,1
W00000716,349,339,1,0,5,2,0,0,1,0,0,0,1,0,0,0,0,0,0,345,0,1,3,0
W00000717,345,325,1,0,7,5,0,0,0,1,0,0,1,2,3,0,0,0,0,333,3,4,5,0
W00000718,215,203,2,0,2,1,2,0,0,2,0,0,0,3,0,0,0,0,0,207,0,5,3,0
W00000719,255,247,1,0,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,252,0,2,1,0
W00000720,330,317,0,0,2,0,5,0,4,0,0,0,0,0,0,0,0,2,0,319,0,0,9,2
W00000721,223,212,3,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,219,0,4,0,0
W00000722,258,245,4,0,4,0,0,0,0,2,0,0,1,2,0,0,0,0,0,253,0,5,0,0
W00000723,233,217,6,0,3,1,0,2,1,1,0,0,0,1,0,0,0,1,0,226,0,2,4,1
W00000724,212,205,1,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,206,0,6,0,0
W00000725,260,247,4,0,2,0,0,0,0,1,4,2,0,0,0,0,0,0,0,253,0,7,0,0
W00000726,310,302,0,0,5,1,0,0,0,2,0,0,0,0,0,0,0,0,0,307,0,2,1,0
W00000727,250,234,3,0,6,0,2,0,1,0,0,0,0,4,0,0,0,0,0,243,0,4,3,0
W00000728,299,273,7,0,8,0,0,4,1,1,0,0,1,0,4,0,0,0,0,288,4,2,5,0
W00000729,411,392,2,0,2,2,0,6,0,6,0,0,0,1,0,0,0,0,0,396,0,7,8,0
W00000730,335,318,1,0,3,2,1,0,0,0,0,5,5,0,0,0,0,0,0,322,0,10,3,0
W00000731,375,371,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,374,0,1,0,0
W00000732,300,291,1,0,4,0,0,1,0,0,0,0,0,0,3,0,0,0,0,296,3,0,1,0
W00000733,260,258,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,259,0,0,1,0
W00000734,283,280,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,282,0,0,1,0
W00000735,319,318,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,318,0,0,1,0
W00000736,275,269,2,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,271,0,4,0,0
W00000737,270,268,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0
W00000738,341,337,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,339,0,1,1,0
W00000739,237,227,2,1,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,235,0,1,1,0
W00000740,288,267,1,0,6,1,1,1,3,0,0,0,2,1,0,0,0,5,0,274,0,3,6,5
W00000741,390,364,7,0,4,1,0,0,0,0,0,0,2,6,0,1,0,0,5,375,1,8,1,5
W00000742,195,190,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,192,0,1,2,0
W00000743,378,369,1,0,1,0,1,0,0,3,0,0,0,2,0,1,0,0,0,371,1,5,1,0
W00000744,261,252,4,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,257,0,0,4,0
W00000745,314,296,1,0,6,1,0,0,0,0,6,0,0,1,0,0,0,0,3,303,0,7,1,3
W00000746,274,266,2,0,1,1,0,1,1,0,0,0,2,0,0,0,0,0,0,269,0,2,3,0
W00000747,324,309,0,0,0,2,0,0,0,2,3,5,0,1,0,0,1,1,0,309,1,11,2,1
W00000748,510,473,5,0,5,3,0,3,0,1,0,0,6,11,0,0,0,0,3,483,0,18,6,3
W00000749,326,315,3,0,1,3,0,0,3,0,0,0,0,0,0,0,0,0,1,319,0,0,6,1
W00000750,156,152,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,154,0,2,0,0
W00000752,238,234,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,237,0,0,1,0
W00000753,270,262,2,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,267,0,3,0,0
W00000754,204,194,3,0,0,0,0,1,2,1,0,0,2,1,0,0,0,0,0,197,0,4,3,0
W00000756,186,180,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,1,0
W00000757,331,303,2,0,8,2,0,3,6,4,0,0,0,3,0,0,0,0,0,313,0,7,11,0
W00000758,278,273,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,274,0,3,0,1
W00000759,287,282,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,285,0,2,0,0
W00000760,218,212,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0
W00000761,332,329,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,331,0,0,1,0
W00000762,209,203,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,204,0,5,0,0
W00000763,104,96,0,0,0,0,1,1,0,6,0,0,0,0,0,0,0,0,0,96,0,6,2,0
W00000765,351,323,1,0,6,1,0,3,2,2,0,0,5,2,0,0,0,4,2,330,0,9,6,6
W00000766,277,268,2,0,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,273,0,4,0,0
W00000767,265,233,4,0,4,0,1,2,0,8,0,4,2,4,0,0,0,0,3,241,0,18,3,3
W00000768,279,257,5,0,5,0,0,0,0,0,0,0,10,1,0,0,0,0,1,267,0,11,0,1
W00000769,390,347,8,0,11,1,0,1,0,5,1,9,0,6,0,0,0,0,1,366,0,21,2,1
W00000770,280,254,2,0,9,6,3,1,0,0,0,0,0,2,3,0,0,0,0,265,3,2,10,0
W00000771,466,437,4,0,11,0,0,0,2,4,4,0,3,0,0,0,0,0,1,452,0,11,2,1
W00000772,315,304,1,0,6,0,0,1,0,0,0,1,1,1,0,0,0,0,0,311,0,3,1,0
W00000773,266,252,3,1,3,2,0,0,0,0,0,0,0,5,0,0,0,0,0,259,0,5,2,0
W00000774,224,218,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,219,0,0,5,0
W00000775,325,312,3,1,2,5,0,2,0,0,0,0,0,0,0,0,0,0,0,318,0,0,7,0
W00000776,409,371,4,0,5,4,1,3,1,6,0,0,1,7,0,0,0,5,1,380,0,14,9,6
W00000777,199,181,1,0,10,1,2,1,0,2,0,0,0,1,0,0,0,0,0,192,0,3,4,0
W00000778,294,271,5,0,2,0,0,2,0,1,0,8,1,1,2,0,0,0,1,278,2,11,2,1
W00000779,248,232,1,0,7,0,0,0,3,2,0,2,0,1,0,0,0,0,0,240,0,5,3,0
W00000780,274,242,2,0,21,1,1,2,1,0,0,1,0,3,0,0,0,0,0,265,0,4,5,0
W00000781,237,217,4,0,11,0,1,0,1,1,1,0,0,0,0,0,0,1,0,232,0,2,2,1
W00000782,261,241,5,0,2,0,1,0,4,0,0,2,5,0,0,0,1,0,0,248,1,7,5,0
W00000783,303,263,4,1,16,1,1,1,1,2,0,0,0,0,5,0,0,8,0,284,5,2,4,8
