health..oa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
E00092476,166,72,58,20,9,7
E00092498,307,111,120,57,18,1
E00092567,354,215,110,21,6,2
E00092572,297,167,85,30,12,3
E00092576,312,181,108,20,3,0
E00092579,283,148,97,34,4,0
E00147246,276,123,113,29,9,2
E00147247,477,249,161,47,17,3
W00000259,292,148,94,40,7,3
W00000260,274,126,86,46,12,4
W00000261,223,118,63,28,14,0
W00000262,331,190,87,46,6,2
W00000263,318,165,97,41,12,3
W00000264,243,105,79,41,10,8
W00000265,293,145,94,36,15,3
W00000419,392,207,111,57,11,6
W00000420,354,198,92,51,10,3
W00000421,349,192,104,30,18,5
W00000422,416,244,121,36,10,5
W00000445,260,143,82,25,9,1
W00000446,289,155,88,38,6,2
W00000447,328,188,92,43,5,0
W00000629,239,56,86,58,28,11
W00000630,294,84,104,62,35,9
W00000631,211,62,76,41,19,13
W00000632,429,168,114,85,45,17
W00000633,368,187,98,55,25,3
W00000634,213,69,63,34,37,10
W00000635,274,88,84,62,33,7
W00000636,193,56,52,39,35,11
W00000637,240,90,81,48,20,1
W00000643,375,201,115,45,9,5
W00000644,365,171,124,51,15,4
W00000645,312,157,94,43,13,5
W00000646,399,183,150,51,13,2
W00000647,343,177,110,39,12,5
W00000648,328,147,106,51,18,6
W00000668,502,287,150,43,18,4
W00000669,282,133,76,46,20,7
W00000670,296,140,88,44,20,4
W00000671,262,85,83,56,29,9
W00000672,353,154,128,42,21,8
W00000673,365,173,112,56,17,7
W00000674,387,207,119,40,15,6
W00000675,292,150,88,35,17,2
W00000676,331,149,101,58,20,3
W00000677,332,162,93,53,22,2
W00000678,284,127,91,41,21,4
W00000679,282,109,99,55,12,7
W00000680,315,149,107,35,18,6
W00000681,283,129,111,34,8,1
W00000697,265,117,87,46,15,0
W00000698,310,149,112,41,7,1
W00000699,332,146,126,48,9,3
W00000700,341,146,85,74,28,8
W00000701,267,106,77,68,16,0
W00000702,311,122,115,58,13,3
W00000703,222,59,93,56,12,2
W00000704,180,63,68,34,9,6
W00000705,286,114,99,52,18,3
W00000706,195,76,59,33,17,10
W00000707,197,88,56,38,10,5
W00000708,296,132,103,46,11,4
W00000709,222,95,71,40,11,5
W00000710,308,163,96,39,8,2
W00000711,246,92,94,46,9,5
W00000712,310,157,104,39,6,4
W00000713,239,83,77,51,20,8
W00000714,297,146,83,46,17,5
W00000715,369,195,98,52,21,3
W00000716,349,122,110,68,39,10
W00000717,345,172,109,53,9,2
W00000718,215,101,66,34,8,6
W00000719,255,126,85,35,6,3
W00000720,330,166,111,37,13,3
W00000721,223,83,82,45,12,1
W00000722,258,106,95,46,10,1
W00000723,233,108,78,42,5,0
W00000724,212,69,78,42,21,2
W00000725,260,97,110,41,10,2
W00000726,310,139,74,57,32,8
W00000727,250,88,108,43,8,3
W00000728,299,147,93,43,14,2
W00000729,411,202,102,71,29,7
W00000730,335,163,112,35,19,6
W00000731,375,218,95,51,8,3
W00000732,300,165,98,23,11,3
W00000733,260,107,91,50,8,4
W00000734,283,167,75,39,2,0
W00000735,319,178,79,46,12,4
W00000736,275,125,75,48,21,6
W00000737,270,114,77,53,15,11
