house..oa_id,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
E00092476,71,8,14,24,13,4,5,3
E00092498,138,36,14,53,20,5,8,2
E00092567,158,5,41,52,37,14,7,2
E00092572,154,3,51,53,27,10,9,1
E00092576,124,3,21,39,45,5,8,3
E00092579,124,4,28,36,23,21,10,2
E00147246,131,18,19,59,22,4,9,0
E00147247,186,21,20,56,53,12,16,8
W00000259,135,30,25,30,25,10,14,1
W00000260,139,29,30,39,18,10,13,0
W00000261,129,21,52,31,8,7,8,2
W00000262,140,32,9,50,36,2,10,1
W00000263,137,25,13,53,32,5,7,2
W00000264,114,33,15,30,18,7,9,2
W00000265,142,22,49,31,17,11,8,4
W00000419,152,16,17,68,32,4,12,3
W00000420,140,13,23,61,29,5,7,2
W00000421,144,19,21,54,27,16,4,3
W00000422,171,21,28,62,37,6,15,2
W00000445,107,6,21,44,21,4,11,0
W00000446,148,37,34,43,21,7,5,1
W00000447,134,13,24,58,29,1,7,2
W00000629,131,36,12,71,5,0,5,2
W00000630,139,29,13,61,19,1,15,1
W00000631,105,20,13,40,13,9,10,0
W00000632,182,25,19,82,29,14,7,6
W00000633,144,11,19,45,34,18,13,4
W00000634,122,19,51,28,6,14,4,0
W00000635,138,21,23,63,14,7,10,0
W00000636,126,11,69,18,7,8,8,5
W00000637,117,22,13,60,14,1,6,1
W00000643,150,18,15,72,29,4,7,5
W00000644,157,15,33,63,30,3,9,4
W00000645,132,24,15,47,32,4,7,3
W00000646,157,21,20,72,18,3,15,8
W00000647,146,17,25,57,30,9,3,5
W00000648,140,20,22,49,31,8,10,0
W00000668,189,24,13,68,59,9,11,5
W00000669,126,25,21,32,22,11,11,4
W00000670,154,27,55,25,17,15,12,3
W00000671,131,20,32,44,10,9,14,2
W00000672,131,10,24,28,27,24,14,4
W00000673,163,21,25,60,22,18,11,6
W00000674,153,13,17,64,29,9,17,4
W00000675,135,30,31,33,21,6,10,4
W00000676,127,24,8,53,28,3,9,2
W00000677,135,22,22,41,32,9,7,2
W00000678,145,16,41,49,18,13,7,1
W00000679,135,26,25,44,14,7,16,3
W00000680,149,19,26,62,18,8,13,3
W00000681,125,14,27,31,28,13,11,1
W00000697,132,30,19,52,18,3,9,1
W00000698,133,26,11,56,20,4,11,5
W00000699,135,23,12,50,23,10,12,5
W00000700,132,25,23,42,17,9,16,0
W00000701,113,28,4,60,16,1,3,1
W00000702,134,39,18,47,18,3,6,3
W00000703,131,41,25,52,4,3,5,1
W00000704,95,28,8,46,4,1,5,3
W00000705,128,19,32,46,12,10,7,2
W00000706,101,20,38,27,8,0,7,1
W00000707,96,8,41,14,10,13,8,2
W00000708,131,18,25,50,19,7,12,0
W00000709,120,23,39,30,9,5,12,2
W00000710,124,15,8,49,28,13,9,2
W00000711,120,36,2,51,15,6,10,0
W00000712,145,31,21,51,21,15,5,1
W00000713,120,27,26,32,12,15,6,2
W00000714,149,17,44,40,19,11,13,5
W00000715,169,51,15,43,28,19,11,2
W00000716,161,27,53,41,15,13,12,0
W00000717,185,36,42,68,20,5,14,0
W00000718,109,29,24,25,17,5,8,1
W00000719,114,20,11,53,21,5,2,2
W00000720,150,28,18,69,23,3,6,3
W00000721,119,34,7,55,9,5,9,0
W00000722,134,26,24,57,10,2,12,3
W00000723,121,26,15,62,12,2,3,1
W00000724,120,39,13,47,7,2,11,1
W00000725,127,29,13,56,13,6,8,2
W00000726,124,30,10,47,24,3,10,0
W00000727,130,36,19,53,12,2,5,3
W00000728,151,23,38,57,15,8,10,0
W00000729,149,18,24,43,32,13,15,4
W00000730,128,12,20,51,35,5,5,0
W00000731,145,19,20,56,32,2,10,6
W00000732,121,8,22,41,33,4,10,3
W00000733,127,23,14,63,16,6,5,0
W00000734,110,11,15,43,24,7,8,2
W00000735,127,15,15,55,28,3,8,3
W00000736,134,28,25,38,21,11,11,0
W00000737,128,29,9,56,13,12,7,2
W00000738,130,16,13,42,38,8,11,2
W00000739,121,15,35,31,14,13,11,2
W00000740,144,34,37,33,18,10,9,3
W00000741,137,16,15,52,36,4,11,3
W00000742,119,38,36,23,11,5,6,0
W00000743,141,21,14,41,41,12,9,3
W00000744,118,28,25,20,21,17,6,1
W00000745,138,15,19,65,28,4,6,1
W00000746,128,33,14,53,23,2,1,2
W00000747,139,28,21,39,29,11,7,4
W00000748,204,27,17,88,51,6,12,3
W00000749,134,27,17,32,23,18,13,4
W00000750,76,13,17,26,10,5,5,0
W00000752,131,36,11,70,7,0,5,2
W00000753,123,23,25,27,26,11,10,1
W00000754,118,35,20,42,8,3,10,0
W00000756,109,35,10,49,5,2,7,1
W00000757,136,24,4,56,34,7,11,0
W00000758,127,25,14,58,20,3,5,2
W00000759,138,26,9,82,13,2,6,0
W00000760,109,22,8,65,9,1,4,0
W00000761,141,21,16,57,30,9,6,2
W00000762,109,31,6,52,10,3,6,1
W00000763,50,6,11,19,7,4,1,2
W00000765,172,16,71,24,14,26,12,9
W00000766,124,18,36,23,24,8,10,5
W00000767,113,14,21,22,24,16,12,4
W00000768,115,16,19,26,23,12,15,4
W00000769,144,15,19,42,34,15,12,7
W00000770,145,21,45,27,18,9,19,6
W00000771,196,19,30,68,50,15,12,2
