pop..lsoa_code,pop..total_persons,pop..males,pop..females,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
W01000051,2167,1065,1102,104,165,143,357,248,502,366,282
W01000082,1171,606,565,62,85,80,134,145,314,245,106
W01000083,1378,734,644,57,136,107,172,159,356,281,110
W01000122,2180,1074,1106,93,128,139,235,170,619,571,225
W01000126,1627,817,810,66,157,132,193,184,460,314,121
W01000127,1252,636,616,84,147,98,166,178,270,204,105
W01000128,1405,695,710,68,134,105,167,128,357,287,159
W01000132,1513,726,787,54,109,58,191,165,376,306,254
W01000133,1891,911,980,53,74,101,134,95,415,497,522
W01000134,2150,1066,1084,108,175,112,276,216,532,379,352
W01000135,2143,1030,1113,48,112,92,171,142,475,632,471
W01000136,2747,1420,1327,127,186,174,293,280,679,593,415
W01000137,1534,756,778,49,98,102,153,129,430,391,182
W01000138,1794,882,912,110,148,108,212,214,380,365,257
W01000139,1438,740,698,85,100,109,210,139,374,253,168
W01000140,1715,825,890,98,157,102,217,166,453,348,174
W01000141,1611,740,871,63,56,56,127,117,278,507,407
W01000142,1490,698,792,30,86,74,154,87,318,430,311
W01000143,1538,756,782,89,175,127,206,206,380,241,114
W01000144,1367,705,662,77,150,101,212,208,366,181,72
W01000145,1262,571,691,60,91,107,171,132,346,219,136
W01000146,1970,990,980,52,97,78,272,257,579,400,235
W01000147,1507,732,775,48,77,71,117,106,325,405,358
W01000148,1138,547,591,64,117,85,151,133,307,196,85
W01000149,1511,751,760,72,96,85,135,132,346,407,238
W01000150,1481,747,734,50,97,111,146,97,411,372,197
W01000151,1601,807,794,96,165,126,215,190,401,267,141
W01000152,1486,723,763,64,97,98,175,123,411,322,196
W01000153,1651,821,830,60,116,96,150,130,454,433,212
W01000154,1449,673,776,63,74,48,106,148,363,338,309
W01000155,1429,687,742,45,91,89,128,91,322,299,364
W01000156,1520,711,809,25,49,77,111,93,385,397,383
W01000157,1471,682,789,79,153,85,216,235,314,217,172
W01000158,1561,734,827,30,91,61,118,87,342,439,393
W01000159,1428,722,706,86,102,88,155,114,403,297,183
W01000162,1977,1057,920,83,122,136,278,164,594,380,220
W01000163,1451,689,762,107,166,147,245,149,361,197,79
W01000164,1400,699,701,87,121,106,204,198,391,207,86
W01000165,2019,1058,961,60,143,119,202,125,517,529,324
W01000166,2759,1284,1475,181,290,176,350,431,692,427,212
W01000167,1999,960,1039,115,209,149,216,267,514,354,175
W01000168,1814,844,970,83,189,125,219,222,463,338,175
W01000169,1956,931,1025,69,116,77,251,211,530,469,233
W01000173,1523,770,753,67,88,161,196,188,419,250,154
W01000174,1724,861,863,75,114,100,233,150,418,368,266
W01000175,1628,758,870,43,60,71,98,96,336,530,394
W01000176,1831,880,951,127,156,125,313,265,462,238,145
W01000177,1375,686,689,86,130,91,179,165,323,264,137
W01000178,1890,850,1040,108,173,120,263,210,432,285,299
W01000179,1851,852,999,61,139,78,159,174,360,481,399
W01000180,1625,823,802,44,134,146,153,130,442,377,199
W01000181,1506,739,767,90,143,86,192,218,396,279,102
W01000182,1898,881,1017,48,103,89,183,141,452,441,441
W01000183,1497,737,760,37,92,102,193,131,341,341,260
W01000184,2289,1082,1207,80,143,131,247,202,551,587,348
W01000186,1759,855,904,68,123,109,290,179,451,335,204
W01000187,1607,751,856,81,179,141,249,189,438,213,117
W01000188,1711,831,880,79,91,91,189,144,462,387,268
W01000189,1454,731,723,70,102,82,152,172,406,313,157
W01000190,1455,690,765,75,101,73,160,133,396,364,153
W01000191,2189,1074,1115,140,186,150,280,241,621,384,187
W01000192,1035,543,492,44,68,51,116,82,285,266,123
W01000193,1319,665,654,52,121,94,201,145,341,278,87
W01000194,2112,1085,1027,113,138,147,359,256,589,345,165
W01000195,1455,693,762,58,116,100,141,136,366,311,227
W01000196,1509,744,765,86,160,121,222,195,400,234,91
W01000197,1711,851,860,55,135,144,218,186,486,322,165
W01000198,1449,758,691,99,143,125,243,174,352,220,93
W01000199,1715,865,850,78,140,128,255,145,469,339,161
W01000200,1312,653,659,71,94,84,157,124,374,279,129
W01000201,1555,751,804,97,177,96,216,170,393,302,104
W01000202,1655,804,851,70,158,126,181,142,470,346,162
W01000203,2519,1279,1240,83,186,175,296,166,735,601,277
W01000204,1463,779,684,70,77,91,127,117,390,380,211
W01000205,1206,614,592,57,89,73,136,109,318,291,133
W01000206,2248,1107,1141,121,163,153,324,193,594,483,217
W01000207,2363,1163,1200,117,201,157,229,224,656,567,212
W01000208,1192,655,537,46,74,49,111,118,353,295,146
W01000209,1589,758,831,70,142,100,156,177,438,313,193
W01000210,1383,655,728,44,74,81,91,120,379,353,241
W01000211,1973,996,977,78,143,140,175,200,539,464,234
W01000212,2132,1030,1102,50,161,125,268,188,568,480,292
W01000213,1478,686,792,101,167,101,180,165,320,260,184
W01000214,1038,487,551,58,84,81,145,93,287,188,102
W01000215,1438,700,738,58,80,97,128,152,371,335,217
W01000216,1369,695,674,59,94,92,228,145,396,246,109
W01000217,2010,1003,1007,102,197,150,223,201,504,404,229
W01000218,1539,759,780,61,116,102,232,115,398,299,216
W01000219,2630,1287,1343,182,269,205,343,290,629,451,261
W01000220,1691,835,856,67,42,39,120,152,342,549,380
W01000221,1327,654,673,53,89,73,187,113,331,300,181
W01000222,1767,808,959,71,134,107,171,163,405,423,293
W01000223,1321,631,690,33,97,70,187,108,374,290,162
W01000224,1423,692,731,77,113,94,169,143,354,280,193
W01000225,1461,694,767,66,95,99,175,144,396,304,182
W01000226,1489,720,769,57,123,97,206,130,313,358,205
W01000227,1641,798,843,86,137,82,167,168,357,400,244
W01000228,1523,697,826,57,108,87,185,143,350,212,381
W01000229,1666,806,860,65,122,99,179,134,354,443,270
W01000230,1917,933,984,70,120,110,223,190,547,403,254
W01000231,1378,677,701,66,126,87,188,164,368,257,122
W01000232,1686,816,870,101,109,103,250,166,426,363,168
W01000233,1325,599,726,71,101,76,159,180,320,274,144
W01000234,1833,882,951,168,248,131,276,280,419,215,96
W01000235,1295,635,660,65,94,94,154,137,367,272,112
W01000236,1993,941,1052,152,268,196,318,272,440,248,99
W01000237,1836,859,977,141,273,231,283,208,414,205,81
W01000238,1800,889,911,120,168,168,305,208,466,257,108
W01000239,1740,936,804,139,156,108,350,196,430,255,106
W01000240,1644,910,734,119,137,113,340,194,434,240,67
W01000241,1511,748,763,156,168,141,240,214,330,197,65
W01000242,1928,987,941,87,167,122,277,191,546,322,216
W01000243,2153,1088,1065,132,165,239,315,229,506,336,231
W01000244,1601,796,805,68,109,110,168,144,419,370,213
W01000245,1797,907,890,90,127,112,172,207,451,414,224
W01000246,1673,775,898,84,117,100,249,137,506,288,192
W01000247,1903,932,971,69,102,133,200,150,503,482,264
W01000248,1756,872,884,70,125,127,211,141,502,414,166
W01000249,1176,556,620,47,91,90,113,105,335,262,133
W01000250,1527,737,790,52,92,124,196,132,393,323,215
W01000251,1646,802,844,100,176,123,187,247,406,277,130
W01000252,1682,798,884,56,108,100,171,130,443,385,289
W01000253,1829,951,878,77,142,108,251,215,531,350,155
W01000254,2294,1106,1188,152,176,168,378,242,618,381,179
W01000255,2365,1183,1182,145,189,171,314,313,649,342,242
W01000256,1596,753,843,104,146,137,195,234,448,226,106
W01000257,2624,1322,1302,154,222,162,330,424,651,458,223
W01000258,2114,1039,1075,62,128,123,261,181,587,523,249
W01000259,1668,802,866,74,126,92,238,204,451,277,206
W01000260,1685,826,859,64,134,97,201,201,436,349,203
W01000261,1486,729,757,73,105,96,164,169,376,299,204
W01000262,1496,702,794,94,145,127,241,232,400,162,95
W01000263,1427,706,721,74,122,127,193,203,365,222,121
W01000264,1845,890,955,112,172,143,276,231,553,229,129
W01000265,1564,767,797,72,108,98,185,151,430,325,195
W01000266,1746,874,872,131,136,89,239,272,440,267,172
W01000267,2047,1014,1033,145,196,142,225,314,578,281,166
W01000268,1717,846,871,57,123,189,180,142,547,318,161
W01000269,1601,776,825,79,122,105,201,192,415,269,218
W01000270,1301,653,648,41,92,88,134,129,364,324,129
W01000271,1300,617,683,42,96,72,118,145,355,313,159
W01000272,1752,831,921,51,95,123,180,101,506,473,223
W01000273,1631,803,828,94,136,131,241,253,381,255,140
