rel..oa_id,rel..total_persons,rel..christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
E00092476,166,118,0,0,0,0,0,0,39,9
E00092498,307,204,0,0,3,0,0,2,70,28
E00092567,354,230,0,0,0,9,0,0,102,13
E00092572,297,183,2,2,0,4,0,0,95,11
E00092576,312,195,1,3,0,5,0,1,88,19
E00092579,283,186,0,0,0,3,0,0,79,15
E00147246,276,212,0,0,0,0,0,1,50,13
E00147247,477,341,0,0,0,3,0,2,112,19
W00000259,292,171,1,0,0,0,0,0,89,31
W00000260,274,179,0,0,0,0,0,0,74,21
W00000261,223,114,0,0,0,4,1,1,76,27
W00000262,331,242,0,0,0,0,0,2,51,36
W00000263,318,220,0,0,0,0,0,0,76,22
W00000264,243,165,0,0,0,0,0,2,60,16
W00000265,293,188,0,0,0,0,0,1,70,34
W00000419,392,312,0,0,0,0,0,1,59,20
W00000420,354,259,1,0,0,0,0,0,55,39
W00000421,349,227,3,0,0,0,0,2,110,7
W00000422,416,312,2,0,0,0,0,0,75,27
W00000445,260,180,1,0,0,0,0,0,45,34
W00000446,289,208,0,0,1,0,0,1,52,27
W00000447,328,250,0,0,0,0,0,0,50,28
W00000629,239,172,0,0,0,0,0,2,50,15
W00000630,294,197,0,4,0,1,0,0,53,39
W00000631,211,141,0,0,0,4,0,0,49,17
W00000632,429,299,0,0,0,4,0,6,100,20
W00000633,368,214,0,0,0,0,0,1,126,27
W00000634,213,143,0,0,1,0,0,1,60,8
W00000635,274,174,1,0,0,0,0,0,70,29
W00000636,193,83,0,0,0,0,0,3,76,31
W00000637,240,155,0,0,0,0,0,0,67,18
W00000643,375,255,1,0,0,0,0,0,52,67
W00000644,365,264,0,0,0,0,0,2,66,33
W00000645,312,195,2,0,0,0,0,1,77,37
W00000646,399,295,1,5,0,6,0,0,75,17
W00000647,343,212,1,0,0,0,0,3,105,22
W00000648,328,201,1,1,0,0,0,1,89,35
W00000668,502,344,0,0,1,0,0,0,119,38
W00000669,282,161,0,4,0,0,0,3,87,27
W00000670,296,172,1,0,0,0,0,0,99,24
W00000671,262,161,0,0,0,1,0,0,77,23
W00000672,353,153,2,0,0,0,0,0,174,24
W00000673,365,217,4,0,0,0,0,3,112,29
W00000674,387,221,1,4,0,4,0,6,117,34
W00000675,292,169,1,0,2,2,0,1,96,21
W00000676,331,239,0,0,0,0,0,0,64,28
W00000677,332,195,0,1,1,0,0,1,112,22
