ethn..geo_code,ethn..total_persons,ethn..ethnic_group_e_s_w_white_english_welsh_scottish_northern_irish_british_unit_persons,ethn..ethnic_group_e_s_w_white_irish_unit_persons,ethn..ethnic_group_e_s_w_white_gypsy_or_irish_traveller_unit_persons,ethn..ethnic_group_e_s_w_white_other_white_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_white_and_black_caribbean_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_white_and_black_african_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_white_and_asian_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_other_mixed_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_indian_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_pakistani_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_bangladeshi_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_chinese_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_other_asian_unit_persons,ethn..ethnic_group_e_s_w_black_african_caribbean_black_british_african_unit_persons,ethn..ethnic_group_e_s_w_black_african_caribbean_black_british_caribbean_unit_persons,ethn..ethnic_group_e_s_w_black_african_caribbean_black_british_other_black_unit_persons,ethn..ethnic_group_e_s_w_other_ethnic_group_arab_unit_persons,ethn..ethnic_group_e_s_w_other_ethnic_group_any_other_ethnic_group_unit_persons,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
W00002353,245,237,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,243,0,0,2,0
W00002704,252,246,0,0,2,0,0,2,1,0,0,0,1,0,0,0,0,0,0,248,0,1,3,0
W00002705,273,262,0,0,6,0,0,0,0,0,0,4,0,0,0,1,0,0,0,268,1,4,0,0
W00002706,243,219,2,0,19,0,0,2,0,0,0,0,0,0,0,0,0,1,0,240,0,0,2,1
W00002707,192,187,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,191,0,0,0,1
W00002708,216,201,2,0,7,0,0,0,3,0,0,0,1,0,0,2,0,0,0,210,2,1,3,0
W00002709,246,240,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,245,1,0,0,0
W00002710,168,161,1,0,0,0,1,0,0,1,0,0,0,4,0,0,0,0,0,162,0,5,1,0
W00002711,531,485,3,0,14,2,0,0,1,0,0,0,2,3,5,15,0,0,1,502,20,5,3,1
W00002712,179,175,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,176,1,0,2,0
W00002713,240,231,4,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,236,0,1,2,1
W00002714,291,288,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,290,0,0,1,0
W00002715,251,240,0,1,6,1,0,0,1,0,0,0,1,0,0,1,0,0,0,247,1,1,2,0
W00002716,344,336,0,4,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,340,0,3,1,0
W00002717,131,128,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,129,0,1,1,0
W00002718,239,230,0,1,3,0,0,0,4,0,0,0,0,0,1,0,0,0,0,234,1,0,4,0
W00002719,376,356,3,0,12,0,0,0,1,3,0,0,0,1,0,0,0,0,0,371,0,4,1,0
W00002720,215,201,0,0,1,0,0,0,1,0,6,4,1,0,1,0,0,0,0,202,1,11,1,0
W00002721,257,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,0,0,0,0
W00002722,300,292,1,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,293,0,2,5,0
W00002723,195,193,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,194,0,1,0,0
W00002724,213,200,4,0,4,0,0,0,1,1,0,0,0,2,0,0,0,0,1,208,0,3,1,1
W00002725,228,218,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,220,0,7,0,1
W00002726,253,231,0,0,8,0,1,1,0,0,0,0,3,1,0,0,0,1,7,239,0,4,2,8
W00002727,216,209,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,2,209,0,3,2,2
W00002728,311,291,2,0,0,1,1,1,1,9,0,0,0,0,0,0,0,0,5,293,0,9,4,5
W00002729,213,200,1,0,7,0,0,1,0,1,1,1,1,0,0,0,0,0,0,208,0,4,1,0
W00002730,233,222,0,0,1,1,0,1,1,0,0,0,1,6,0,0,0,0,0,223,0,7,3,0
W00002731,386,362,2,0,8,4,1,3,1,3,0,1,0,0,0,1,0,0,0,372,1,4,9,0
W00002732,286,275,1,0,5,0,0,1,1,0,0,0,1,0,2,0,0,0,0,281,2,1,2,0
W00002733,229,213,1,0,4,1,0,3,2,3,0,1,0,1,0,0,0,0,0,218,0,5,6,0
W00002734,273,255,3,1,6,1,0,0,2,0,1,3,0,1,0,0,0,0,0,265,0,5,3,0
W00002736,431,355,8,1,31,4,3,4,3,9,0,2,2,5,4,0,0,0,0,395,4,18,14,0
W00002737,317,278,2,0,17,1,0,1,0,1,0,0,10,1,1,0,0,5,0,297,1,12,2,5
W00002738,490,411,2,0,36,2,1,2,6,11,0,1,4,2,4,3,0,2,3,449,7,18,11,5
W00002739,319,271,6,0,26,2,0,0,0,2,0,0,9,1,1,0,1,0,0,303,2,12,2,0
W00002740,443,363,5,1,30,2,2,2,3,10,0,1,18,2,3,1,0,0,0,399,4,31,9,0
W00002741,315,272,1,0,20,2,1,1,0,2,2,0,9,2,1,1,0,0,1,293,2,15,4,1
W00002742,350,264,7,0,49,0,1,9,0,3,0,4,9,0,3,0,0,1,0,320,3,16,10,1
W00002743,348,306,4,1,18,1,1,2,4,3,0,0,3,1,1,0,0,1,2,329,1,7,8,3
W00002744,202,174,2,2,14,0,4,0,0,2,1,0,0,0,3,0,0,0,0,192,3,3,4,0
W00002745,199,148,6,0,30,0,0,1,3,4,0,0,5,0,0,0,0,0,2,184,0,9,4,2
W00002746,295,267,1,0,8,2,1,0,3,4,0,1,5,0,2,0,1,0,0,276,3,10,6,0
W00002747,346,289,3,0,23,1,0,3,1,7,0,0,15,2,0,0,0,0,2,315,0,24,5,2
W00002748,367,293,9,1,33,2,1,3,4,4,0,0,0,3,1,0,0,0,13,336,1,7,10,13
W00002751,272,215,4,1,33,0,1,2,2,4,0,0,5,4,0,0,0,1,0,253,0,13,5,1
W00002752,340,292,3,1,16,2,0,4,2,5,1,1,5,1,1,0,0,0,6,312,1,13,8,6
W00002753,366,345,0,0,5,1,0,0,0,3,0,0,0,4,4,1,0,2,1,350,5,7,1,3
W00002754,322,312,0,0,6,0,0,2,0,0,0,0,0,1,1,0,0,0,0,318,1,1,2,0
W00002755,327,301,4,0,6,4,0,1,3,4,1,0,0,2,0,0,0,1,0,311,0,7,8,1
W00002756,332,295,0,0,14,1,0,2,2,1,0,5,1,3,1,0,0,0,7,309,1,10,5,7
W00002757,232,197,2,0,11,4,0,4,1,5,3,0,1,3,0,0,0,0,1,210,0,12,9,1
W00002758,251,235,4,0,7,3,0,1,0,0,0,0,1,0,0,0,0,0,0,246,0,1,4,0
W00002759,314,287,2,0,7,0,0,5,0,6,4,0,1,1,0,0,0,1,0,296,0,12,5,1
W00002760,277,257,1,0,6,1,0,0,4,0,7,0,0,0,0,0,0,0,1,264,0,7,5,1
W00002761,300,284,1,0,13,0,0,1,0,0,1,0,0,0,0,0,0,0,0,298,0,1,1,0
W00002762,401,376,5,0,9,0,0,1,2,0,0,0,1,1,4,0,0,1,1,390,4,2,3,2
W00002763,341,296,2,1,21,4,0,1,1,2,0,0,6,3,1,2,0,1,0,320,3,11,6,1
W00002764,340,297,4,0,20,1,0,5,2,2,3,0,0,1,4,0,0,1,0,321,4,6,8,1
W00002765,285,253,2,0,13,0,1,1,2,8,3,1,0,0,0,0,0,1,0,268,0,12,4,1
W00002766,384,326,6,0,30,4,1,1,2,2,1,0,6,2,2,0,0,0,1,362,2,11,8,1
W00002767,239,214,2,0,6,1,1,1,2,1,0,0,2,1,1,0,0,6,1,222,1,4,5,7
W00002768,131,128,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,129,0,1,1,0
W00002769,276,237,3,0,17,1,1,3,2,2,1,0,1,4,1,0,0,1,2,257,1,8,7,3
W00002770,328,289,1,0,22,1,0,5,1,2,1,0,2,2,0,0,0,1,1,312,0,7,7,2
W00002771,407,304,4,0,47,4,1,2,3,9,0,0,11,9,3,1,1,1,7,355,5,29,10,8
W00002772,296,287,0,0,0,1,0,4,0,1,0,0,0,0,0,1,0,0,2,287,1,1,5,2
W00002773,249,245,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0,1,0
W00002774,273,263,1,0,5,0,0,0,1,0,0,0,0,1,0,2,0,0,0,269,2,1,1,0
W00002775,241,233,0,0,5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,238,1,0,2,0
W00002776,305,297,0,0,5,0,0,2,0,1,0,0,0,0,0,0,0,0,0,302,0,1,2,0
W00002777,263,258,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,261,0,1,1,0
W00002778,265,257,0,0,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,262,0,0,3,0
W00002779,221,213,1,0,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,218,0,1,2,0
W00002780,229,217,0,0,4,0,0,0,4,0,0,0,0,1,2,1,0,0,0,221,3,1,4,0
W00002781,290,281,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,289,0,0,1,0
W00002782,264,258,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,263,0,1,0,0
W00002783,130,124,3,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,128,2,0,0,0
W00002784,353,343,2,0,3,1,0,0,0,0,3,0,1,0,0,0,0,0,0,348,0,4,1,0
W00002785,326,319,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,0,0,0,0
W00002786,275,261,1,0,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,272,0,0,3,0
