health..oa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
W00002353,245,124,80,32,7,2
W00002704,252,133,70,36,10,3
W00002705,273,115,78,53,18,9
W00002706,243,119,75,37,12,0
W00002707,192,54,75,46,17,0
W00002708,216,90,71,42,8,5
W00002709,246,105,78,40,18,5
W00002710,168,61,68,31,8,0
W00002711,531,254,165,77,27,8
W00002712,179,66,55,38,16,4
W00002713,240,59,76,60,27,18
W00002714,291,123,97,51,12,8
W00002715,251,106,87,41,13,4
W00002716,344,143,98,71,25,7
W00002717,131,58,46,20,7,0
W00002718,239,117,69,37,12,4
W00002719,376,182,125,54,11,4
W00002720,215,72,65,55,20,3
W00002721,257,106,81,37,23,10
W00002722,300,138,99,48,11,4
W00002723,195,79,74,25,13,4
W00002724,213,70,70,51,18,4
W00002725,228,85,76,43,17,7
W00002726,253,110,81,48,11,3
W00002727,216,79,69,44,20,4
W00002728,311,128,102,51,26,4
W00002729,213,81,67,45,17,3
W00002730,233,70,63,63,33,4
W00002731,386,191,105,53,24,13
W00002732,286,142,68,39,26,11
W00002733,229,87,80,40,18,4
W00002734,273,126,80,49,12,6
W00002736,431,268,116,43,3,1
W00002737,317,170,106,38,3,0
W00002738,490,275,163,44,7,1
W00002739,319,176,95,32,14,2
W00002740,443,250,154,28,9,2
W00002741,315,179,108,20,6,2
W00002742,350,205,114,25,6,0
W00002743,348,193,125,25,4,1
W00002744,202,108,75,12,7,0
W00002745,199,121,49,16,10,3
W00002746,295,155,92,36,9,3
W00002747,346,164,138,38,5,1
W00002748,367,200,103,42,16,6
W00002751,272,135,102,27,5,3
W00002752,340,177,125,25,10,3
W00002753,366,144,131,70,14,7
W00002754,322,152,81,59,24,6
W00002755,327,140,103,52,27,5
W00002756,332,166,107,48,9,2
W00002757,232,103,79,36,12,2
W00002758,251,100,96,41,8,6
W00002759,314,128,120,35,23,8
W00002760,277,132,82,45,16,2
W00002761,300,140,95,44,15,6
W00002762,401,174,124,66,30,7
W00002763,341,143,138,39,15,6
W00002764,340,183,114,31,9,3
W00002765,285,131,93,46,12,3
W00002766,384,201,135,34,13,1
W00002767,239,126,72,29,11,1
W00002768,131,22,36,52,17,4
W00002769,276,146,87,28,12,3
W00002770,328,174,92,43,15,4
W00002771,407,220,133,43,5,6
W00002772,296,123,106,42,17,8
W00002773,249,116,74,38,17,4
W00002774,273,113,91,51,17,1
W00002775,241,89,91,41,18,2
W00002776,305,134,94,53,16,8
W00002777,263,120,76,49,14,4
W00002778,265,108,86,49,20,2
W00002779,221,111,65,34,9,2
W00002780,229,113,69,29,12,6
W00002781,290,138,107,30,10,5
W00002782,264,121,77,48,18,0
W00002783,130,63,41,17,8,1
W00002784,353,200,109,35,7,2
W00002785,326,153,113,46,11,3
W00002786,275,121,78,50,20,6
