house..oa_id,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
W00002353,113,20,20,41,20,8,3,1
W00002704,123,17,23,58,18,0,6,1
W00002705,124,30,17,53,12,2,9,1
W00002706,116,18,25,40,17,5,9,2
W00002707,126,58,25,32,6,1,4,0
W00002708,119,23,41,27,13,4,10,1
W00002709,124,29,31,32,18,5,8,1
W00002710,76,10,8,46,9,0,3,0
W00002711,236,44,35,66,43,19,24,5
W00002712,91,19,15,37,8,5,5,2
W00002713,137,37,29,41,13,10,7,0
W00002714,142,27,21,65,14,4,9,2
W00002715,113,27,10,53,12,2,6,3
W00002716,149,32,13,61,27,6,4,6
W00002717,59,7,9,27,11,2,1,2
W00002718,89,4,14,24,27,13,7,0
W00002719,156,28,6,71,32,3,14,2
W00002720,105,24,16,46,9,4,5,1
W00002721,114,23,14,29,21,8,16,3
W00002722,121,21,12,47,25,7,7,2
W00002723,83,13,11,34,15,4,5,1
W00002724,113,36,15,35,15,8,4,0
W00002725,110,23,27,31,14,9,3,3
W00002726,114,19,20,35,18,8,11,3
W00002727,120,42,24,29,14,8,2,1
W00002728,141,42,18,37,16,14,12,2
W00002729,131,37,49,16,8,11,9,1
W00002730,137,52,29,24,16,6,9,1
W00002731,149,11,41,17,36,26,12,6
W00002732,147,12,60,26,16,14,16,3
W00002733,123,14,53,20,11,10,10,5
W00002734,141,17,59,26,21,5,11,2
W00002736,176,17,20,68,30,3,35,3
W00002737,137,8,45,33,16,4,28,3
W00002738,147,26,46,23,10,3,36,3
W00002739,142,7,59,19,6,2,46,3
W00002740,146,9,54,7,5,2,67,2
W00002741,118,5,43,17,3,0,50,0
W00002742,184,6,85,34,6,4,48,1
W00002743,126,4,24,20,9,1,67,1
W00002744,68,3,31,4,2,0,27,1
W00002745,117,10,54,28,1,0,24,0
W00002746,121,11,32,22,10,6,38,2
W00002747,100,30,6,42,12,0,9,1
W00002748,179,29,54,25,15,4,50,2
W00002751,104,13,52,12,3,0,23,1
W00002752,132,13,34,27,14,4,39,1
W00002753,154,23,21,47,31,15,15,2
W00002754,126,22,16,42,27,6,12,1
W00002755,123,16,18,23,31,14,13,8
W00002756,136,12,16,49,29,7,21,2
W00002757,110,12,23,32,18,13,11,1
W00002758,109,20,16,28,18,7,18,2
