pop..lsoa_code,pop..total_persons,pop..males,pop..females,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
W01000506,1322,624,698,29,92,49,142,95,272,365,278
W01000507,1248,622,626,57,76,65,110,113,259,321,247
W01000508,1157,570,587,47,110,57,159,105,266,254,159
W01000509,1841,852,989,71,151,114,201,145,426,421,312
W01000510,1182,584,598,53,99,60,179,122,279,234,156
W01000511,1227,669,558,87,125,101,209,129,324,184,68
W01000512,1320,673,647,34,65,90,508,94,236,177,116
W01000513,2198,1221,977,46,65,42,1429,173,259,129,55
W01000515,1298,652,646,69,133,93,239,158,306,180,120
W01000516,1681,816,865,93,187,151,310,196,397,246,101
W01000517,1335,754,581,31,44,40,796,100,156,103,65
W01000518,1028,518,510,31,42,63,273,73,226,174,146
W01000519,1639,820,819,70,129,87,145,121,423,478,186
W01000522,1200,609,591,31,47,59,140,72,311,376,164
W01000523,1867,935,932,59,160,121,251,164,499,389,224
W01000524,1946,974,972,84,98,136,234,142,516,478,258
W01000525,1196,530,666,28,98,64,139,51,274,258,284
W01000527,1385,735,650,60,94,118,388,118,341,138,128
W01000528,1476,712,764,144,122,89,199,149,311,256,206
W01000529,1615,846,769,92,146,101,180,127,417,398,154
W01000531,1794,825,969,65,124,95,200,139,409,475,287
W01000532,1940,979,961,68,121,125,208,115,498,502,303
W01000533,1411,715,696,58,119,96,181,123,329,344,161
W01000534,1544,796,748,67,137,121,165,118,398,357,181
W01000535,2064,1021,1043,110,170,135,253,137,541,480,238
W01000536,1372,691,681,41,102,82,165,71,366,380,165
W01000537,1469,743,726,57,94,87,170,85,376,404,196
W01000538,1481,740,741,64,107,100,170,128,348,390,174
W01000539,1218,629,589,38,64,65,174,87,302,338,150
W01000540,1146,556,590,43,79,77,117,97,280,271,182
W01000541,1797,835,962,81,142,128,180,131,462,459,214
W01000542,2171,1065,1106,81,166,145,244,168,634,485,248
W01000543,1982,965,1017,84,165,137,231,156,522,493,194
W01000544,980,485,495,25,56,41,123,70,266,245,154
W01000545,2044,1000,1044,54,112,115,238,135,505,584,301
W01000546,1124,546,578,41,71,47,119,61,272,316,197
W01000547,1094,499,595,39,73,65,79,89,280,301,168
W01000548,1785,846,939,91,149,124,213,163,437,347,261
W01000549,1769,873,896,91,129,122,274,167,472,342,172
W01000550,1250,606,644,55,92,82,141,124,298,254,204
W01000551,1376,659,717,74,86,95,185,70,342,374,150
W01000552,2108,1033,1075,78,173,151,312,141,585,407,261
W01000553,1213,552,661,24,95,72,93,91,337,348,153
W01000554,1880,930,950,69,122,125,157,166,572,442,227
W01000555,1554,818,736,55,94,91,141,153,396,400,224
W01000556,1241,565,676,55,102,81,117,92,298,320,176
W01000557,1517,735,782,79,122,110,175,153,411,308,159
W01000558,2136,1044,1092,88,178,167,210,212,548,519,214
W01000559,1482,748,734,51,108,88,166,142,386,361,180
