rel..oa_id,rel..total_persons,rel..christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
W00002353,245,136,1,0,0,0,0,2,64,42
W00002704,252,189,1,0,0,0,0,1,48,13
W00002705,273,202,0,0,0,4,0,1,47,19
W00002706,243,141,0,0,0,0,0,1,71,30
W00002707,192,133,1,0,0,0,0,1,41,16
W00002708,216,128,1,0,0,0,0,3,66,18
W00002709,246,151,0,0,0,0,0,3,76,16
W00002710,168,112,2,0,0,4,0,0,36,14
W00002711,531,332,1,0,0,0,0,2,142,54
W00002712,179,129,0,0,0,0,0,0,44,6
W00002713,240,121,3,0,1,1,0,0,88,26
W00002714,291,196,1,0,0,1,0,6,67,20
W00002715,251,166,1,0,0,0,0,1,59,24
W00002716,344,217,1,2,0,0,0,5,92,27
W00002717,131,86,1,0,0,0,0,0,38,6
W00002718,239,133,2,0,0,0,0,0,89,15
W00002719,376,282,0,0,1,0,0,0,69,24
W00002720,215,166,1,0,0,11,0,0,25,12
W00002721,257,129,0,0,0,0,0,3,106,19
W00002722,300,197,0,0,0,0,0,0,82,21
W00002723,195,108,1,0,1,0,0,1,70,14
W00002724,213,147,1,1,0,0,0,1,53,10
W00002725,228,125,4,0,1,0,0,0,78,20
W00002726,253,141,0,0,0,3,0,2,80,27
W00002727,216,124,0,0,0,0,0,7,67,18
W00002728,311,188,1,0,0,0,0,1,102,19
W00002729,213,126,1,0,0,1,0,1,69,15
W00002730,233,138,1,0,0,4,0,1,60,29
W00002731,386,144,0,0,0,8,0,1,193,40
W00002732,286,151,1,0,2,0,0,4,111,17
W00002733,229,113,1,0,0,1,0,4,92,18
W00002734,273,162,3,0,0,4,0,1,74,29
W00002736,431,246,1,0,0,6,0,1,143,34
W00002737,317,174,1,1,0,1,0,1,122,17
W00002738,490,231,6,4,3,8,1,8,198,31
W00002739,319,140,5,1,0,3,0,1,150,19
W00002740,443,175,3,2,1,4,2,4,216,36
W00002741,315,138,5,1,0,2,0,3,136,30
W00002742,350,122,3,2,2,7,0,3,182,29
W00002743,348,134,4,1,3,2,0,8,173,23
W00002744,202,87,0,2,1,3,0,4,94,11
W00002745,199,72,1,5,0,0,0,5,96,20
W00002746,295,136,4,3,0,0,0,9,119,24
W00002747,346,193,9,6,0,1,0,2,117,18
W00002748,367,173,4,4,1,0,0,8,145,32
W00002751,272,112,1,2,0,1,0,1,131,24
W00002752,340,124,2,1,0,1,1,4,164,43
W00002753,366,193,0,3,0,6,0,1,127,36
W00002754,322,202,0,0,1,0,0,2,87,30
W00002755,327,200,2,0,0,0,0,0,89,36
W00002756,332,208,0,0,0,1,0,0,92,31
W00002757,232,122,4,0,0,7,0,2,75,22
W00002758,251,131,0,0,0,0,0,2,83,35
W00002759,314,136,0,2,0,0,0,3,142,31
W00002760,277,141,0,0,0,8,0,5,96,27
W00002761,300,141,0,1,0,0,0,2,139,17
W00002762,401,249,1,0,0,2,0,6,111,32
W00002763,341,160,3,0,0,1,0,10,141,26
W00002764,340,140,1,1,0,9,2,7,163,17
W00002765,285,148,1,0,0,7,0,1,97,31
W00002766,384,175,4,1,3,2,0,5,165,29
W00002767,239,114,3,0,0,9,0,3,91,19
W00002768,131,95,2,0,0,0,0,0,23,11
W00002769,276,143,0,1,0,5,0,3,111,13
W00002770,328,185,0,0,0,5,0,4,101,33
W00002771,407,198,2,7,1,9,0,5,165,20
W00002772,296,190,1,0,0,5,0,5,60,35
W00002773,249,183,2,0,0,0,0,3,40,21
W00002774,273,181,4,0,0,0,0,2,59,27
W00002775,241,129,1,0,0,1,0,3,73,34
W00002776,305,197,0,0,0,0,1,6,83,18
W00002777,263,176,2,0,1,0,0,1,62,21
W00002778,265,121,2,0,0,0,0,3,107,32
W00002779,221,94,1,0,0,1,0,3,104,18
W00002780,229,132,1,0,0,0,0,2,72,22
W00002781,290,186,0,0,0,0,0,0,83,21
W00002782,264,152,0,0,0,1,0,6,84,21
W00002783,130,60,2,0,0,0,0,5,45,18
W00002784,353,214,1,0,1,3,0,1,92,41
