house..sa_id,house..total_households,house..one_person_household,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
A037001001,113,12,18,64,13,4,2
A037001002,104,23,15,49,9,7,1
A037001003/037001004,105,27,20,43,7,5,3
A037002001,60,15,12,26,3,2,2
A037002002,53,20,9,16,3,3,2
A037002003,51,18,6,21,2,3,1
A037003001,74,19,21,26,2,3,3
A037004001,65,17,11,24,9,4,0
A037005001,70,21,14,21,8,4,2
A037006001,61,23,11,19,6,1,1
A037006002,112,36,9,48,15,2,2
A037006003,78,23,13,29,9,4,0
A037006004,52,13,11,19,3,2,4
A037007001,77,15,11,39,8,1,3
A037007002,89,11,17,47,5,6,3
A037007003,82,9,17,35,12,1,8
A037008001/037067001,99,22,13,35,22,1,6
A037009001,100,23,12,46,9,3,7
A037009002,81,17,15,41,7,1,0
A037009003,97,29,17,25,18,5,3
A037009004,74,23,11,33,5,1,1
A037009005,117,23,40,33,8,3,10
A037009006,105,3,16,79,2,1,4
A037009007,90,10,9,60,8,0,3
A037009008,112,15,21,54,10,6,6
A037009009,113,15,43,46,2,2,5
A037009010,84,12,22,27,10,5,8
A037009011,123,26,31,39,18,5,4
A037009012,81,15,15,43,2,2,4
A037009013,72,12,14,36,5,5,0
A037009014,69,14,10,32,7,3,3
A037009015,86,16,9,36,10,11,4
A037009016,114,29,32,35,9,5,4
A037009017,107,33,30,30,10,3,1
A037009018,135,27,17,60,15,4,12
A037009019,141,12,28,78,11,5,7
A037010001,129,26,30,49,13,7,4
A037011001,124,29,23,45,16,5,6
A037012001,130,18,10,76,17,2,7
A037012002/037012003,97,13,12,41,18,5,8
A037013001,85,20,14,33,8,3,7
A037013002/037013003,93,25,17,40,5,3,3
A037014001,61,17,16,15,8,5,0
A037015001,84,28,21,27,4,4,0
A037016001,57,12,11,27,5,0,2
A037017001,96,31,18,31,10,4,2
A037018001/37041001,106,25,19,47,9,4,2
A037019001,119,29,29,41,13,3,4
A037020001,79,17,13,35,8,4,2
A037021001,69,18,8,29,10,2,2
A037021002,76,31,16,17,5,4,3
A037021003,82,30,10,32,8,2,0
A037022001,55,13,10,20,7,2,3
A037023001,73,21,1,0,0,51,0
A037024001,77,12,19,33,8,2,3
A037024002,111,25,9,13,0,63,1
A037025001,43,15,5,17,3,1,2
