health..oa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
E00077179,323,151,125,38,8,1
E00077180,279,136,82,43,15,3
E00077181,323,160,115,38,8,2
E00077182,402,173,132,56,33,8
E00077183,276,140,100,29,7,0
E00077184,378,197,120,49,11,1
E00077185,264,121,96,31,14,2
E00077186,383,206,121,42,11,3
E00077187,363,145,132,61,21,4
E00077188,419,211,140,46,17,5
E00077189,361,178,121,46,13,3
E00077190,295,147,98,38,11,1
E00077191,269,139,99,25,5,1
E00077192,288,150,97,28,11,2
E00077193,274,128,94,38,10,4
E00077194,361,216,101,34,8,2
E00077195,194,61,65,49,16,3
E00077196,315,162,100,42,10,1
E00077197,347,170,111,49,14,3
E00077198,343,164,122,42,13,2
E00077199,308,137,123,34,13,1
E00077200,291,140,116,25,7,3
E00077201,286,156,97,23,7,3
E00077202,365,139,118,74,22,12
E00077203,306,130,100,48,25,3
E00077204,451,228,163,42,16,2
E00077205,398,182,132,62,19,3
E00077206,361,185,117,44,14,1
E00077207,359,152,148,40,17,2
E00077208,297,116,124,36,16,5
E00077209,321,139,121,46,13,2
E00077210,338,162,114,52,6,4
E00077211,338,134,116,58,25,5
E00077212,283,105,94,50,23,11
E00077213,517,176,169,98,53,21
E00077214,297,132,106,37,19,3
E00077216,392,163,146,46,27,10
E00077217,292,135,99,42,13,3
E00077218,319,119,109,51,28,12
E00077220,266,82,107,52,20,5
E00077221,333,165,124,29,13,2
E00077222,321,163,88,43,18,9
E00077223,217,79,81,33,17,7
E00077224,232,93,80,36,15,8
E00077225,195,86,65,32,8,4
E00077226,194,79,78,31,6,0
E00077227,349,141,133,54,11,10
E00077229,300,128,113,40,13,6
E00077230,163,60,65,27,8,3
E00077231,269,87,97,54,28,3
E00077232,284,125,102,37,14,6
E00077233,303,133,107,43,16,4
E00077234,186,69,62,37,15,3
E00077235,138,49,36,27,16,10
E00077236,235,87,100,35,10,3
E00077237,283,97,76,66,38,6
E00077239,243,97,87,39,15,5
E00077240,169,50,56,37,19,7
E00077241,250,92,97,33,21,7
E00077242,306,86,120,57,33,10
E00077244,270,91,105,57,12,5
E00077245,316,177,91,36,8,4
E00077246,281,99,84,61,28,9
E00077247,270,141,73,45,11,0
E00077248,256,95,72,51,23,15
E00077249,249,131,74,37,5,2
E00077250,244,104,70,31,32,7
E00077251,194,100,60,28,6,0
E00077252,226,111,77,31,6,1
E00077253,351,177,129,35,5,5
E00077255,269,136,94,31,3,5
E00077256,280,129,103,36,10,2
E00077257,505,304,165,29,5,2
E00077258,304,144,110,44,5,1
E00077259,269,125,91,35,16,2
E00077260,222,104,82,25,10,1
E00077261,441,249,153,30,6,3
E00077262,307,142,97,55,11,2
E00077264,359,154,128,60,15,2
E00077265,253,131,89,22,9,2
E00077266,152,41,49,46,13,3
E00077267,161,50,42,48,16,5
E00077268,352,158,155,32,6,1
E00077269,234,94,98,33,7,2
E00077270,283,104,115,48,10,6
E00077271,304,140,104,41,16,3
E00077273,205,77,69,46,12,1
E00077274,289,128,99,43,13,6
E00077275,331,196,103,26,6,0
E00077276,208,133,52,17,3,3
E00077277,365,169,135,40,16,5
E00077278,220,111,70,31,6,2
E00077279,371,183,115,51,15,7
E00077280,320,155,101,39,20,5
E00077281,381,169,139,47,20,6
E00077282,202,75,72,37,18,0
E00077283,239,103,92,30,11,3
E00077284,277,99,98,60,14,6
E00077285,412,205,135,52,16,4
E00077286,277,138,97,28,11,3
E00077287,298,152,97,37,10,2
E00077288,261,123,95,35,6,2
E00077289,397,185,113,67,29,3
E00077290,535,225,200,81,23,6
E00077292,354,145,126,56,24,3
E00077293,319,147,129,30,10,3
E00077294,365,186,122,38,15,4
E00077295,357,161,133,43,14,6
E00077296,373,204,118,37,11,3
E00077297,194,69,68,31,16,10
E00077298,261,85,83,63,26,4
E00077299,278,124,107,30,12,5
E00077300,341,160,107,49,16,9
E00077301,513,256,193,45,11,8
E00077302,345,152,113,59,14,7
E00077303,342,152,126,47,17,0
E00077304,501,190,166,108,31,6
E00077305,401,184,139,55,18,5
E00077306,228,82,87,31,22,6
E00077307,317,136,124,36,14,7
E00077308,409,203,143,53,7,3
E00077309,286,133,109,36,7,1
E00077310,257,66,127,47,14,3
E00077311,288,104,114,50,14,6
E00077312,241,103,88,39,6,5
E00077313,320,168,106,29,13,4
E00077314,322,133,121,46,17,5
E00077315,412,133,158,78,33,10
E00077316,311,139,123,37,7,5
E00077317,254,102,106,30,12,4
E00077318,308,126,97,51,27,7
E00077319,254,108,98,36,9,3
E00077320,304,141,103,48,8,4
E00077321,278,123,98,47,7,3
E00077322,253,109,76,51,14,3
E00077323,149,52,49,33,10,5
E00077324,437,164,132,97,38,6
E00077325,332,178,96,47,6,5
E00077326,269,137,79,37,13,3
E00077327,207,73,73,43,14,4
E00077328,291,143,96,40,9,3
E00077329,303,117,118,52,12,4
E00077330,264,117,86,36,11,14
E00077331,315,110,112,70,15,8
E00077332,245,130,78,32,4,1
E00077333,293,133,102,45,10,3
E00077334,310,170,89,38,9,4
E00077335,322,148,102,53,11,8
E00077336,262,112,86,46,17,1
E00077337,249,88,106,44,8,3
E00077338,289,124,97,53,11,4
E00077339,305,136,98,52,15,4
E00077340,292,142,95,39,14,2
E00077341,309,169,91,38,7,4
E00077342,317,173,93,33,15,3
E00077343,250,92,97,39,19,3
E00077344,360,184,105,50,11,10
