house..oa_id,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
E00077179,139,18,10,59,20,7,21,4
E00077180,131,20,32,41,21,2,14,1
E00077181,126,5,27,34,31,6,19,4
E00077182,236,9,121,34,14,19,34,5
E00077183,112,8,29,26,23,6,17,3
E00077184,156,8,60,32,27,2,22,5
E00077185,145,16,53,24,16,9,23,4
E00077186,154,14,28,37,34,11,26,4
E00077187,138,6,44,25,16,8,36,3
E00077188,198,18,72,32,23,18,28,7
E00077189,175,11,57,34,26,24,19,4
E00077190,138,13,34,33,20,10,24,4
E00077191,117,19,26,24,23,10,11,4
E00077192,158,17,62,31,16,9,19,4
E00077193,128,19,27,45,17,5,12,3
E00077194,153,6,35,53,24,8,24,3
E00077195,127,51,16,49,2,3,5,1
E00077196,128,23,17,52,17,4,12,3
E00077197,163,35,22,65,19,5,13,4
E00077198,125,5,16,29,39,21,14,1
E00077199,127,13,28,31,29,5,17,4
E00077200,126,12,23,41,20,15,10,5
E00077201,118,15,23,33,31,6,7,3
E00077202,139,17,30,29,27,16,13,7
E00077203,169,39,54,33,18,13,12,0
E00077204,172,10,33,37,42,17,26,7
E00077205,162,10,39,37,25,10,30,11
E00077206,141,11,30,34,32,9,17,8
E00077207,173,5,69,30,19,22,24,4
E00077208,125,6,30,31,28,12,14,4
E00077209,174,25,67,41,18,8,11,4
E00077210,160,17,41,44,27,5,24,2
E00077211,155,26,52,22,19,10,22,4
E00077212,158,14,71,32,14,8,16,3
E00077213,225,9,99,39,29,16,31,2
E00077214,152,11,70,30,11,11,17,2
E00077216,234,14,114,63,16,13,13,1
E00077217,178,13,94,28,16,9,15,3
E00077218,161,14,71,34,19,7,15,1
E00077220,150,42,51,25,10,13,8,1
E00077221,143,14,40,20,25,12,20,12
E00077222,144,6,68,23,20,9,14,4
E00077223,143,9,89,16,10,6,13,0
E00077224,103,12,34,31,11,2,10,3
E00077225,123,4,71,22,14,4,8,0
E00077226,108,10,51,31,6,2,8,0
E00077227,171,20,74,42,14,3,17,1
E00077229,145,9,47,31,11,24,20,3
E00077230,101,8,52,16,6,7,10,2
E00077231,135,6,81,10,10,8,18,2
E00077232,156,7,78,25,21,8,13,4
E00077233,121,6,21,22,24,27,15,6
E00077234,108,6,64,15,7,4,10,2
E00077235,76,12,27,18,6,6,6,1
E00077236,124,6,66,16,10,8,15,3
E00077237,166,5,109,24,12,4,11,1
E00077239,145,13,76,26,16,3,10,1
E00077240,128,12,89,11,8,2,5,1
E00077241,143,6,74,20,14,10,17,2
E00077242,202,15,133,24,6,12,10,2
E00077244,180,80,33,42,11,4,9,1
E00077245,141,9,43,41,21,6,18,3
E00077246,205,90,55,34,6,5,13,2
E00077247,156,24,55,42,10,5,18,2
E00077248,157,50,35,41,11,5,14,1
E00077249,144,19,48,44,8,1,21,3
E00077250,97,9,34,27,9,2,13,3
E00077251,113,10,54,25,9,1,13,1
E00077252,151,23,72,32,6,0,18,0
E00077253,189,4,84,26,14,0,59,2
E00077255,150,9,61,36,15,5,19,5
E00077256,169,4,88,37,12,10,18,0
E00077257,175,10,60,36,15,9,44,1
E00077258,176,8,78,39,10,3,35,3
E00077259,176,12,101,27,13,9,14,0
E00077260,133,16,58,32,5,1,19,2
E00077261,222,4,82,48,10,6,70,2
E00077262,179,35,54,53,12,3,20,2
E00077264,176,27,58,31,21,4,33,2
E00077265,150,0,86,17,6,5,34,2
E00077266,99,50,9,24,1,2,13,0
E00077267,108,52,20,14,4,6,9,3
E00077268,183,3,79,28,15,5,47,6
E00077269,124,23,23,52,11,2,11,2
E00077270,137,31,45,44,2,1,13,1
E00077271,162,36,44,45,13,7,16,1
E00077273,125,38,29,36,11,2,9,0
E00077274,165,36,46,42,9,5,24,3
E00077275,162,12,47,61,20,1,17,4
E00077276,102,6,29,26,12,6,21,2
E00077277,161,20,49,26,24,11,24,7
E00077278,84,3,15,20,19,11,15,1
E00077279,164,30,41,18,21,16,32,6
E00077280,158,7,69,39,14,2,25,2
E00077281,176,14,54,50,23,3,30,2
E00077282,123,45,26,23,10,1,15,3
E00077283,124,21,27,46,16,2,11,1
E00077284,170,45,38,73,4,0,8,2
E00077285,166,11,37,35,28,16,31,8
E00077286,115,7,24,26,21,15,18,4
E00077287,130,9,37,21,21,19,19,4
E00077288,110,14,18,24,22,10,17,5
E00077289,172,13,38,45,27,21,24,4
E00077290,240,10,69,48,44,33,33,3
E00077292,148,11,42,31,29,14,15,6
E00077293,123,10,23,24,29,14,17,6
E00077294,168,9,53,33,23,14,30,6
E00077295,142,7,36,28,29,13,21,8
E00077296,158,7,39,31,32,23,21,5
E00077297,129,49,38,19,8,8,7,0
E00077298,156,59,41,20,8,3,24,1
E00077299,136,3,66,14,16,8,24,5
E00077300,200,12,120,18,4,5,40,1
E00077301,228,10,89,34,28,11,47,9
E00077302,183,8,92,28,13,11,28,3
E00077303,161,12,54,37,21,4,32,1
E00077304,196,8,69,42,18,17,39,3
E00077305,192,20,67,48,16,6,31,4
E00077306,146,19,63,34,6,8,16,0
E00077307,191,31,71,55,10,4,17,3
E00077308,210,19,63,68,20,8,29,3
E00077309,169,33,54,41,11,2,26,2
E00077310,154,48,11,87,2,0,5,1
E00077311,173,55,32,57,6,2,19,2
E00077312,124,30,32,32,9,0,21,0
E00077313,133,8,40,18,31,7,21,8
E00077314,162,22,52,21,23,15,25,4
E00077315,204,51,54,53,21,5,16,4
E00077316,138,18,25,49,17,10,15,4
E00077317,122,35,14,39,17,8,7,2
E00077318,146,28,35,49,14,9,7,4
E00077319,127,20,28,39,18,12,10,0
E00077320,129,20,5,69,23,3,9,0
E00077321,155,43,27,57,17,1,10,0
E00077322,121,25,8,62,14,2,6,4
E00077323,110,44,41,15,4,2,4,0
E00077324,143,21,31,51,19,0,18,3
E00077325,137,19,5,63,31,4,14,1
E00077326,149,27,47,29,17,14,15,0
E00077327,124,41,30,32,10,7,4,0
E00077328,140,19,26,65,15,2,10,3
E00077329,188,23,71,72,7,5,10,0
E00077330,123,32,14,49,18,3,7,0
E00077331,179,60,37,44,10,17,9,2
E00077332,108,15,14,47,22,4,5,1
E00077333,121,18,12,48,19,7,13,4
E00077334,128,22,16,35,37,6,10,2
E00077335,139,22,17,52,28,0,14,6
E00077336,126,18,19,64,14,2,8,1
E00077337,131,33,12,70,9,1,5,1
E00077338,128,17,12,62,21,6,8,2
E00077339,133,30,12,61,21,3,4,2
