pop..lsoa_code,pop..total_persons,pop..males,pop..females,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
E01015272,1885,933,952,49,110,151,289,151,501,368,266
E01015273,2253,1206,1047,136,187,160,410,329,673,277,81
E01015274,1781,878,903,96,140,97,237,269,497,277,168
E01015275,1692,860,832,67,127,96,335,225,466,255,121
E01015276,1718,796,922,137,183,160,208,225,535,204,66
E01015277,2011,1067,944,163,218,119,271,364,549,214,113
E01015279,1936,1019,917,115,174,78,325,381,582,201,80
E01015280,2268,1237,1031,140,181,103,439,460,610,244,91
E01015281,1793,922,871,86,181,118,258,324,570,199,57
E01015282,2309,1300,1009,115,144,109,412,440,731,294,64
E01015283,3109,1786,1323,62,68,91,1292,753,557,189,97
E01015285,4158,2195,1963,103,103,80,2369,570,526,276,131
E01015286,2043,1116,927,94,116,66,286,321,441,412,307
E01015287,3954,2012,1942,82,63,92,2695,320,289,238,175
E01015288,2082,1147,935,135,172,88,550,399,474,202,62
E01015289,2139,1172,967,93,131,51,410,407,554,336,157
E01015290,2658,1501,1157,83,92,57,1100,413,490,240,183
E01015291,2051,1081,970,81,56,35,379,308,399,392,401
E01015292,1848,977,871,120,205,115,329,296,514,197,72
E01015293,1513,712,801,111,139,100,220,224,483,162,74
E01015294,2128,1118,1010,148,233,175,388,373,564,177,70
E01015295,1470,697,773,52,122,67,100,102,381,390,256
E01015296,1867,932,935,53,106,79,199,203,512,415,300
E01015297,1591,708,883,60,128,47,133,169,375,330,349
E01015298,1558,739,819,43,82,53,95,87,346,432,420
E01015299,1737,808,929,97,158,101,148,185,477,312,259
E01015300,1552,760,792,72,128,111,165,128,405,333,210
E01015314,1462,722,740,64,142,98,129,122,435,315,157
E01015315,1897,987,910,89,166,134,200,206,490,433,179
E01015316,1587,775,812,75,131,120,134,129,438,350,210
E01015317,1574,786,788,124,133,106,143,158,513,277,120
E01015318,1722,804,918,113,194,126,231,206,491,235,126
E01015319,1412,690,722,69,113,111,166,199,418,193,143
E01015320,1640,824,816,108,165,106,200,192,517,224,128
E01015321,1870,930,940,111,180,153,392,216,537,195,86
E01015322,1609,784,825,75,153,126,161,191,481,264,158
E01015323,1669,863,806,110,210,129,242,191,502,204,81
E01015324,1575,780,795,125,181,122,216,180,450,200,101
