rel..parish_code,rel..parish_legal_name,rel..deanery_name,rel..diocese_name,rel..population,rel..christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated,rel..religion_buddhist,rel..religion_christian,rel..religion_hindu,rel..religion_jewish,rel..religion_muslim,rel..religion_no_religion,rel..religion_not_stated_2,rel..religion_other,rel..religion_sikh
410001,CATHEDRAL PRECINCTS ex. par.,Cathedral,Winchester,156,105.8997683388,0.61482625476,0,0,1.01930501904,0.36,0.36,34.6688803086,13.07722007748,0.61482625476,105.8997683388,0,0,1.01930501904,34.6688803086,13.07722007748,0.36,0.36
410003,NEW ALRESFORD,ALRESFORD,Winchester,5442,3654.57932790539,11.99999999917,10.9999999982,8.99999999794,1.0647948174,1.99999999875,27.01079913937,1357.27951360569,368.065564568079,11.99999999917,3654.57932790539,10.9999999982,8.99999999794,1.0647948174,1357.27951360569,368.065564568079,27.01079913937,1.99999999875
410004,OLD ALRESFORD,ALRESFORD,Winchester,571,379.498873960899,0,0,0.02651515153,0,0,0.965625,149.2355828491,41.2734030483899,0,379.498873960899,0,0.02651515153,0,149.2355828491,41.2734030483899,0.965625,0
410006,BEAUWORTH,ALRESFORD,Winchester,105,73.82422803,0.24940617555,0,0.4988123511,0.24940617555,0,0.24940617555,20.451306414,9.4774346793,0.24940617555,73.82422803,0,0.4988123511,0.24940617555,20.451306414,9.4774346793,0.24940617555,0
410007,BIGHTON,ALRESFORD,Winchester,342,235.727038371,3.94134897408,0.98533724352,0.98533724352,0.07775377968,0,0.01295896326,75.053640996,25.216584432359902,3.94134897408,235.727038371,0.98533724352,0.98533724352,0.07775377968,75.053640996,25.216584432359902,0.01295896326,0
410008,BISHOP'S SUTTON,ALRESFORD,Winchester,460,320.073437500399,0.0586510264,0.0146627566,0.0146627566,5.8658828136,0,1.04894838187,88.434722497,44.4890322720499,0.0586510264,320.073437500399,0.0146627566,0.0146627566,5.8658828136,88.434722497,44.4890322720499,1.04894838187,0
410010,BRAMDEAN,ALRESFORD,Winchester,294,196.0280867358,0.2479338846,0.2479338846,3.31560305652,0.4958677683,0,3.24625613729999,71.4534269532,18.96489156786,0.2479338846,196.0280867358,0.2479338846,3.31560305652,0.4958677683,71.4534269532,18.96489156786,3.24625613729999,0
410012,CHERITON,ALRESFORD,Winchester,613,429.4868220969,1.68171021417,0,1.36342042634,0.68171021317,0,3.68171021291999,131.085866284099,45.0187605780199,1.68171021417,429.4868220969,0,1.36342042634,0.68171021317,131.085866284099,45.0187605780199,3.68171021291999,0
410014,HINTON AMPNER,ALRESFORD,Winchester,324,170.7597920386,0.72176308628,0.72176308628,1.65409391304,1.44352616994,0,7.45071356194,118.0314215378,23.21692661426,0.72176308628,170.7597920386,0.72176308628,1.65409391304,1.44352616994,118.0314215378,23.21692661426,7.45071356194,0
410017,KILMESTON,ALRESFORD,Winchester,302,210.3632502912,0.06327581578,0.01101928376,0.1155323478,0.0742950995,0,0.1624493695,67.9269089192,23.2832688791999,0.06327581578,210.3632502912,0.01101928376,0.1155323478,0.0742950995,67.9269089192,23.2832688791999,0.1624493695,0
