health..oa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
E00056946,341,184,110,33,9,5
E00056947,335,167,112,45,10,1
E00056948,337,193,111,24,7,2
E00056949,167,72,58,30,5,2
E00056959,181,94,61,24,2,0
E00056960,394,187,126,47,26,8
E00056961,323,182,97,29,13,2
E00056962,355,159,131,40,19,6
E00056963,384,211,117,45,8,3
E00056964,340,154,112,51,18,5
E00056965,296,105,98,65,19,9
E00056966,279,87,76,68,31,17
E00056967,239,118,77,35,8,1
E00056972,172,112,53,7,0,0
E00056973,231,161,56,10,4,0
E00058968,367,206,113,38,7,3
E00058969,236,115,83,32,6,0
E00058970,273,131,85,40,12,5
E00058971,330,193,88,35,12,2
E00058972,299,151,107,30,8,3
E00058973,292,158,99,27,8,0
E00058974,258,94,101,47,14,2
E00058975,275,88,85,67,23,12
E00058976,316,150,84,66,14,2
E00058977,287,131,101,37,14,4
E00058978,310,149,106,39,10,6
E00058979,262,119,86,39,13,5
E00058980,251,115,89,36,8,3
E00058981,323,188,98,31,5,1
E00058982,291,168,93,24,6,0
E00058983,268,136,95,19,17,1
E00058984,310,160,103,40,7,0
E00058985,167,90,55,17,3,2
E00058986,305,171,101,30,3,0
E00058987,309,130,107,54,17,1
E00058988,256,146,67,35,5,3
E00058989,381,228,118,24,10,1
E00058990,272,132,110,24,5,1
E00058991,260,112,85,43,16,4
E00058992,262,120,109,26,6,1
E00058993,231,110,80,30,9,2
E00059008,311,167,98,40,6,0
E00059010,225,130,70,20,4,1
E00060556,351,179,116,38,17,1
E00060557,312,150,109,39,9,5
E00060558,308,133,107,50,18,0
E00060559,358,172,138,33,11,4
E00060560,368,192,120,49,4,3
E00060561,288,117,105,51,9,6
E00060562,248,97,90,43,12,6
E00060563,333,156,119,48,7,3
E00060564,351,186,115,43,7,0
E00060565,341,190,101,33,10,7
E00060566,284,145,87,41,10,1
E00060567,366,180,127,45,11,3
E00060568,363,213,106,36,7,1
E00060569,384,199,129,35,16,5
E00060570,360,194,114,36,9,7
E00060571,392,175,153,43,16,5
E00060572,283,125,84,55,17,2
E00060573,337,168,122,34,10,3
E00060574,329,147,125,40,9,8
E00060575,365,178,120,47,15,5
E00060576,324,128,92,66,31,7
E00060577,362,187,104,54,10,7
E00060578,390,221,121,36,10,2
E00060579,244,127,75,22,18,2
E00060580,216,100,77,32,5,2
E00060581,368,163,129,49,21,6
E00060582,294,145,104,33,8,4
E00060583,363,175,101,60,18,9
E00060584,255,113,85,40,11,6
E00060585,311,125,109,45,28,4
E00060586,303,143,94,49,11,6
E00060587,300,121,108,43,22,6
E00060588,229,124,68,25,9,3
E00060589,220,100,65,22,27,6
E00060590,319,124,102,57,27,9
E00060591,318,112,103,57,35,11
E00060592,373,162,119,50,36,6
E00060593,283,108,91,43,33,8
E00060594,349,168,108,59,9,5
E00060595,263,96,74,53,33,7
E00060596,296,99,104,69,18,6
E00060597,252,88,87,52,18,7
E00060598,261,133,67,38,17,6
E00060599,279,120,91,44,13,11
E00060600,247,77,84,55,20,11
E00060601,259,92,94,46,20,7
E00060602,175,24,49,53,41,8
E00060603,206,64,77,44,17,4
E00060604,289,97,114,55,15,8
E00060605,284,101,96,64,14,9
E00060606,154,84,40,22,5,3
E00060607,188,109,57,19,2,1
E00060608,247,125,59,40,17,6
E00060609,239,99,79,38,17,6
E00060610,242,98,67,48,23,6
E00060611,263,110,88,36,22,7
E00060612,313,111,121,42,28,11
E00060613,315,98,107,51,48,11
E00060614,364,160,127,54,21,2
E00060615,247,95,76,52,17,7
E00060616,130,30,34,45,14,7
E00060617,321,143,103,45,20,10
E00060618,249,99,77,42,23,8
E00060619,295,124,105,34,21,11
E00060620,532,145,162,133,55,37
E00060621,374,187,103,51,26,7
E00060622,373,146,114,65,28,20
E00060623,292,127,72,61,21,11
E00060624,396,191,97,57,40,11
E00060625,276,99,111,44,20,2
E00060627,323,143,122,34,17,7
E00060628,261,113,56,50,33,9
E00060629,258,111,73,37,27,10
E00060630,268,98,91,46,25,8
E00060631,352,164,100,40,35,13
E00060632,328,150,124,40,8,6
E00060633,251,116,84,35,14,2
E00060634,311,149,116,34,10,2
E00060635,292,103,107,60,15,7
E00060636,323,144,116,43,18,2
