house..oa_id,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
E00056946,147,11,31,53,24,13,12,3
E00056947,133,13,9,61,35,5,6,4
E00056948,129,9,14,49,47,4,4,2
E00056949,95,33,16,30,14,2,0,0
E00056959,78,11,9,34,10,5,6,3
E00056960,175,23,26,79,24,6,13,4
E00056961,135,16,14,60,31,7,6,1
E00056962,145,11,22,62,34,8,7,1
E00056963,181,10,47,62,39,15,8,0
E00056964,132,4,23,49,27,15,10,4
E00056965,138,28,16,47,22,7,17,1
E00056966,140,42,16,48,19,3,9,3
E00056967,84,5,11,18,20,24,4,2
E00056972,61,1,6,28,18,3,4,1
E00056973,67,1,6,19,31,5,1,4
E00058968,155,25,14,67,43,1,4,1
E00058969,108,17,11,57,17,4,1,1
E00058970,118,22,17,40,23,7,8,1
E00058971,158,26,33,55,30,6,8,0
E00058972,124,22,8,56,32,1,4,1
E00058973,135,25,19,55,26,6,3,1
E00058974,137,46,12,52,17,4,4,2
E00058975,138,25,23,52,13,5,17,3
E00058976,139,38,23,48,25,3,1,1
E00058977,125,24,7,59,24,5,4,2
E00058978,120,14,10,51,28,6,6,5
E00058979,121,32,9,41,23,8,7,1
E00058980,123,31,13,51,20,4,3,1
E00058981,131,15,12,57,41,0,4,2
E00058982,132,23,19,53,28,5,3,1
E00058983,124,15,23,53,18,7,5,3
E00058984,131,11,13,72,20,8,5,2
E00058985,73,9,12,31,10,3,8,0
E00058986,134,12,17,66,31,1,7,0
E00058987,124,21,12,37,25,9,10,10
E00058988,126,27,24,36,21,10,5,3
E00058989,152,14,16,64,43,5,8,2
E00058990,115,18,7,59,27,0,4,0
E00058991,123,27,21,41,19,5,7,3
E00058992,115,14,13,55,22,4,5,2
E00058993,113,21,26,36,24,3,3,0
E00059008,131,27,10,54,30,4,6,0
E00059010,96,14,9,39,23,6,5,0
E00060556,134,13,13,57,36,7,6,2
E00060557,134,18,12,53,24,7,16,4
E00060558,140,32,9,63,22,2,11,1
E00060559,131,15,12,45,41,0,14,4
E00060560,144,14,18,58,32,6,13,3
E00060561,138,36,12,62,15,9,2,2
E00060562,119,37,9,49,16,3,3,2
E00060563,132,20,5,70,27,1,5,4
