pop..lsoa_code,pop..total_persons,pop..males,pop..females,pop..x0_4_years,pop..x5_11_years,pop..x12_17_years,pop..x18_29_years,pop..x30_39_years,pop..x40_59_years,pop..x60_74_years,pop..x75_years
E01011297,1643,816,827,73,146,120,206,151,557,235,155
E01011298,1442,703,739,104,117,104,224,179,367,237,110
E01011299,2715,1332,1383,197,295,185,428,421,690,316,183
E01011309,1475,722,753,81,121,96,164,143,416,288,166
E01011697,2314,1512,802,91,133,103,440,436,641,310,160
E01011707,1247,592,655,53,112,94,117,102,305,253,211
E01011709,1835,868,967,132,163,145,174,158,474,311,278
E01011710,1404,694,710,86,150,80,107,153,387,296,145
E01011711,1376,642,734,84,90,98,113,137,355,297,202
E01011712,1298,577,721,83,80,94,145,123,340,286,147
E01012007,1398,666,732,67,98,81,168,163,336,277,208
E01012008,1342,634,708,79,117,101,225,157,350,200,113
E01012009,1819,920,899,123,141,109,335,258,497,219,137
E01012010,1393,697,696,76,121,97,177,180,370,227,145
E01012011,1914,865,1049,140,261,183,288,259,442,251,90
E01012012,1765,866,899,106,189,145,279,227,433,243,143
E01012013,1401,676,725,125,145,105,232,191,326,193,84
E01012014,1694,827,867,147,218,165,274,264,372,189,65
E01012015,1374,670,704,72,91,95,217,141,362,248,148
E01012016,1688,792,896,123,152,133,279,210,414,208,169
E01012017,1455,728,727,58,100,61,173,140,378,359,186
E01012018,1459,746,713,60,91,78,290,211,362,226,141
E01012019,1221,570,651,89,185,108,217,125,253,167,77
E01012020,1525,736,789,119,213,113,203,213,362,218,84
E01012021,1364,623,741,105,180,148,223,178,305,137,88
E01012022,2026,985,1041,131,171,138,313,335,522,344,72
E01012023,1353,580,773,30,40,40,138,84,268,413,340
E01012024,1523,729,794,91,152,95,195,188,346,297,159
E01012025,1173,601,572,68,93,65,149,107,264,278,149
E01012026,1821,882,939,134,192,124,251,258,457,278,127
E01012027,1968,958,1010,141,218,144,314,282,521,253,95
E01012030,1514,687,827,89,105,83,177,145,378,338,199
E01012031,1515,709,806,77,124,97,164,184,399,342,128
E01012032,1638,799,839,86,156,155,210,188,530,254,59
E01012033,1200,548,652,46,69,54,142,116,347,246,180
E01012034,1366,669,697,70,134,117,199,156,404,221,65
E01012035,1274,613,661,47,79,86,173,162,303,264,160
E01012036,1879,1029,850,173,163,153,558,328,336,109,59
E01012037,1732,978,754,124,214,118,409,303,391,122,51
E01012038,1890,957,933,203,221,132,494,318,318,154,50
E01012039,1678,1026,652,90,112,98,675,349,236,93,25
E01012040,1761,931,830,167,195,160,452,317,328,113,29
E01012041,976,524,452,43,58,50,147,127,276,211,64
E01012042,1301,634,667,59,91,62,165,125,362,321,116
E01012043,1293,621,672,68,85,77,152,122,291,330,168
E01012044,1547,722,825,123,218,162,231,227,312,221,53
E01012045,1477,663,814,141,211,119,198,191,328,222,67
E01012046,1829,851,978,80,123,104,208,164,409,430,311
E01012047,1556,693,863,107,144,144,253,174,390,219,125
E01012048,1665,786,879,86,118,102,238,149,414,300,258
E01012049,1312,598,714,64,94,72,176,134,312,312,148
E01012050,1475,743,732,146,171,129,238,202,304,187,98
E01012051,1336,651,685,122,146,112,209,186,310,158,93
E01012052,1194,564,630,60,110,70,154,132,252,290,126
E01012053,1623,778,845,107,155,129,229,201,414,266,122
E01012054,1733,884,849,122,171,149,309,209,431,242,100
E01012055,1912,980,932,94,168,144,303,219,449,357,178
E01012056,2673,1401,1272,190,311,241,504,532,610,211,74
E01012057,1881,928,953,122,153,149,311,246,512,264,124
E01012058,1403,755,648,108,114,90,260,215,372,183,61
E01012059,1674,822,852,133,144,102,310,267,366,226,126
E01012060,1610,743,867,154,210,129,253,202,369,225,68
E01012061,1185,536,649,102,136,102,210,154,259,170,52
E01012062,1582,765,817,103,133,84,189,175,392,323,183
E01012063,1326,617,709,60,84,84,143,134,325,293,203
E01012064,2516,1220,1296,200,254,151,366,390,620,359,176
E01012065,1789,830,959,82,125,99,196,176,484,348,279
E01012066,1856,934,922,81,149,128,292,197,615,326,68
E01012067,1538,731,807,55,112,82,105,142,325,409,308
E01012068,2786,1761,1025,81,111,68,1747,396,259,105,19
E01012071,1324,654,670,52,72,80,130,87,355,310,238
E01012073,1308,624,684,49,82,99,143,124,320,309,182
E01012074,1519,724,795,149,174,140,231,232,332,202,59
E01012075,1475,671,804,135,175,133,286,186,322,179,59
E01012076,1402,627,775,131,241,144,241,172,271,162,40
E01012077,1399,641,758,111,118,99,163,186,307,294,121
E01012078,1530,814,716,135,158,83,332,246,364,150,62
E01012079,1424,691,733,98,159,122,197,209,327,223,89
E01012080,1230,614,616,92,126,79,181,193,295,188,76
E01012081,1777,923,854,110,170,117,336,238,452,247,107
E01012082,1473,710,763,124,167,105,242,199,335,209,92
E01012083,1593,729,864,144,222,140,266,225,377,164,55
E01012084,1626,715,911,130,189,129,294,189,347,260,88
E01012085,1385,653,732,117,195,101,213,186,299,195,79
E01012088,1558,718,840,148,199,138,282,198,325,155,113
E01012089,1446,716,730,117,186,124,268,143,316,218,74
E01012090,1444,719,725,108,157,116,208,171,397,236,51
E01012091,1695,804,891,173,225,177,285,195,375,216,49
E01012092,2292,1378,914,90,172,168,1034,354,281,109,84
E01012093,2334,1323,1011,165,275,238,654,437,402,126,37
E01012094,3043,1644,1399,208,327,218,774,588,609,242,77
E01012095,1294,643,651,39,81,82,158,106,340,316,172
E01012096,1449,771,678,83,111,105,220,178,423,226,103
E01012097,1128,569,559,26,82,73,110,95,262,298,182
E01012098,1544,732,812,67,171,106,204,178,429,284,105
E01012099,1490,731,759,111,141,123,238,225,374,203,75
E01012100,1617,862,755,60,109,90,290,240,468,259,101
E01012101,1511,758,753,66,75,72,214,179,391,271,243
E01012102,2325,1113,1212,152,221,157,447,337,568,280,163
E01012105,1406,697,709,81,123,112,194,194,326,258,118
E01012106,1343,681,662,44,99,118,160,152,364,226,180
E01012107,1340,626,714,86,131,96,190,143,323,243,128
E01012108,1406,621,785,84,150,97,190,197,345,233,110
E01012109,1371,672,699,71,88,57,182,179,358,294,142
E01012110,1368,696,672,49,112,80,192,178,417,245,95
E01012111,1214,566,648,42,84,78,134,125,323,259,169
E01012112,1484,736,748,110,151,131,234,177,349,266,66
E01012113,1464,675,789,131,225,142,254,223,291,145,53
E01012114,1494,693,801,147,184,121,288,247,295,166,46
E01012117,2026,1003,1023,111,126,96,302,264,457,371,299
E01012118,1387,647,740,66,97,73,200,147,329,286,189
E01012119,2068,1029,1039,82,176,160,298,194,604,371,183
E01012120,1256,579,677,37,66,53,110,126,297,301,266
E01012121,1326,646,680,69,104,88,228,144,379,228,86
E01012124,1518,745,773,44,104,105,120,123,378,389,255
E01012127,1177,568,609,70,126,100,158,152,283,220,68
E01012128,1265,625,640,66,129,103,182,162,289,235,99
E01012129,2386,1147,1239,137,219,167,272,285,601,424,281
E01012130,1218,587,631,41,67,67,128,141,307,306,161
E01012131,1398,651,747,69,149,123,169,134,284,242,228
E01012132,1878,906,972,70,125,99,274,142,530,414,224
E01012134,1441,733,708,57,92,67,153,146,363,362,201
E01012136,1381,710,671,54,116,81,224,147,343,280,136
E01012137,1374,705,669,68,111,104,136,155,340,305,155
E01012138,2870,1421,1449,154,258,276,376,295,874,461,176
E01012139,1727,833,894,56,100,106,177,171,478,431,208
E01012140,1316,638,678,58,134,72,169,170,306,232,175
E01012141,1000,511,489,25,51,52,125,72,251,228,196
E01012142,1645,788,857,69,161,127,215,212,413,261,187
E01012143,1461,663,798,174,164,116,221,245,275,180,86
E01012144,1331,659,672,67,106,80,150,150,380,277,121
E01012145,1404,698,706,61,96,75,225,165,416,251,115
E01012146,1149,568,581,29,69,65,116,97,293,286,194
E01012147,1727,882,845,66,145,118,192,175,502,369,160
E01012148,1506,736,770,78,151,122,208,265,353,236,93
E01012149,1218,610,608,33,70,70,140,91,324,287,203
E01012150,1521,682,839,108,167,116,217,193,348,232,140
E01012151,1459,713,746,44,87,96,165,139,380,326,222
E01012152,1630,814,816,84,124,90,171,184,422,363,192
E01012154,1151,554,597,20,51,44,134,59,277,317,249
E01012155,1775,853,922,112,156,97,189,252,442,305,222
E01012156,1588,759,829,50,99,106,148,132,445,339,269
E01012157,1601,726,875,54,121,95,181,161,407,344,238
E01012158,1463,705,758,28,97,83,106,124,368,352,305
E01012159,1495,820,675,29,56,67,206,189,446,314,188
E01012160,1569,751,818,64,110,106,156,130,403,401,199
E01012161,1533,727,806,66,89,94,183,158,454,242,247
E01012162,1338,675,663,58,109,81,190,152,357,272,119
E01012163,2406,1215,1191,114,213,192,255,263,682,501,186
E01012164,1553,717,836,55,106,82,154,136,472,398,150
E01012165,2477,1185,1292,167,245,220,361,322,618,375,169
E01012167,1913,907,1006,158,222,141,246,315,456,272,103
E01012168,2019,952,1067,128,205,151,342,307,505,272,109
E01012170,1381,652,729,113,162,140,149,188,311,182,136
E01012171,1407,654,753,49,78,77,216,125,347,288,227
E01012172,1319,620,699,45,83,50,176,125,364,299,177
E01012173,1112,552,560,59,59,54,106,118,300,281,135
E01012174,1021,465,556,60,58,60,117,116,253,195,162
E01012175,1451,717,734,122,172,117,222,203,326,195,94
E01012176,1334,644,690,51,74,60,116,131,350,347,205
E01012177,1418,684,734,51,117,97,200,119,437,275,122
E01012178,1310,620,690,53,85,82,153,137,378,286,136
E01012179,2105,1008,1097,168,203,118,282,316,490,309,219
E01012180,1662,821,841,81,142,128,244,179,568,243,77
E01012181,1666,829,837,82,151,137,207,206,483,251,149
E01012182,1373,666,707,36,62,71,112,122,324,381,265
E01012183,1492,702,790,55,126,74,187,157,423,355,115
E01012184,1396,666,730,71,116,106,158,185,376,257,127
E01012185,1419,679,740,80,129,97,171,200,375,254,113
E01012186,1544,738,806,67,105,70,154,146,419,385,198
E01012227,1449,724,725,71,140,136,228,192,452,160,70
E01012228,1262,630,632,57,106,100,157,176,372,226,68
E01012230,1493,745,748,60,130,132,172,198,476,258,67
E01012231,1942,974,968,82,192,228,291,204,720,176,49
E01012232,1289,638,651,60,133,99,148,163,442,223,21
E01012233,1674,819,855,72,154,123,152,184,476,360,153
E01012234,1524,755,769,68,140,121,191,159,516,255,74
E01012235,2081,1148,933,125,148,142,253,350,589,332,142
E01012236,1285,651,634,57,88,92,164,156,352,304,72
E01012237,1288,654,634,44,100,96,139,129,360,315,105
E01012238,1576,761,815,119,193,148,208,229,389,205,85
E01012239,2546,1246,1300,245,327,251,333,542,519,253,76
E01012240,1769,845,924,117,152,131,205,243,462,322,137
E01012241,1350,662,688,58,95,64,137,133,348,372,143
E01012282,1238,616,622,73,129,119,158,179,285,211,84
E01012283,1190,568,622,72,145,93,156,153,295,210,66
E01012284,1552,713,839,78,118,134,173,193,328,300,228
E01012285,1256,592,664,64,123,53,143,130,290,296,157
E01012286,1381,699,682,92,138,98,308,228,311,160,46
E01012287,3014,1615,1399,99,115,175,1310,554,446,211,104
E01012288,1400,736,664,98,160,105,229,185,366,174,83
E01012289,1246,661,585,54,109,111,194,133,312,206,127
E01012290,1656,803,853,75,103,69,151,154,419,433,252
E01012291,1986,972,1014,132,253,147,245,296,443,295,175
E01012292,2241,1095,1146,173,269,203,296,376,541,264,119
E01012298,1345,660,685,54,81,106,87,96,373,375,173
E01012299,1489,784,705,78,99,95,166,188,447,257,159
E01012300,1481,671,810,66,137,98,139,175,388,295,183
E01012301,1298,636,662,58,93,74,113,133,358,327,142
E01012302,1372,660,712,56,95,90,99,146,330,285,271
E01012303,1954,898,1056,144,166,124,209,295,501,382,133
E01012756,1417,691,726,60,126,79,205,212,412,235,88
E01012757,1427,781,646,77,75,86,356,283,358,130,62
E01012758,1497,794,703,84,110,93,241,181,451,272,65
E01012759,1586,784,802,100,128,98,296,289,389,198,88
E01012760,1553,820,733,81,131,75,334,331,372,142,87
E01012761,1925,1099,826,98,129,72,597,325,363,219,122
E01012762,1432,718,714,56,99,97,345,188,399,179,69
E01012763,1957,1125,832,83,101,82,546,379,528,176,62
E01012764,1095,533,562,12,49,60,123,68,287,296,200
E01012765,1346,651,695,68,106,86,206,196,359,195,130
E01012766,1324,668,656,86,91,94,205,172,364,256,56
E01012767,1582,875,707,67,95,82,637,193,284,164,60
E01012768,1259,608,651,65,59,55,144,117,326,334,159
E01012769,1215,601,614,27,54,53,89,91,289,301,311
E01012770,1444,720,724,85,150,76,166,167,372,301,127
E01012771,1399,672,727,81,96,105,158,155,366,266,172
E01012772,1517,776,741,103,130,72,250,208,382,265,107
E01012773,1523,755,768,85,115,80,247,206,439,245,106
E01012774,1460,732,728,85,141,88,250,203,394,236,63
E01012775,1513,738,775,118,161,108,225,239,338,216,108
E01012776,1331,615,716,66,110,71,220,179,362,216,107
E01012777,1534,731,803,66,93,97,167,157,359,346,249
E01012778,1491,697,794,106,203,184,237,244,327,123,67
E01012779,1338,604,734,128,199,121,236,212,284,132,26
E01012780,1816,879,937,180,266,187,315,245,380,197,46
