ethn..geo_code,ethn..total_persons,ethn..ethnic_group_white,ethn..ethnic_group_chinese,ethn..ethnic_group_irish_traveller,ethn..ethnic_group_indian,ethn..ethnic_group_pakistani,ethn..ethnic_group_bangladeshi,ethn..ethnic_group_other_asian,ethn..ethnic_group_black_caribbean,ethn..ethnic_group_black_african,ethn..ethnic_group_black_other,ethn..ethnic_group_mixed,ethn..ethnic_group_other,ethn..white_or_white_british_or_white_irish,ethn..black_or_black_british_or_black_irish,ethn..asian_or_asian_british_or_asian_irish,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
N00000001,1113,1020,1,1,0,4,0,7,12,25,21,15,7,1021,58,12,15,7
N00000002,351,349,0,0,0,0,0,1,0,0,0,0,1,349,0,1,0,1
N00000003,237,237,0,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0
N00000004,616,615,0,0,0,0,0,0,0,0,1,0,0,615,1,0,0,0
N00000005,374,373,0,0,0,0,0,1,0,0,0,0,0,373,0,1,0,0
N00000006,251,244,0,0,0,0,0,0,0,3,2,2,0,244,5,0,2,0
N00000007,245,243,0,0,0,0,0,2,0,0,0,0,0,243,0,2,0,0
N00000008,288,285,2,0,0,0,0,1,0,0,0,0,0,285,0,3,0,0
N00000009,727,712,0,0,5,4,0,0,0,0,2,4,0,712,2,9,4,0
N00000010,242,241,0,0,1,0,0,0,0,0,0,0,0,241,0,1,0,0
N00000011,293,287,1,0,2,0,0,0,0,0,0,1,2,287,0,3,1,2
N00000012,264,262,1,0,0,0,0,0,0,0,0,0,1,262,0,1,0,1
N00000013,268,267,0,0,0,0,0,0,1,0,0,0,0,267,1,0,0,0
N00000014,460,454,1,0,1,0,0,0,0,0,0,3,1,454,0,2,3,1
N00000015,226,225,0,0,0,0,0,0,0,0,0,1,0,225,0,0,1,0
N00000016,223,219,1,1,0,1,0,0,0,0,0,0,1,220,0,2,0,1
N00000017,340,332,0,0,0,0,0,0,0,1,0,4,3,332,1,0,4,3
N00000018,229,227,0,0,0,0,0,2,0,0,0,0,0,227,0,2,0,0
N00000019,261,253,0,0,0,4,0,3,0,0,0,1,0,253,0,7,1,0
N00000020,236,234,0,0,0,0,0,0,0,0,0,2,0,234,0,0,2,0
N00000021,269,265,0,0,0,0,0,0,1,0,0,3,0,265,1,0,3,0
N00000022,269,267,1,0,0,0,0,1,0,0,0,0,0,267,0,2,0,0
N00000023,218,216,0,0,0,0,0,1,0,0,0,1,0,216,0,1,1,0
N00000024,533,530,0,0,0,3,0,0,0,0,0,0,0,530,0,3,0,0
N00000025,460,460,0,0,0,0,0,0,0,0,0,0,0,460,0,0,0,0
N00000026,466,462,0,0,0,0,0,0,0,0,0,4,0,462,0,0,4,0
N00000027,540,535,0,0,0,0,0,1,0,0,0,3,1,535,0,1,3,1
N00000028,236,234,0,0,0,0,0,0,0,1,0,1,0,234,1,0,1,0
N00000029,403,396,3,0,0,2,0,0,0,0,0,2,0,396,0,5,2,0
N00000030,375,372,0,0,0,0,0,0,0,1,2,0,0,372,3,0,0,0
N00000031,707,706,0,0,0,0,0,0,0,0,0,0,1,706,0,0,0,1
N00000032,386,386,0,0,0,0,0,0,0,0,0,0,0,386,0,0,0,0
N00000033,498,492,0,1,0,0,0,0,0,5,0,0,0,493,5,0,0,0
N00000034,474,470,0,0,0,0,0,0,0,0,1,3,0,470,1,0,3,0
N00000035,291,288,0,0,3,0,0,0,0,0,0,0,0,288,0,3,0,0
N00000036,345,338,0,0,0,0,0,3,1,3,0,0,0,338,4,3,0,0
N00000037,285,285,0,0,0,0,0,0,0,0,0,0,0,285,0,0,0,0
N00000038,406,402,0,0,0,0,0,3,0,0,0,1,0,402,0,3,1,0
N00000039,1262,1234,0,0,8,0,0,1,0,1,0,14,4,1234,1,9,14,4
N00000040,265,265,0,0,0,0,0,0,0,0,0,0,0,265,0,0,0,0
N00000041,462,462,0,0,0,0,0,0,0,0,0,0,0,462,0,0,0,0
N00000042,410,409,0,0,0,0,0,0,0,0,0,1,0,409,0,0,1,0
N00000043,1245,1223,0,1,0,1,0,0,0,10,0,10,0,1224,10,1,10,0
N00000044,312,312,0,0,0,0,0,0,0,0,0,0,0,312,0,0,0,0
N00000045,515,513,0,0,0,0,0,0,0,0,0,2,0,513,0,0,2,0
N00000046,394,394,0,0,0,0,0,0,0,0,0,0,0,394,0,0,0,0
N00000047,374,372,0,0,0,0,0,0,0,0,0,1,1,372,0,0,1,1
N00000048,304,300,1,0,1,0,0,0,0,0,0,2,0,300,0,2,2,0
N00000049,254,252,1,0,0,0,0,0,0,0,0,1,0,252,0,1,1,0
N00000050,299,299,0,0,0,0,0,0,0,0,0,0,0,299,0,0,0,0
N00000051,313,306,0,0,1,0,0,5,0,0,0,1,0,306,0,6,1,0
N00000052,309,306,1,0,0,0,0,0,0,0,0,2,0,306,0,1,2,0
N00000053,261,254,3,0,0,0,2,1,0,0,0,1,0,254,0,6,1,0
N00000054,266,263,1,0,0,0,0,0,0,0,0,1,1,263,0,1,1,1
N00000055,266,262,1,0,3,0,0,0,0,0,0,0,0,262,0,4,0,0
