house..sa_id,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
N00000001,310,2,19,86,186,5,9,3
N00000002,141,15,27,40,33,10,14,2
N00000003,78,4,8,29,23,1,7,6
N00000004,195,12,16,67,81,5,11,3
N00000005,124,5,12,44,48,3,9,3
N00000006,86,11,10,26,27,2,6,4
N00000007,89,10,7,36,23,4,7,2
N00000008,138,11,43,42,18,8,11,5
N00000009,275,12,52,83,81,20,19,8
N00000010,86,12,8,27,20,3,12,4
N00000011,136,35,23,42,19,3,9,5
N00000012,121,17,26,40,16,7,13,2
N00000013,136,32,35,34,14,10,8,3
N00000014,205,18,42,70,31,23,17,4
N00000015,119,31,25,32,13,6,10,2
N00000016,122,22,40,27,10,11,12,0
N00000017,144,19,34,29,28,21,8,5
N00000018,94,8,15,30,22,8,9,2
N00000019,116,13,26,35,15,13,14,0
N00000020,122,16,37,20,11,25,11,2
N00000021,128,16,38,31,19,11,11,2
N00000022,126,26,27,25,16,15,15,2
N00000023,115,25,23,27,13,10,15,2
N00000024,174,10,12,65,67,4,10,6
N00000025,159,11,18,63,41,2,10,14
N00000026,151,12,11,53,43,5,16,11
N00000027,178,12,25,52,62,7,13,7
N00000028,85,6,13,21,27,4,12,2
N00000029,136,12,7,58,43,4,9,3
N00000030,131,10,12,57,29,5,14,4
N00000031,201,12,13,67,70,9,13,17
N00000032,133,19,11,45,44,8,4,2
N00000033,166,14,13,60,56,4,17,2
N00000034,158,15,14,62,46,11,7,3
N00000035,128,12,36,30,24,14,10,2
N00000036,134,16,17,45,32,11,11,2
N00000037,124,21,23,36,20,7,13,4
N00000038,138,13,11,50,34,14,6,10
N00000039,448,56,63,93,151,54,20,11
N00000040,114,20,23,26,19,17,6,3
N00000041,144,5,15,34,64,14,7,5
N00000042,126,7,11,39,44,9,10,6
N00000043,368,25,34,73,160,43,17,16
N00000044,108,12,17,26,23,19,9,2
N00000045,170,11,10,64,60,8,7,10
N00000046,129,12,9,55,34,4,12,3
N00000047,138,10,17,58,28,5,16,4
N00000048,125,11,24,39,22,19,8,2
N00000049,123,10,42,28,16,13,12,2
N00000050,135,19,26,48,24,7,8,3
N00000051,124,11,24,26,17,25,17,4
N00000052,120,9,27,37,17,17,7,6
N00000053,108,7,29,17,19,16,14,6
N00000054,111,6,24,25,18,26,12,0
N00000055,117,19,23,38,18,5,12,2
N00000056,119,15,21,42,14,11,13,3
N00000057,118,9,34,22,18,23,6,6
N00000058,121,8,38,16,21,26,12,0
N00000059,110,11,31,20,14,17,13,4
N00000060,180,17,48,40,19,32,19,5
N00000061,129,22,23,55,20,2,6,1
N00000062,130,6,13,67,27,4,10,3
N00000063,155,14,33,42,24,27,11,4
N00000064,133,16,44,22,17,15,16,3
N00000065,146,9,10,71,26,7,16,7
N00000066,110,10,9,57,16,6,9,3
N00000067,134,10,26,31,20,27,17,3
N00000068,124,6,9,51,44,5,5,4
N00000069,145,13,37,22,15,34,16,8
N00000070,104,16,9,56,11,4,5,3
N00000071,136,26,36,43,13,5,11,2
N00000072,634,27,94,173,221,50,48,21
N00000073,249,46,76,54,20,17,30,6
N00000074,386,9,70,115,138,21,18,15
N00000075,111,13,12,39,22,13,8,4
N00000076,114,10,3,38,49,4,5,5
N00000077,98,6,9,34,29,3,14,3
N00000078,161,6,19,41,74,11,5,5
N00000079,192,18,21,47,80,9,12,5
N00000080,146,9,13,54,54,7,7,2
N00000081,140,28,18,44,38,2,7,3
N00000082,132,17,15,49,30,7,11,3
N00000083,208,10,12,78,80,3,15,10
N00000084,153,10,9,66,54,5,5,4
N00000085,180,26,47,38,29,17,17,6
N00000086,142,8,22,33,36,23,15,5
N00000087,303,13,35,102,104,23,23,3
N00000088,136,55,26,30,5,10,8,2
