pop..soa_code,pop..total_persons,pop..males,pop..females,pop..x0_15_years,pop..x16_39_years,pop..x40_64_years,pop..x65_years
95AA01S1,1028,620,408,275,605,141,7
95AA01S2,2123,1064,1059,526,555,726,316
95AA01S3,1624,805,819,332,481,563,248
95AA02W1,1759,895,863,240,474,637,408
95AA03W1,1846,901,944,395,547,578,326
95AA04W1,3373,1742,1631,707,926,1234,506
95AA05W1,2728,1351,1378,616,734,859,519
95AA06S1,1909,921,988,423,581,638,267
95AA06S2,2559,1225,1333,571,800,881,307
95AA07W1,2155,1081,1075,406,551,765,433
95AA08W1,1811,886,924,377,605,552,277
95AA09W1,2352,1124,1229,491,673,730,458
95AA10W1,1870,897,974,370,536,565,399
95AA11S1,2836,1367,1469,547,820,966,503
95AA11S2,2939,1495,1444,713,909,1037,280
95AA12W1,2758,1356,1402,486,666,1088,518
95AA13S1,1901,931,970,403,579,640,279
95AA13S2,1543,745,798,302,481,516,244
95AA14W1,2485,1255,1230,527,635,835,488
95AA15S1,3081,1487,1594,759,1038,944,340
95AA15S2,1886,913,974,540,653,481,212
95AA16W1,1822,887,935,379,587,562,294
95AA17W1,2019,1006,1013,457,588,639,335
95AA18W1,2613,1269,1343,444,570,838,761
95AA19W1,2757,1381,1377,645,859,881,372
95BB01S1,1810,889,921,365,553,623,269
95BB01S2,1985,972,1013,370,561,744,310
95BB02W1,2577,1246,1332,472,761,790,554
95BB03S1,2040,989,1051,385,555,669,431
95BB03S2,2377,1215,1162,432,501,836,608
95BB04S1,1434,716,718,210,322,475,427
95BB04S2,1907,902,1004,340,413,627,527
95BB05S1,1489,743,746,239,348,558,344
95BB05S2,1981,988,992,365,527,661,428
95BB06W1,2940,1456,1484,453,944,905,638
95BB07S1,1799,811,988,317,534,520,428
95BB07S2,1374,675,699,204,371,482,317
95BB08S1,1404,655,751,296,407,402,299
95BB08S2,1213,588,625,236,323,429,225
95BB09S1,1336,636,700,188,297,422,429
95BB09S2,1750,855,896,276,505,619,350
95BB10S1,1628,798,831,215,337,568,508
95BB10S2,1968,963,1005,281,453,697,537
95BB11S1,1415,670,745,309,336,495,275
95BB11S2,1551,721,829,220,304,482,545
95BB12S1,1663,752,911,415,547,448,253
95BB12S2,1454,702,752,275,340,512,327
95BB13S1,1332,628,704,250,372,513,197
95BB13S2,1410,664,745,253,378,445,334
95BB13S3,1405,697,709,254,399,532,220
95BB14S1,1617,814,803,272,389,586,370
95BB14S2,1561,773,788,247,353,563,398
95BB15S1,2065,1028,1037,433,494,754,384
95BB15S2,1461,731,730,277,410,506,268
95BB16S1,1578,807,770,254,374,549,401
95BB16S2,1862,929,933,353,402,711,396
95BB17S1,1704,808,895,359,479,596,270
95BB17S2,1969,976,993,391,580,645,353
95BB18S1,1865,914,951,410,532,585,338
95BB18S2,2642,1252,1391,520,621,961,540
95BB19S1,1955,957,998,356,560,628,411
95BB19S2,1915,970,945,407,541,736,231
95BB19S3,1300,661,639,261,380,486,173
95BB20S1,1866,934,932,314,500,669,383
95BB20S2,1424,738,686,251,372,478,323
95BB21S1,2404,1210,1193,529,604,785,486
95BB21S2,2513,1206,1306,495,652,884,482
95BB22S1,1629,806,823,385,493,556,195
95BB22S2,1529,684,844,323,427,482,297
95BB23S1,1720,824,896,251,429,565,475
95BB23S2,1364,668,696,194,339,492,339
95CC01W1,2656,1317,1339,557,785,819,495
95CC02W1,2973,1562,1411,639,859,951,524
95CC03W1,2997,1479,1519,766,994,853,384
95CC04W1,2776,1406,1370,687,845,823,421
95CC05W1,2972,1505,1466,712,865,904,491
95CC06S1,1725,821,903,389,538,518,280
95CC06S2,1420,689,731,324,394,468,234
95CC07W1,3820,1925,1895,1021,1162,1196,441
95CC08W1,2681,1299,1383,652,829,781,419
95CC09S1,1566,749,817,315,404,565,282
95CC09S2,2116,1055,1061,492,620,715,289
95CC10W1,2739,1422,1317,496,710,883,650
95CC11W1,1972,968,1005,441,597,566,368
95CC12W1,2976,1482,1495,724,824,924,504
95CC13W1,2569,1283,1285,600,745,791,433
95CC14W1,3182,1582,1600,725,919,1030,508
95CC15W1,3027,1524,1503,692,877,1001,457
95CC16W1,3114,1493,1622,780,922,937,475
95CC17W1,3180,1630,1550,856,925,959,440
95CC18W1,2557,1256,1301,518,710,839,490
95CC19W1,2903,1470,1434,654,821,966,462
95CC20S1,1220,597,623,260,318,422,220
95CC20S2,1693,872,821,329,476,590,298
95CC21W1,3068,1539,1528,667,846,1006,549
95CC22W1,1974,956,1018,406,545,649,374
95DD01W1,2048,997,1051,288,437,699,624
95DD02S1,1373,700,672,222,375,458,318
95DD02S2,2721,1336,1385,591,903,855,372
95DD03W1,3746,1741,2005,766,1116,1187,677
95DD04W1,2006,930,1076,453,594,639,320
95DD05W1,1724,811,912,400,551,534,239
95DD06W1,2672,1222,1450,399,629,772,872
95DD07S1,1575,791,783,259,395,495,426
95DD07S2,1986,929,1057,401,531,650,404
95DD08W1,2637,1426,1211,484,900,867,386
95DD09W1,2583,1308,1276,520,575,978,510
95DD10W1,2858,1398,1460,495,830,919,614
95DD11W1,2487,1232,1255,645,858,678,306
95DD12W1,2616,1343,1274,524,705,891,496
95DD13W1,2091,1041,1049,476,652,568,395
95DD14S1,1652,780,872,331,483,571,267
95DD14S2,1660,831,830,279,410,641,330
95DD15W1,3651,1841,1810,883,1013,1228,527
95DD16W1,3107,1577,1530,596,810,1112,589
95DD17W1,3687,1825,1862,888,1027,1186,586
95DD18W1,2176,1094,1081,344,677,672,483
95DD19S1,1972,957,1015,448,631,592,301
95DD19S2,1514,785,729,268,398,529,319
95DD20W1,1814,908,906,352,576,586,300
95DD21W1,2316,1152,1163,479,670,748,419
95DD22S1,1690,856,834,337,515,553,285
95DD22S2,1670,827,844,407,446,528,289
95DD23W1,2692,1363,1328,548,700,942,502
95DD24W1,2693,1334,1359,553,826,839,475
95EE01W1,1980,1009,971,440,620,647,273
95EE02W1,2106,1052,1054,442,582,754,328
95EE03W1,2174,1056,1119,424,629,732,389
95EE04W1,1938,943,994,383,568,659,328
95EE05W1,1575,783,792,300,373,611,291
95EE06W1,2415,1199,1218,559,785,768,303
95EE07W1,1830,871,959,389,499,601,341
95EE08W1,1889,904,984,249,480,622,538
95EE09W1,1877,968,908,372,537,655,313
95EE10W1,1883,957,926,431,573,577,302
95EE11W1,1711,886,826,353,447,604,307
95EE12W1,2493,1169,1325,571,779,811,332
95EE13W1,1558,743,815,251,383,513,411
95EE14W1,3036,1498,1539,693,928,980,435
95EE15W1,1821,924,896,410,492,612,307
95EE16W1,2212,1100,1112,476,660,747,329
95FF01S1,2282,1105,1177,475,648,774,385
95FF01S2,3193,1560,1632,718,1031,1025,419
95FF02W1,3035,1570,1465,719,903,996,417
95FF03W1,3211,1605,1606,771,1063,978,399
95FF04W1,2863,1455,1408,643,738,1028,454
95FF05W1,2717,1295,1422,588,776,881,472
95FF06S1,1964,933,1031,344,584,660,376
95FF06S2,2273,1139,1134,521,703,826,223
95FF07W1,2747,1329,1418,626,789,958,374
95FF08W1,2339,1115,1224,389,635,794,521
95FF09W1,2646,1316,1332,572,787,872,415
95FF10W1,3760,1924,1835,865,1111,1265,519
95FF11W1,2853,1465,1389,725,717,955,456
95FF12W1,2751,1352,1400,573,779,917,482
95FF13W1,3009,1492,1518,674,850,1029,456
95FF14W1,2545,1313,1232,454,584,982,525
95FF15W1,2773,1346,1426,594,820,803,556
95FF16W1,2390,1203,1188,421,595,838,536
95FF17W1,1747,854,893,326,498,557,366
95GG01S1,1609,731,878,242,412,519,436
95GG01S2,1369,634,735,221,358,433,357
95GG01S3,1566,722,843,305,441,497,323
95GG02S1,1677,788,889,432,562,445,238
95GG02S2,1919,861,1057,532,651,491,245
95GG02S3,2304,1070,1234,620,768,616,300
95GG03S1,1954,926,1027,352,513,663,426
95GG03S2,1775,883,892,336,454,674,311
95GG03S3,2108,1005,1103,356,665,719,368
95GG04S1,1660,800,860,365,584,482,229
95GG04S2,1570,716,854,439,524,411,196
95GG04S3,1816,956,860,346,697,548,225
95GG05S1,1833,920,913,308,681,616,228
95GG05S2,2030,1056,974,334,900,640,156
95GG05S3,2200,1218,982,357,1060,605,178
95GG06S1,2010,955,1055,485,663,555,307
95GG06S2,1785,858,927,333,576,614,262
95GG06S3,2010,959,1050,424,638,710,238
95GG07S1,1839,840,999,446,624,526,243
95GG07S2,1939,911,1028,472,727,534,206
95GG07S3,1651,795,855,340,554,536,221
95GG08S1,1362,668,695,257,357,481,267
95GG08S2,1873,922,951,429,603,609,232
95GG08S3,1928,963,965,438,662,579,249
95GG09S1,2137,1038,1099,383,524,775,455
95GG09S2,1813,877,936,253,503,637,420
95GG09S3,2198,1051,1147,466,679,738,315
95GG10S1,2023,1102,921,376,875,558,214
95GG10S2,2480,1273,1207,498,1147,626,209
95GG11S1,1907,936,972,350,774,546,237
95GG11S2,1650,840,810,302,499,579,270
95GG11S3,1816,937,879,270,780,553,213
95GG12S1,1376,732,643,117,1007,193,59
95GG12S2,2433,1226,1207,153,1996,221,63
95GG12S3,2587,1226,1361,165,2085,251,86
95GG12S4,1904,1018,886,106,1513,240,45
95GG12S5,2504,1304,1200,520,1170,629,185
95GG13S1,1354,673,682,251,432,469,202
95GG13S2,1698,781,917,346,489,550,313
95GG13S3,1611,745,867,281,449,539,342
95GG14S1,1610,782,827,327,434,540,309
95GG14S2,1599,779,821,297,413,572,317
95GG14S3,1621,768,851,322,456,565,278
