house..sa_id,house..total_households,house..one_person_household,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
A017001001,129,23,23,65,13,1,4
A017002001,114,19,24,56,6,4,5
A017002002,139,20,31,62,21,2,3
A017002003,103,20,30,42,5,4,2
A017003001,83,20,11,39,8,1,4
A017003002,114,23,26,53,8,1,3
A017004001,102,15,20,47,13,4,3
A017004002,70,11,10,36,7,5,1
A017004003,65,20,12,18,6,5,4
A017005001,79,18,14,40,2,3,2
A017005002,70,15,16,26,5,3,5
A017006001,118,22,24,52,10,3,7
A017007001,92,22,15,41,5,6,3
A017008001,71,15,19,19,3,7,8
A017008002,81,10,15,45,4,4,3
A017008003,79,25,19,19,9,4,3
A017008004,130,32,17,47,23,6,5
A017009001,85,12,14,43,6,4,6
A017009002,83,17,10,42,6,3,5
A017010001,102,29,30,24,2,13,4
A017010002,108,30,33,16,6,19,4
A017010003,107,27,31,34,8,2,5
A017010004,130,37,29,39,14,7,4
A017010005,79,24,11,14,2,25,3
A017010006,90,19,15,33,6,10,7
A017010007,88,19,8,18,14,28,1
A017010008,147,16,15,60,36,6,14
A017010009,127,17,15,54,22,12,7
A017010010,120,19,15,49,22,11,4
A017010011,132,28,13,65,12,6,8
A017010012,105,24,23,38,11,7,2
A017010013,129,22,29,49,21,3,5
A017010014,84,17,8,42,10,3,4
A017010015,112,43,29,31,4,2,3
A017010016,114,40,30,24,6,11,3
A017010017,125,33,11,46,27,6,2
A017010018,105,22,18,40,19,4,2
A017010019,71,11,15,32,6,5,2
A017010020,73,14,8,34,10,5,2
A017010021,71,9,5,45,7,3,2
A017010022,95,19,13,41,11,4,7
A017010023,85,18,12,30,16,4,5
A017010024,72,18,23,14,7,6,4
A017010025,79,13,14,22,15,9,6
A017010026,103,12,11,39,20,10,11
A017010027,104,11,8,35,20,20,10
A017010028,174,40,26,51,37,10,10
A017010029,121,28,25,45,12,7,4
A017010030,77,11,18,28,9,8,3
A017010031,92,17,17,36,10,7,5
A017010032,87,17,19,29,13,8,1
A017010033,130,25,29,58,6,5,7
A017010034,96,20,24,41,6,4,1
A017010034,96,20,24,41,6,4,1
A017010035,75,6,13,47,6,1,2
A017010036,117,31,35,30,12,5,4
A017010037,90,25,13,30,14,7,1
A017010038,129,37,24,33,17,13,5
A017010039,95,23,24,36,6,2,4
A017010040,114,26,32,34,12,3,7
A017010041,130,30,27,39,20,10,4
A017010042,142,24,15,54,36,2,11
A017010043,135,17,10,63,33,5,7
A017010044,125,29,27,32,24,3,10
A017010045,96,26,31,23,7,4,5
A017010046,90,27,12,30,7,11,3
A017010047,78,24,20,26,3,2,3
A017010048,113,11,9,63,22,3,5
A017010049,76,7,14,31,13,7,4
A017011001,68,12,8,26,12,7,3
A017011002,62,19,13,5,2,23,0
A017011003,114,52,13,18,13,14,4
A017011004,52,26,11,1,0,14,0
A017011005,71,29,9,8,7,16,2
A017011006,73,43,4,5,1,19,1
A017011007,74,38,8,16,6,6,0
A017011008,112,35,18,27,18,13,1
A017011009,63,28,12,11,4,6,2
A017011010,76,23,26,12,5,7,3
A017011011,76,41,13,5,4,12,1
A017011012,116,41,19,17,11,25,3
A017011013,111,42,18,21,19,9,2
A017011014,63,35,3,6,10,7,2
A017011015,74,21,8,22,5,14,4
A017011016,63,24,13,10,9,3,4
A017011017,73,22,19,16,6,7,3
A017011018,103,19,20,24,20,9,11
A017011019,81,33,13,14,10,7,4
A017011020,100,39,17,17,8,13,6
A017011021,105,38,18,22,11,13,3
A017011022,42,26,2,4,0,9,1
A017011023,102,35,13,24,13,10,7
A017011024,117,33,19,28,17,10,10
A017012001,83,35,12,11,12,11,2
A017012002/017012003,117,23,29,33,18,5,9
A017012004,79,17,15,33,5,4,5
A017012004,79,17,15,33,5,4,5
A017013001,90,11,15,53,4,4,3
A017013002,66,10,10,32,12,2,0
A017013003,88,13,25,36,6,4,4
A017013004,100,18,18,47,10,3,4
A017014001,70,11,14,42,1,1,1
A017014002,94,23,19,39,10,0,3
A017015001,78,21,11,33,3,4,6
A017016001,107,20,26,51,6,3,1
A017016002,76,16,12,29,7,9,3
A017017001,95,17,15,47,12,3,1
A017017002,92,21,15,40,9,1,6
A017017003,77,9,23,32,7,4,2
A017017004,89,14,16,39,7,7,6
A017018001,110,23,20,56,6,0,5
A017018002,110,32,26,26,12,7,7
A017018003,69,17,14,24,11,0,3
A017019001,112,23,15,59,9,2,4
A017019002,85,8,13,49,12,2,1
A017020001,105,21,23,45,10,2,4
A017021001,97,20,21,42,7,5,2
A017021002,130,31,27,44,8,6,14
A017022001,88,22,19,32,10,1,4
A017022002,95,23,29,27,12,3,1
A017022003,72,9,18,32,5,3,5
A017022004,93,15,14,48,8,4,4
A017023001,131,33,27,34,26,4,7
A017024001,102,24,19,31,20,2,6
A017024002,100,27,12,44,8,1,8
A017025001,98,21,21,42,7,1,6
A017025002,101,16,24,40,10,3,8
A017025003,133,29,20,56,21,4,3
A017026001,87,16,17,43,5,2,4
A017026002,121,29,26,51,6,3,6
A017027001,76,10,21,36,5,1,3
A017027002,74,11,23,30,3,3,4
A017028001,67,13,13,32,5,4,0
A017029001,75,13,19,33,5,0,5
A017030001,115,15,18,64,7,5,6
A017031001,120,32,21,47,4,6,10
A017031002,113,32,18,53,4,5,1
A017031003,100,13,18,46,9,7,7
A017031004,80,12,15,35,11,4,3
A017031005,117,38,17,32,19,7,4
A017031006,114,41,21,27,13,8,4
A017032001,117,25,15,59,14,2,2
A017033001,80,27,14,24,6,9,0
A017033002,128,24,17,58,13,6,10
A017034001,146,24,42,56,13,5,6
A017034002,80,12,15,34,6,8,5
A017034003,78,27,11,20,13,4,3
A017034004,92,23,18,33,12,2,4
A017034005,112,18,27,41,17,3,6
A017034006,100,23,2,50,21,1,3
A017034007,97,7,5,56,17,7,5
A017034008,133,33,32,40,10,13,5
A017034009,72,17,9,25,13,1,7
A017034010,101,37,13,26,14,5,6
A017034011,103,33,22,29,7,8,4
A017035001,93,37,17,26,7,3,3
A017035002,93,40,14,19,10,7,3
A017036001,65,10,12,29,7,0,7
A017036002,137,24,31,53,24,2,3
A017036003,98,16,25,39,8,5,5
A017037001,106,23,17,48,6,7,5
A017037002,82,6,11,51,6,4,4
A017038001,115,18,17,69,8,1,2
A017038002,79,24,5,33,13,2,2
A017038003,83,19,18,37,4,0,5
A017039001,95,14,24,36,10,7,4
A017040001/017040002,75,18,9,35,4,4,5
A017041001,51,15,17,15,3,1,0
A017041002,126,19,23,58,12,6,8
A017041003,135,18,24,71,15,3,4
A017042001,94,12,24,40,5,8,5
A017042002,109,19,4,66,11,3,6
A017042003,70,23,14,15,13,2,3
A017042004,72,13,12,31,5,5,6
A017043001,64,16,16,26,3,1,2
A017044001,105,27,15,39,17,0,7
A017044002,91,14,16,43,8,4,6
A017045001,88,19,12,40,10,4,3
A017045002,81,15,10,41,8,2,5
A017046001,83,11,17,41,9,2,3
A017047001,94,22,25,35,7,3,2
A017047002,143,20,35,66,8,6,8
A017048001,72,12,18,34,3,3,2
A017049001,74,12,23,31,3,1,4
A017049002,112,18,23,53,9,6,3
A017049003,116,22,20,62,7,2,3
A017050001,71,26,16,14,8,3,4
A017050002,63,16,24,14,3,3,3
A017050003,52,11,16,15,6,2,2
A017050004,68,12,13,33,6,1,3
A017051001,63,11,14,21,6,7,4
A017051002,76,14,26,24,3,5,4
A017051003,105,23,14,33,21,7,7
A017051004,106,44,17,22,8,13,2
A017051005,104,31,26,24,10,3,10
A017051006,120,33,20,41,19,4,3
A017051007/017051014,111,54,13,19,8,9,8
A017051007/017051014,111,54,13,19,8,9,8
A017051008,88,27,26,24,4,4,3
A017051009,130,25,11,66,22,2,4
A017051010,120,19,20,56,9,7,9
A017051011,112,34,21,34,8,6,9
A017051012,97,17,14,33,22,6,5
A017051013,110,21,8,40,23,13,5
A017052001,80,6,11,46,8,4,5
A017052002,129,17,11,59,25,11,6
A017053001,57,17,5,20,11,1,3
A017054001,100,19,22,37,9,4,9
A017054002,96,13,22,48,3,5,5
A017054003,101,24,25,37,7,5,3
A017054004/017054005,129,50,20,29,18,9,3
A017054006,68,33,11,13,4,4,3
A017054007,80,38,8,18,5,9,2
A027001001,142,44,27,26,14,30,1
A027001002,99,21,23,25,16,8,6
A027001003,92,34,15,14,11,15,3
A027001004,65,12,15,32,6,0,0
A027002001,61,8,20,24,6,2,1
A027002002,61,19,16,18,3,3,2
A027002003,62,11,19,26,5,0,1
A027002004,63,19,16,21,5,2,0
A027002005,65,10,19,24,10,1,1
A027003001,82,18,20,31,10,2,1
A027003002,57,17,10,24,2,2,2
A027004001,89,26,18,27,12,4,2
A027004002,63,15,9,29,6,1,3
A027004003,60,9,19,21,7,3,1
A027004004,74,17,17,30,6,2,2
A027004005,83,25,10,35,5,3,5
A027004006,96,13,25,40,12,2,4
A027004007,99,19,29,37,4,4,6
A027004008,87,11,18,44,9,3,2
A027004009,97,25,19,37,12,1,3
A027004010,65,9,19,28,6,1,2
A027004011,67,18,15,21,5,6,2
A027004012,91,12,18,43,8,6,4
A027004013,76,20,17,27,5,3,4
A027004014,80,20,11,34,11,2,2
A027004015,59,19,12,17,6,3,2
A027004016,86,32,12,27,12,2,1
A027004017,83,21,11,26,21,2,2
A027004018,90,50,13,12,11,1,3
A027005001,97,37,22,15,14,6,3
A027005002,72,48,8,9,1,5,1
A027006001,88,24,24,34,2,2,2
A027006002,72,13,11,35,8,0,5
A027006003,72,15,19,27,4,4,3
A027006004,79,21,17,30,9,2,0
A027006005,63,18,11,28,3,2,1
A027006006,56,23,8,17,8,0,0
A027006007,62,22,20,9,7,1,3
A027006008,71,18,13,30,7,1,2
A027007001,76,17,11,32,9,3,4
A027007002,117,37,15,49,3,8,5
A027007003,76,24,18,26,3,3,2
A027007004,95,27,19,42,3,2,2
A027008001,101,22,16,46,10,2,5
A027008002,85,19,22,26,12,3,3
A027008003,112,35,21,35,12,6,3
A027008004,100,22,16,47,5,3,7
A027008005,71,12,9,29,8,7,6
A027008006,85,14,17,36,3,6,9
A027008007,86,13,11,36,11,6,9
A027008008,84,20,12,25,15,5,7
A027008009,94,23,14,31,10,11,5
A027008010,69,19,6,27,7,5,5
A027008011,70,12,10,25,6,8,9
A027008012,100,27,10,34,13,6,10
A027009001,101,22,23,39,9,2,6
A027009002,103,21,19,42,11,5,5
A027009003,109,11,18,59,13,3,5
A027009004,59,17,8,27,2,4,1
A027010001,61,13,11,24,5,5,3
A027011001,69,19,16,28,2,1,3
A027011002,74,10,21,36,3,2,2
A027011003,97,26,22,39,9,1,0
A027012001,76,21,15,32,4,3,1
A027012002,73,23,11,26,7,2,4
A027012003,72,20,17,26,3,3,3
A027012004,86,27,16,26,13,3,1
A027012005,113,22,24,46,9,5,7
A027012006,93,29,12,28,22,1,1
A027013001,99,32,17,25,16,9,0
A027013002,115,20,19,51,17,7,1
A027013003,59,8,12,31,6,0,2
A027013004,88,17,12,36,17,4,2
A027013005,110,48,15,24,13,6,4
A027013006,89,28,18,34,4,4,1
A027013007,66,26,14,21,2,2,1
A027013008,52,29,13,5,2,2,1
A027013009,92,54,16,8,7,6,1
A027014001,36,15,9,10,2,0,0
A027015001,81,28,12,25,6,8,2
A027016001,63,15,13,13,19,2,1
A027017001,33,16,6,9,0,0,2
A027017002,61,18,10,21,8,3,1
A027018001,72,18,14,25,10,3,2
A027018002,123,31,24,47,17,4,0
A027019001,57,16,13,17,8,0,3
A027020001,86,22,17,31,7,4,5
A027020002,106,22,24,43,10,4,3
A027021001,78,15,18,35,3,5,2
A027021002,84,18,17,36,3,2,8
A027022001,104,18,20,46,8,3,9
A027022002,63,13,15,24,6,2,3
A027022003,78,18,14,30,7,6,3
A027022004,95,19,18,39,10,3,6
A027023001,72,10,17,33,5,4,3
A027024001,66,15,15,28,4,2,2
A027024002,63,8,15,28,6,2,4
A027024003,103,22,21,42,5,5,8
A027024004,78,13,14,39,4,5,3
A027024005,130,34,14,59,14,5,4
A027024006,86,11,11,42,10,6,6
A027024007,120,22,30,48,8,7,5
A027024008,95,14,13,48,15,3,2
A027024009,74,13,12,33,8,3,5
A027024010,119,11,15,59,13,12,9
A027024011,84,9,4,47,15,2,7
A027024012,80,9,14,41,9,4,3
A027024013,81,21,15,25,12,7,1
A027024014,109,27,17,49,8,4,4
A027024015,102,34,17,28,8,11,4
A027024016,66,38,10,11,2,3,2
A027024017,38,8,7,22,1,0,0
A027024018,93,14,32,38,9,0,0
A027024019,117,35,25,33,9,6,9
A027024020,89,25,13,43,3,2,3
A027024021,114,26,13,39,14,15,7
A027024022,121,36,35,29,9,6,6
A027024023,135,15,32,55,19,9,5
A027024024,90,20,8,36,11,10,5
A027024025,112,23,20,43,15,5,6
A027024026,82,32,31,14,2,2,1
A027024027,128,23,17,49,30,4,5
A027024028,68,14,6,31,10,2,5
A027025001,107,13,29,52,10,1,2
A027025002,72,21,9,26,10,5,1
A027025003,69,13,12,20,5,16,3
A027025004,85,18,13,33,13,6,2
A027025005,63,33,14,6,3,6,1
A027025006,106,19,14,45,21,3,4
A027025007,93,38,17,27,3,5,3
A027025008,78,9,11,33,12,5,8
A027025009,93,40,16,17,12,4,4
A027025010,118,63,13,14,9,17,2
A027025011,81,19,12,18,14,8,10
A027025012,79,40,9,11,6,11,2
A027025013,100,19,19,39,10,9,4
A027025014,130,32,16,47,30,3,2
A027025015,78,44,8,9,10,4,3
A027025016,59,27,11,12,2,7,0
A027025017,76,28,11,16,12,7,2
A027025018,55,27,8,4,4,10,2
A027026001,87,47,12,14,6,7,1
A027026002,111,44,23,22,12,7,3
A027027001,74,19,5,25,12,10,3
A027027002,125,16,26,66,7,4,6
A027027003,137,17,27,72,11,3,7
A027027004,101,24,12,56,6,1,2
A027028001,91,19,23,31,10,5,3
A027028002,102,24,19,44,9,2,4
A027028003,87,22,16,33,11,1,4
A027028004,67,16,13,23,11,2,2
A027028005,66,31,7,16,6,6,0
A027028006,91,32,21,27,6,2,3
A027028007,79,32,12,29,4,1,1
A027028008,91,47,14,17,8,3,2
A027029001,51,21,11,9,4,2,4
A027030001,129,41,26,35,23,1,3
A027030002,126,50,17,38,15,2,4
A027031001,95,21,20,39,9,4,2
A027031002,67,19,11,29,4,2,2
A027032001,96,27,21,38,6,3,1
A027032002,109,17,22,58,8,3,1
A027032003,87,23,9,48,2,3,2
A027033001,57,15,12,21,5,2,2
A027033002,71,16,8,35,7,2,3
A027034001,56,13,10,24,4,3,2
A027035001,116,27,22,47,7,3,10
A027035002,117,34,14,53,8,4,4
A027035003,126,29,18,60,11,5,3
A027036001,82,24,15,31,6,1,5
A027036002,66,16,14,24,3,3,6
A027037001,98,23,20,40,8,3,4
A027038001/027047001,79,15,15,37,8,3,1
A027039001,72,17,18,28,4,2,3
A027040001,36,14,6,11,0,4,1
A027041001,51,17,6,15,4,5,4
A027042001,52,14,13,17,5,1,2
A027042002,50,11,12,19,4,3,1
A027043001,62,24,8,15,7,6,2
A027043002,74,20,6,36,4,2,6
A027044001,69,14,13,31,6,4,1
A027044002,104,26,22,39,11,2,4
A027045001,110,21,20,50,10,5,4
A027045002,102,18,17,52,11,2,2
A027045003,80,18,19,34,5,3,1
A027046001,57,11,7,31,4,3,1
A027046002,67,9,15,35,5,2,1
A027048001,62,14,13,28,3,3,1
A027048002,101,19,19,44,12,3,4
A027049001,80,19,15,36,5,1,4
A027050001,71,17,12,36,4,0,2
A027050002,72,8,15,34,9,1,5
A027051001,72,16,18,31,4,2,1
A027051002,108,25,21,47,8,3,4
A027052001,84,20,20,35,4,2,3
A027052002,74,15,17,35,4,1,2
A027052003,75,19,13,31,5,2,5
A027052004,61,18,11,19,7,4,2
