ethn..sa_id,ethn..total_persons,ethn..ethnic_group_e_s_w_white_unit_persons,ethn..ethnic_group_e_s_w_white_gypsy_or_irish_traveller_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_indian_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_pakistani_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_bangladeshi_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_chinese_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_other_asian_unit_persons,ethn..ethnic_group_e_s_w_black_african_caribbean_black_british_unit_persons,ethn..ethnic_group_e_s_w_other_ethnic_group_any_other_ethnic_group_unit_persons,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
S00088956,230,210,0,8,1,0,0,3,0,5,3,210,5,4,8,3
S00088957,66,63,0,0,0,0,0,0,3,0,0,63,0,3,0,0
S00088958,90,76,0,0,3,11,0,0,0,0,0,76,0,14,0,0
S00088959,83,81,0,0,0,0,0,1,0,0,1,81,0,1,0,1
S00088960,68,66,0,0,0,0,0,0,2,0,0,66,0,2,0,0
S00088961,217,201,1,4,0,0,0,0,3,7,1,202,7,3,4,1
S00088962,86,86,0,0,0,0,0,0,0,0,0,86,0,0,0,0
S00088963,89,89,0,0,0,0,0,0,0,0,0,89,0,0,0,0
S00088964,88,81,0,2,0,0,0,0,2,2,1,81,2,2,2,1
S00088965,144,143,0,0,0,0,0,0,1,0,0,143,0,1,0,0
S00088966,120,89,21,6,3,0,0,0,0,1,0,110,1,3,6,0
S00088967,52,52,0,0,0,0,0,0,0,0,0,52,0,0,0,0
S00088968,56,56,0,0,0,0,0,0,0,0,0,56,0,0,0,0
S00088969,154,143,0,1,1,8,0,0,1,0,0,143,0,10,1,0
S00088970,105,94,0,1,0,0,0,1,4,4,1,94,4,5,1,1
S00088971,78,70,0,2,2,1,0,1,0,2,0,70,2,4,2,0
S00088972,129,109,0,1,9,0,0,1,1,8,0,109,8,11,1,0
S00088973,144,117,0,2,3,0,8,8,6,0,0,117,0,25,2,0
S00088974,120,104,0,1,4,5,0,4,0,2,0,104,2,13,1,0
S00088975,77,77,0,0,0,0,0,0,0,0,0,77,0,0,0,0
S00088976,69,62,0,0,4,0,0,1,1,0,1,62,0,6,0,1
S00088977,60,48,1,0,4,0,2,1,1,1,2,49,1,8,0,2
S00088978,60,56,0,0,2,0,0,0,0,0,2,56,0,2,0,2
S00088979,85,74,0,1,5,1,0,2,1,0,1,74,0,9,1,1
S00088980,66,57,0,0,3,0,0,2,0,2,2,57,2,5,0,2
S00088981,57,53,0,0,0,0,1,1,1,0,1,53,0,3,0,1
S00088982,66,58,0,2,0,1,0,1,3,1,0,58,1,5,2,0
S00088983,65,59,0,1,1,0,0,4,0,0,0,59,0,5,1,0
S00088984,55,54,0,0,0,0,0,0,0,0,1,54,0,0,0,1
S00088985,80,66,0,1,2,0,2,0,4,4,1,66,4,8,1,1
S00088986,131,119,0,1,3,0,2,1,1,3,1,119,3,7,1,1
S00088987,63,55,0,2,4,0,0,0,0,2,0,55,2,4,2,0
S00088988,67,61,0,0,1,1,0,3,0,0,1,61,0,5,0,1
S00088989,95,71,0,0,3,3,0,5,9,4,0,71,4,20,0,0
S00088990,107,94,1,0,3,0,0,0,0,6,3,95,6,3,0,3
S00088991,127,85,0,0,21,0,0,5,4,4,8,85,4,30,0,8
S00088992,541,443,3,12,5,2,0,11,16,43,6,446,43,34,12,6
S00088993,123,91,0,4,3,0,0,1,2,22,0,91,22,6,4,0
S00088994,57,48,0,0,2,0,0,0,1,6,0,48,6,3,0,0
S00088995,62,50,0,0,2,0,2,4,0,2,2,50,2,8,0,2
S00088996,102,83,0,1,1,0,0,6,1,10,0,83,10,8,1,0
S00088997,152,143,0,4,1,0,0,0,1,3,0,143,3,2,4,0
S00088998,126,104,0,0,0,0,0,2,5,9,6,104,9,7,0,6
S00088999,123,113,0,3,4,2,0,0,0,0,1,113,0,6,3,1
S00089000,120,112,0,2,2,0,0,0,1,1,2,112,1,3,2,2
S00089001,115,114,0,0,0,0,0,0,0,0,1,114,0,0,0,1
S00089002,135,113,0,6,0,0,0,4,5,7,0,113,7,9,6,0
S00089003,118,110,0,1,0,0,0,0,5,0,2,110,0,5,1,2
S00089004,97,91,0,2,0,0,0,0,1,2,1,91,2,1,2,1
S00089005,133,129,0,0,0,0,0,0,0,4,0,129,4,0,0,0
S00089006,104,97,0,2,0,0,0,0,4,0,1,97,0,4,2,1
S00089007,122,109,0,1,0,1,0,4,6,0,1,109,0,11,1,1
S00089008,73,67,0,1,1,0,0,0,2,2,0,67,2,3,1,0
S00089009,106,87,0,0,0,0,0,2,0,17,0,87,17,2,0,0
S00089010,129,126,0,1,0,0,0,0,0,0,2,126,0,0,1,2
S00089011,155,123,0,3,7,0,7,1,5,9,0,123,9,20,3,0
S00089012,117,100,0,0,0,0,0,0,1,4,12,100,4,1,0,12
S00089013,69,64,0,1,0,0,0,0,0,3,1,64,3,0,1,1
S00089014,117,104,0,1,5,0,0,0,0,4,3,104,4,5,1,3
S00089015,93,71,0,0,2,0,0,2,2,13,3,71,13,6,0,3
S00089016,90,78,0,2,3,0,0,1,2,2,2,78,2,6,2,2
S00089017,83,65,0,0,2,1,2,0,6,7,0,65,7,11,0,0
S00089018,148,133,1,2,1,0,0,1,7,3,0,134,3,9,2,0
S00089019,134,127,0,4,0,0,0,0,0,2,1,127,2,0,4,1
S00089020,79,62,0,2,3,0,0,0,1,10,1,62,10,4,2,1
S00089021,83,82,0,0,0,0,0,0,0,1,0,82,1,0,0,0
S00089022,96,80,0,1,5,0,0,0,0,10,0,80,10,5,1,0
S00089023,99,85,0,0,0,4,0,2,1,6,1,85,6,7,0,1
S00089024,65,60,0,1,3,0,0,0,0,0,1,60,0,3,1,1
S00089025,63,54,0,3,0,0,0,2,0,4,0,54,4,2,3,0
S00089026,67,62,0,0,0,0,0,2,0,3,0,62,3,2,0,0
S00089027,107,99,0,1,3,0,0,0,0,4,0,99,4,3,1,0
S00089028,78,69,0,0,3,2,0,0,2,2,0,69,2,7,0,0
S00089029,82,79,0,0,1,0,0,0,0,2,0,79,2,1,0,0
S00089030,66,60,0,3,1,0,0,0,1,0,1,60,0,2,3,1
S00089031,143,120,0,1,0,1,0,0,5,15,1,120,15,6,1,1
S00089032,84,70,0,2,1,0,9,0,0,2,0,70,2,10,2,0
S00089033,95,79,0,0,2,0,0,0,10,4,0,79,4,12,0,0
S00089034,58,48,0,0,2,0,0,4,0,0,4,48,0,6,0,4
S00089035,106,86,0,1,5,1,0,2,0,11,0,86,11,8,1,0
S00089036,67,57,0,1,3,0,0,0,4,0,2,57,0,7,1,2
S00089037,87,75,0,0,9,0,0,0,2,0,1,75,0,11,0,1
S00089038,58,42,1,0,6,0,0,0,0,9,0,43,9,6,0,0
S00089039,80,66,0,2,0,0,0,4,0,6,2,66,6,4,2,2
S00089040,91,85,0,0,0,0,0,2,4,0,0,85,0,6,0,0
S00089041,225,211,2,0,0,0,7,0,0,5,0,213,5,7,0,0
S00089042,68,62,0,0,0,0,0,0,0,3,3,62,3,0,0,3
S00089043,148,138,0,0,4,3,0,0,3,0,0,138,0,10,0,0
S00089044,71,69,0,0,0,0,0,0,1,1,0,69,1,1,0,0
S00089045,73,73,0,0,0,0,0,0,0,0,0,73,0,0,0,0
S00089046,248,235,3,0,0,2,0,0,1,6,1,238,6,3,0,1
S00089047,110,106,0,0,0,0,0,0,4,0,0,106,0,4,0,0
S00089048,91,90,0,0,0,0,0,0,0,1,0,90,1,0,0,0
S00089049,130,125,0,0,0,0,0,0,5,0,0,125,0,5,0,0
S00089050,108,103,2,1,0,0,0,0,1,1,0,105,1,1,1,0
S00089051,146,132,0,0,2,0,0,0,7,5,0,132,5,9,0,0
S00089052,148,140,0,1,0,0,0,0,2,5,0,140,5,2,1,0
S00089053,114,103,0,4,3,0,0,0,0,4,0,103,4,3,4,0
S00089054,76,69,0,1,0,0,0,0,0,6,0,69,6,0,1,0
S00089055,86,82,0,0,2,0,0,0,0,2,0,82,2,2,0,0
S00089056,71,67,0,0,1,0,0,0,0,2,1,67,2,1,0,1
S00089057,85,81,0,2,0,0,0,1,0,0,1,81,0,1,2,1
S00089058,96,90,0,1,0,0,0,0,0,5,0,90,5,0,1,0
S00089059,55,55,0,0,0,0,0,0,0,0,0,55,0,0,0,0
S00089060,61,58,0,1,0,0,0,0,2,0,0,58,0,2,1,0
S00089061,75,64,0,2,1,0,0,0,2,6,0,64,6,3,2,0
S00089062,53,47,0,0,0,1,0,0,0,4,1,47,4,1,0,1
S00089063,83,56,1,0,0,0,1,0,1,18,6,57,18,2,0,6
S00089064,84,78,0,0,0,0,0,0,4,2,0,78,2,4,0,0
S00089065,95,83,1,1,0,0,0,0,1,9,0,84,9,1,1,0
S00089066,64,59,0,0,0,0,0,4,1,0,0,59,0,5,0,0
S00089067,108,99,0,0,2,1,0,2,0,4,0,99,4,5,0,0
S00089068,73,68,0,0,2,0,0,0,0,3,0,68,3,2,0,0
S00089069,60,57,0,0,0,0,0,0,3,0,0,57,0,3,0,0
S00089070,127,111,0,1,5,2,0,0,0,8,0,111,8,7,1,0
S00089071,88,82,0,0,0,2,0,0,0,4,0,82,4,2,0,0
S00089072,113,113,0,0,0,0,0,0,0,0,0,113,0,0,0,0
S00089073,94,90,0,0,4,0,0,0,0,0,0,90,0,4,0,0
S00089074,145,127,0,0,3,3,0,4,2,1,5,127,1,12,0,5
S00089075,87,71,0,0,2,0,0,0,0,14,0,71,14,2,0,0
S00089076,113,105,0,0,0,0,2,0,0,6,0,105,6,2,0,0
S00089077,90,80,0,0,0,0,0,0,0,10,0,80,10,0,0,0
S00089078,52,51,1,0,0,0,0,0,0,0,0,52,0,0,0,0
S00089079,61,56,0,0,0,0,0,0,1,4,0,56,4,1,0,0
S00089080,100,88,0,0,0,0,0,0,0,12,0,88,12,0,0,0
S00089081,74,73,0,0,0,0,0,1,0,0,0,73,0,1,0,0
S00089082,82,82,0,0,0,0,0,0,0,0,0,82,0,0,0,0
S00089083,120,120,0,0,0,0,0,0,0,0,0,120,0,0,0,0
S00089084,100,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0
S00089085,121,121,0,0,0,0,0,0,0,0,0,121,0,0,0,0
S00089086,100,97,2,0,0,1,0,0,0,0,0,99,0,1,0,0
S00089087,141,133,0,1,0,0,0,0,2,5,0,133,5,2,1,0
S00089088,93,92,0,0,0,0,0,1,0,0,0,92,0,1,0,0
S00089089,110,100,0,3,0,0,0,0,1,6,0,100,6,1,3,0
S00089090,126,125,0,0,0,0,0,0,0,1,0,125,1,0,0,0
S00089091,150,145,0,0,0,0,0,0,1,1,3,145,1,1,0,3
S00089092,171,161,0,1,3,0,1,2,0,3,0,161,3,6,1,0
S00089093,166,152,1,1,0,0,5,1,6,0,0,153,0,12,1,0
S00089094,90,90,0,0,0,0,0,0,0,0,0,90,0,0,0,0
S00089095,119,113,0,0,3,0,0,0,0,3,0,113,3,3,0,0
S00089096,97,91,0,0,6,0,0,0,0,0,0,91,0,6,0,0
S00089097,83,81,0,0,0,0,0,0,0,2,0,81,2,0,0,0
S00089098,82,82,0,0,0,0,0,0,0,0,0,82,0,0,0,0
S00089099,120,118,0,0,0,0,2,0,0,0,0,118,0,2,0,0
S00089100,101,101,0,0,0,0,0,0,0,0,0,101,0,0,0,0
S00089101,75,69,0,3,0,0,0,0,1,2,0,69,2,1,3,0
S00089102,86,83,0,0,1,0,0,0,2,0,0,83,0,3,0,0
S00089103,89,87,0,1,0,0,0,0,0,0,1,87,0,0,1,1
S00089104,67,67,0,0,0,0,0,0,0,0,0,67,0,0,0,0
S00089105,96,94,0,0,0,0,0,0,0,2,0,94,2,0,0,0
S00089106,89,83,0,0,0,0,0,0,4,1,1,83,1,4,0,1
S00089107,82,77,0,0,1,0,0,0,0,4,0,77,4,1,0,0
S00089108,92,92,0,0,0,0,0,0,0,0,0,92,0,0,0,0
S00089109,60,48,0,1,0,1,0,0,0,10,0,48,10,1,1,0
S00089110,109,106,0,0,0,0,0,0,3,0,0,106,0,3,0,0
S00089111,147,142,2,1,0,1,0,0,1,0,0,144,0,2,1,0
S00089112,151,149,0,0,0,0,0,0,0,2,0,149,2,0,0,0
S00089113,64,64,0,0,0,0,0,0,0,0,0,64,0,0,0,0
S00089114,117,116,0,0,0,0,0,0,0,0,1,116,0,0,0,1
S00089115,154,145,0,0,0,0,0,0,0,9,0,145,9,0,0,0
S00089116,206,196,1,4,0,0,0,1,0,4,0,197,4,1,4,0
S00089117,125,121,1,0,0,0,0,0,0,2,1,122,2,0,0,1
S00089118,145,135,2,1,1,3,0,2,0,1,0,137,1,6,1,0
S00089119,87,87,0,0,0,0,0,0,0,0,0,87,0,0,0,0
S00089120,77,73,0,0,3,0,0,0,1,0,0,73,0,4,0,0
S00089121,173,167,0,1,2,0,0,1,0,2,0,167,2,3,1,0
S00089122,65,65,0,0,0,0,0,0,0,0,0,65,0,0,0,0
S00089123,151,146,5,0,0,0,0,0,0,0,0,151,0,0,0,0
S00089124,105,101,0,0,0,0,0,0,0,4,0,101,4,0,0,0
S00089125,164,149,1,0,3,3,0,0,5,2,1,150,2,11,0,1
S00089126,116,111,0,0,2,0,0,0,0,3,0,111,3,2,0,0
S00089127,93,91,2,0,0,0,0,0,0,0,0,93,0,0,0,0
S00089128,97,97,0,0,0,0,0,0,0,0,0,97,0,0,0,0
S00089129,197,177,0,0,0,0,0,0,2,16,2,177,16,2,0,2
S00089130,93,86,0,0,1,0,2,0,0,4,0,86,4,3,0,0
S00089131,102,100,0,0,0,0,0,0,2,0,0,100,0,2,0,0
S00089132,87,83,0,0,3,0,0,0,0,1,0,83,1,3,0,0
S00089133,87,81,0,2,3,0,0,0,1,0,0,81,0,4,2,0
S00089134,129,129,0,0,0,0,0,0,0,0,0,129,0,0,0,0
S00089135,144,140,0,1,0,0,0,2,0,1,0,140,1,2,1,0
S00089136,112,105,0,3,0,0,0,0,4,0,0,105,0,4,3,0
S00089137,109,103,0,0,0,0,0,0,6,0,0,103,0,6,0,0
S00089138,55,55,0,0,0,0,0,0,0,0,0,55,0,0,0,0
S00089139,86,76,0,2,0,6,0,0,0,1,1,76,1,6,2,1
S00089140,100,95,0,0,0,0,0,0,0,5,0,95,5,0,0,0
S00089141,120,110,0,0,0,0,0,0,1,1,8,110,1,1,0,8
S00089142,137,130,0,0,2,0,0,4,1,0,0,130,0,7,0,0
S00089143,105,99,0,1,0,0,0,0,1,4,0,99,4,1,1,0
S00089144,91,88,0,0,3,0,0,0,0,0,0,88,0,3,0,0
S00089145,127,119,3,0,0,4,0,0,0,1,0,122,1,4,0,0
S00089146,117,109,0,2,0,6,0,0,0,0,0,109,0,6,2,0
S00089147,96,92,0,0,0,0,2,0,0,2,0,92,2,2,0,0
S00089148,123,117,0,0,1,0,0,0,1,2,2,117,2,2,0,2
S00089149,124,118,0,1,0,0,0,0,5,0,0,118,0,5,1,0
S00089150,151,133,0,1,0,0,0,0,0,17,0,133,17,0,1,0
S00089151,61,61,0,0,0,0,0,0,0,0,0,61,0,0,0,0
S00089152,54,54,0,0,0,0,0,0,0,0,0,54,0,0,0,0
S00089153,63,63,0,0,0,0,0,0,0,0,0,63,0,0,0,0
S00089154,72,72,0,0,0,0,0,0,0,0,0,72,0,0,0,0
S00089155,84,84,0,0,0,0,0,0,0,0,0,84,0,0,0,0
S00089156,129,123,0,0,0,0,0,0,0,1,5,123,1,0,0,5
S00089157,105,105,0,0,0,0,0,0,0,0,0,105,0,0,0,0
S00089158,136,131,0,0,0,0,5,0,0,0,0,131,0,5,0,0
S00089159,90,87,0,0,0,0,3,0,0,0,0,87,0,3,0,0
S00089160,112,105,0,0,0,0,0,1,1,5,0,105,5,2,0,0
S00089161,95,93,2,0,0,0,0,0,0,0,0,95,0,0,0,0
S00089162,77,76,0,0,0,0,0,0,1,0,0,76,0,1,0,0
S00089163,115,108,0,0,0,0,0,1,0,6,0,108,6,1,0,0
S00089164,78,78,0,0,0,0,0,0,0,0,0,78,0,0,0,0
S00089165,105,97,1,2,0,0,0,0,1,4,0,98,4,1,2,0
S00089166,150,140,0,0,1,0,0,0,0,8,1,140,8,1,0,1
S00089167,107,106,0,0,0,0,0,0,0,1,0,106,1,0,0,0
S00089168,64,64,0,0,0,0,0,0,0,0,0,64,0,0,0,0
S00089169,117,112,0,0,0,0,5,0,0,0,0,112,0,5,0,0
S00089170,90,82,0,0,0,0,4,0,0,4,0,82,4,4,0,0
S00089171,74,69,0,1,0,0,0,0,0,3,1,69,3,0,1,1
S00089172,64,64,0,0,0,0,0,0,0,0,0,64,0,0,0,0
