ethn..geo_code,ethn..total_persons,ethn..ethnic_group_e_s_w_white_english_welsh_scottish_northern_irish_british_unit_persons,ethn..ethnic_group_e_s_w_white_irish_unit_persons,ethn..ethnic_group_e_s_w_white_gypsy_or_irish_traveller_unit_persons,ethn..ethnic_group_e_s_w_white_other_white_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_white_and_black_caribbean_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_white_and_black_african_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_white_and_asian_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_other_mixed_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_indian_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_pakistani_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_bangladeshi_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_chinese_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_other_asian_unit_persons,ethn..ethnic_group_e_s_w_black_african_caribbean_black_british_african_unit_persons,ethn..ethnic_group_e_s_w_black_african_caribbean_black_british_caribbean_unit_persons,ethn..ethnic_group_e_s_w_black_african_caribbean_black_british_other_black_unit_persons,ethn..ethnic_group_e_s_w_other_ethnic_group_arab_unit_persons,ethn..ethnic_group_e_s_w_other_ethnic_group_any_other_ethnic_group_unit_persons,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
W00000001,363,359,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,359,0,2,2,0
W00000002,257,253,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,255,1,1,0,0
W00000003,356,348,4,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,353,0,0,3,0
W00000004,394,382,4,0,4,0,0,1,0,0,0,0,0,2,0,0,0,0,1,390,0,2,1,1
W00000005,507,500,4,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,504,1,0,2,0
W00000006,323,312,2,0,7,0,0,0,0,0,0,0,0,0,1,0,0,1,0,321,1,0,0,1
W00000008,285,280,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,284,0,1,0,0
W00000009,426,424,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,424,0,1,1,0
W00000010,287,275,2,0,4,2,0,0,0,0,0,0,4,0,0,0,0,0,0,281,0,4,2,0
W00000011,291,289,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,0,0,0,0
W00000012,287,282,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,284,0,0,3,0
W00000013,417,404,5,0,2,1,0,2,0,0,0,0,0,0,0,1,0,0,2,411,1,0,3,2
W00000014,300,294,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0
W00000015,268,258,4,0,3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,265,2,0,1,0
W00000016,224,214,1,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,1,220,3,0,0,1
W00000017,240,216,2,0,15,1,1,3,1,0,0,0,0,0,0,0,0,1,0,233,0,0,6,1
W00000018,254,248,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,250,0,2,1,1
W00000019,211,197,4,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,1,0
W00000020,216,205,2,0,5,0,1,0,0,1,0,0,0,1,0,0,0,1,0,212,0,2,1,1
W00000021,225,213,1,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,222,0,3,0,0
W00000022,309,301,0,1,1,0,0,5,0,1,0,0,0,0,0,0,0,0,0,303,0,1,5,0
W00000023,306,305,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,305,0,0,1,0
W00000024,345,340,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,0,0,0,0
W00000025,283,279,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,280,0,2,1,0
W00000026,291,286,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,286,0,2,3,0
W00000027,355,343,0,3,6,0,0,1,0,1,0,0,0,1,0,0,0,0,0,352,0,2,1,0
W00000028,311,301,0,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,309,0,0,1,1
W00000029,255,247,2,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,253,0,1,1,0
W00000030,399,394,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399,0,0,0,0
W00000031,384,380,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,381,0,0,2,1
W00000032,235,231,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,231,0,2,2,0
W00000033,303,277,2,0,7,0,0,1,1,7,2,0,4,2,0,0,0,0,0,286,0,15,2,0
W00000034,289,278,0,0,1,0,0,1,0,4,1,0,0,3,0,0,0,1,0,279,0,8,1,1
W00000035,423,401,0,0,1,1,0,1,0,8,0,0,6,1,0,0,0,4,0,402,0,15,2,4
W00000036,269,242,0,0,0,0,0,0,0,1,0,0,4,5,0,0,0,16,1,242,0,10,0,17
W00000037,489,483,1,0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,485,1,0,3,0
W00000038,405,396,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,5,0,398,0,0,2,5
W00000039,405,377,3,4,7,2,0,2,0,6,0,3,0,0,0,1,0,0,0,391,1,9,4,0
W00000040,310,308,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,309,1,0,0,0
W00000041,294,287,1,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,1,290,2,0,1,1
W00000042,259,252,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,257,0,0,2,0
W00000043,292,287,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,0,0,0,0
W00000044,509,503,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,507,0,0,1,1
W00000045,293,292,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,0,0,0,0
W00000046,243,238,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,239,0,0,4,0
W00000047,273,269,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,272,0,1,0,0
W00000048,347,279,6,0,18,6,1,5,1,7,0,0,12,8,0,0,0,3,1,303,0,27,13,4
W00000049,327,278,5,0,15,1,0,1,0,8,0,4,7,2,0,0,0,2,4,298,0,21,2,6
W00000050,233,214,3,0,6,0,0,0,1,0,1,0,7,0,0,0,0,0,1,223,0,8,1,1
W00000051,323,282,5,0,13,1,0,0,0,1,5,0,8,4,2,0,0,0,2,300,2,18,1,2
W00000052,259,257,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,258,0,0,0,1
W00000053,425,417,1,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,423,0,1,1,0
W00000054,270,257,1,0,7,0,0,4,0,0,0,0,0,1,0,0,0,0,0,265,0,1,4,0
W00000055,280,272,0,0,4,1,0,1,1,0,0,0,0,0,0,0,0,0,1,276,0,0,3,1
W00000056,250,234,1,0,4,5,0,0,1,0,0,0,4,1,0,0,0,0,0,239,0,5,6,0
W00000057,393,365,6,0,7,7,0,1,0,2,1,4,0,0,0,0,0,0,0,378,0,7,8,0
W00000058,314,296,4,0,10,0,0,1,0,0,2,0,0,1,0,0,0,0,0,310,0,3,1,0
W00000059,318,296,0,0,3,3,0,3,1,0,1,2,1,0,1,1,0,6,0,299,2,4,7,6
W00000060,252,232,0,0,4,3,2,1,0,1,0,0,3,0,1,0,0,5,0,236,1,4,6,5
W00000061,305,295,2,0,5,0,0,0,2,0,0,0,1,0,0,0,0,0,0,302,0,1,2,0
W00000062,379,369,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,2,0,375,0,2,0,2
W00000063,293,283,2,0,5,0,0,1,0,1,0,0,0,1,0,0,0,0,0,290,0,2,1,0
W00000064,252,249,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,249,0,1,2,0
W00000065,272,254,2,0,8,2,0,0,0,2,0,0,4,0,0,0,0,0,0,264,0,6,2,0
W00000066,289,285,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,286,0,0,2,1
W00000067,480,471,1,0,5,1,0,0,0,0,0,0,1,0,0,0,0,1,0,477,0,1,1,1
W00000068,410,386,1,0,8,2,0,0,4,4,0,0,0,0,0,0,0,1,4,395,0,4,6,5
W00000069,346,344,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,345,0,0,1,0
W00000070,436,422,1,0,2,0,0,2,1,0,0,3,1,4,0,0,0,0,0,425,0,8,3,0
W00000071,390,365,2,0,11,0,0,4,1,0,0,0,5,2,0,0,0,0,0,378,0,7,5,0
W00000072,291,279,0,0,2,1,0,0,0,6,0,0,3,0,0,0,0,0,0,281,0,9,1,0
W00000073,250,228,1,0,2,1,0,0,1,13,0,0,2,1,1,0,0,0,0,231,1,16,2,0
W00000074,221,214,0,1,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,219,0,2,0,0
W00000075,247,241,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,1,0
W00000076,309,285,1,0,7,1,0,1,0,4,0,3,0,2,2,0,3,0,0,293,5,9,2,0
W00000077,385,350,8,0,9,0,0,4,0,5,0,2,0,2,5,0,0,0,0,367,5,9,4,0
W00000078,262,251,2,0,0,0,0,2,0,0,0,6,0,1,0,0,0,0,0,253,0,7,2,0
W00000079,279,268,0,1,3,4,0,0,1,0,0,0,2,0,0,0,0,0,0,272,0,2,5,0
W00000080,319,308,7,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,315,0,3,1,0
W00000081,313,302,3,0,1,1,0,1,2,0,0,0,1,0,0,0,0,0,2,306,0,1,4,2
W00000082,271,264,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,269,0,0,1,1
W00000083,343,339,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,340,1,0,2,0
W00000084,175,167,1,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,174,0,0,1,0
W00000086,228,218,5,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,225,0,2,1,0
W00000087,218,216,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,216,0,0,2,0
W00000088,280,273,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,278,0,0,2,0
W00000090,170,167,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,168,0,1,1,0
W00000091,324,318,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,321,1,1,0,1
W00000092,224,216,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,223,0,0,1,0
W00000093,221,217,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0
W00000094,313,304,4,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,309,0,0,4,0
W00000095,218,215,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0
W00000096,213,207,0,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,211,1,0,1,0
W00000097,372,367,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,0,0,0,0
W00000098,322,316,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,0,0,0,0
W00000099,367,362,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,362,1,1,3,0
W00000100,254,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,253,0,0,0,1
W00000101,300,295,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,299,0,1,0,0
W00000102,280,275,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,279,0,0,1,0
W00000103,311,306,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,309,0,2,0,0
W00000104,295,289,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,292,0,0,3,0
W00000105,385,371,2,0,0,3,0,2,0,0,0,0,0,0,5,0,0,0,2,373,5,0,5,2
W00000106,327,320,3,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,324,1,0,2,0
W00000107,366,361,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,362,1,0,2,1
W00000108,506,499,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,504,1,0,0,1
W00000109,251,249,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,250,0,1,0,0
W00000110,338,327,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,333,0,0,1,4
W00000111,282,267,5,0,2,1,0,4,0,0,0,0,0,1,0,0,0,2,0,274,0,1,5,2
W00000112,271,269,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,270,0,0,0,1
W00000113,298,295,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,295,0,3,0,0
W00000114,313,308,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,310,0,0,3,0
W00000115,440,432,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,439,0,0,1,0
W00000116,389,378,2,0,5,0,0,0,0,0,0,0,0,0,0,2,0,1,1,385,2,0,0,2
W00000117,423,391,1,4,11,2,1,3,1,2,0,2,1,0,0,1,0,3,0,407,1,5,7,3
W00000118,368,354,0,3,4,0,1,1,1,0,0,2,1,0,0,0,0,1,0,361,0,3,3,1
W00000119,339,325,5,0,5,1,0,2,0,1,0,0,0,0,0,0,0,0,0,335,0,1,3,0
W00000120,355,344,1,0,4,0,0,0,0,0,0,0,5,1,0,0,0,0,0,349,0,6,0,0
W00000121,291,277,1,0,4,5,1,0,0,0,0,0,0,3,0,0,0,0,0,282,0,3,6,0
W00000122,286,284,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,284,1,0,1,0
W00000123,314,304,2,0,3,1,0,0,1,3,0,0,0,0,0,0,0,0,0,309,0,3,2,0
W00000124,391,382,2,0,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,385,0,5,1,0
