house..oa_id,house..total_households,house..one_person_household_65,house..one_person_household_64,house..couple_no_dependent_children,house..couple_dependent_children,house..lone_parent_dependent_children,house..other_household_no_dependent_children,house..other_household_dependent_children
W00000001,158,21,28,58,27,4,17,3
W00000002,140,30,30,49,12,9,10,0
W00000003,153,26,32,45,28,5,13,4
W00000004,178,37,16,85,26,4,6,4
W00000005,212,39,26,50,50,19,22,6
W00000006,160,24,45,45,27,8,8,3
W00000008,126,34,19,45,14,2,9,3
W00000009,179,24,33,42,38,23,14,5
W00000010,135,29,11,66,19,4,6,0
W00000011,119,18,12,45,28,2,9,5
W00000012,129,17,18,61,13,7,8,5
W00000013,172,30,19,55,31,14,16,7
W00000014,114,11,18,29,34,12,6,4
W00000015,127,25,10,58,15,2,16,1
W00000016,113,26,14,50,7,8,5,3
W00000017,139,27,38,45,9,6,14,0
W00000018,119,23,24,37,10,15,7,3
W00000019,129,24,48,38,10,3,5,1
W00000020,117,31,27,31,12,5,9,2
W00000021,122,22,19,62,9,4,6,0
W00000022,139,25,26,44,22,11,10,1
W00000023,130,17,13,62,25,3,9,1
W00000024,150,21,27,58,21,6,16,1
W00000025,111,13,17,45,21,2,10,3
W00000026,124,10,17,53,27,9,8,0
W00000027,140,16,28,55,27,2,12,0
W00000028,139,20,22,49,13,11,16,8
W00000029,120,23,19,45,13,6,11,3
W00000030,164,15,27,60,32,8,16,6
W00000031,154,18,24,57,42,4,7,2
W00000032,120,26,29,37,14,4,8,2
W00000033,131,13,20,51,29,4,12,2
W00000034,118,12,20,40,30,8,7,1
W00000035,135,9,10,59,38,7,7,5
W00000036,113,21,9,37,28,4,11,3
W00000037,193,26,22,73,52,8,9,3
W00000038,180,21,37,62,23,14,15,8
W00000039,155,22,22,47,34,12,14,4
W00000040,130,15,13,63,14,3,18,4
W00000041,120,19,22,33,21,9,11,5
W00000042,134,30,23,61,8,6,5,1
W00000043,146,36,18,54,13,8,13,4
W00000044,219,24,35,84,41,12,20,3
W00000045,139,26,19,60,17,7,7,3
W00000046,128,49,17,33,11,1,14,3
W00000047,133,21,20,64,15,8,4,1
W00000048,165,31,32,38,23,10,28,3
W00000049,157,23,37,42,14,11,24,6
W00000050,142,63,30,23,5,4,15,2
W00000051,145,28,19,53,22,5,17,1
W00000052,118,22,15,53,14,7,6,1
W00000053,176,26,23,67,44,5,6,5
W00000054,122,21,14,51,22,2,10,2
W00000055,127,26,10,55,25,4,6,1
W00000056,122,33,22,36,21,1,8,1
W00000057,147,7,22,57,46,7,6,2
W00000058,145,24,20,77,14,4,6,0
W00000059,128,20,9,40,28,13,14,4
W00000060,116,17,19,47,14,5,13,1
W00000061,131,23,11,59,23,6,5,4
W00000062,152,22,6,75,33,5,8,3
W00000063,123,23,14,45,22,4,12,3
W00000064,101,17,4,46,18,1,12,3
W00000065,133,29,31,29,24,11,5,4
W00000066,130,20,24,27,26,20,11,2
W00000067,207,28,27,76,47,13,12,4
W00000068,172,23,23,59,44,9,11,3
W00000069,148,29,21,36,35,10,14,3
W00000070,171,16,20,68,44,11,9,3
W00000071,143,20,9,78,22,1,12,1
W00000072,115,14,3,62,20,3,10,3
